ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source
1,Afghanistan,AFG,,,Asia,Public health measures,Health screenings in airports and border crossings,No,,,12/02/2020,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,14/03/2020,
2,Afghanistan,AFG,Kabul,,Asia,Public health measures,Introduction of quarantine policies,No,,,12/02/2020,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,14/03/2020,
3,Afghanistan,AFG,,,Asia,Public health measures,Awareness campaigns,No,,,12/02/2020,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,14/03/2020,
4,Afghanistan,AFG,,,Asia,Social and economic measures,Emergency administrative structures activated or established,No,,,12/02/2020,Ministry of Health,Government,https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19,14/03/2020,
5,Afghanistan,AFG,,,Asia,Social distancing,Limit public gatherings,No,Nevruz festival cancelled,,12/03/2020,AA,Media,https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830,14/03/2020,
6,Afghanistan,AFG,,,Asia,Movement restrictions,Border closure ,No,Closure of borders with Iran,,24/02/2020,Guardian,Media,https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case,14/03/2020,
8,Afghanistan,AFG,Herat,,Asia,Social distancing,Schools closure ,No,,,01/03/2020,OCHA 09/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,14/03/2020,
10,Afghanistan,AFG,Herat,,Asia,Social distancing,Limit public gatherings,No,all public gatherings banned,,01/03/2020,OCHA 09/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,14/03/2020,
12,Afghanistan,AFG,,,Asia,Public health measures,Strengthening the public health system,No,,,01/03/2020,OCHA 12/03/2020,UN,https://reliefweb.int/sites/reliefweb.int/files/resources/20200312-sitrep-covid-19.pdf,14/03/2020,
17,Afghanistan,AFG,,,Asia,Social and economic measures,Limit product imports/exports,No,Food imports from Iran and Afghanistan has been limited,,01/03/2020,US Embassy ,Government,https://af.usembassy.gov/covid-19-information/,14/03/2020,
