location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;New Task Force, Bureau or Administrative Configuration;0.03;2696400;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-02;New Task Force, Bureau or Administrative Configuration;1;2696400;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-03;New Task Force, Bureau or Administrative Configuration;1;2696400, 2696400,8578335, 2696400,2893628,8578335, 2696400,2893628,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-04;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,5718851,8578335, 2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-05;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-06;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-07;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-08;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-09;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
Afghanistan;2020-10;New Task Force, Bureau or Administrative Configuration;1;2696400,2893628,3366001,5718851,8578335;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-06;1
