location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-02;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-03;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-04;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-05;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-06;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-07;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp,9891088Dp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-08;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp,9891088Dp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-09;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp,9891088Dp, 6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-10;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-11;Restriction and Regulation of Businesses;1;6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2020-12;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-01;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-02;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-03;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-04;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-05;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-06;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-07;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-08;Restriction and Regulation of Businesses;1;3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-09;Restriction and Regulation of Businesses;1;2801849At,2801849Dp,3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-10;Restriction and Regulation of Businesses;1;2801849At,2801849Dp,3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-11;Restriction and Regulation of Businesses;1;2801849At,2801849Dp,3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2021-12;Restriction and Regulation of Businesses;1;2801849At,2801849Dp,3291209Dp,6628724Bc,6628724Fp;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-01;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-02;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-03;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-04;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-05;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-06;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-07;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-08;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-09;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-10;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
Afghanistan;2022-11;Restriction and Regulation of Businesses;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-03;1
