location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Curfew;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-02;Curfew;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-03;Curfew;0.23;2874945, 1982048,2874945;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-04;Curfew;1;1982048,2874945, 1982048,2874945,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-05;Curfew;1;1982048,2874945,8952620, 1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-06;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-07;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-08;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-09;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-10;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-11;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-12;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-01;Curfew;1;1982048,8952620;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
