location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;External Border Restrictions;0.1;9805340;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-02;External Border Restrictions;0.93;9392993, 3023356,9392993, 2917567,3023356,4056752,9392993, 2917567,3023356,9392993;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-03;External Border Restrictions;1;2917567,3023356,9392993, 2917567,3023356,5255559,9392993, 2035814,2917567,3023356,9392993, 1704760,2035814,2917567,3023356,9392993;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-04;External Border Restrictions;1;1704760,2035814,2917567,3023356,9392993, 1704760,2035814,2917567,3023356,9392993,9578548;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-05;External Border Restrictions;1;2035814,2917567,3023356,9392993, 2035814,2917567,3023356, 2035814,3023356;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-06;External Border Restrictions;1;2035814,3023356, 1983323,2035814,3023356, 1983323,3023356;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-07;External Border Restrictions;1;3023356;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-08;External Border Restrictions;1;3023356;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-09;External Border Restrictions;1;3023356, 3023356,9505608;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-10;External Border Restrictions;1;3023356;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-11;External Border Restrictions;1;3023356, 3023356,3613249;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2020-12;External Border Restrictions;1;3023356,3613249, 3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-01;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-02;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-03;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-04;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-05;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-06;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-07;External Border Restrictions;1;3023356,3510015,3613249,6386182;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
Afghanistan;2021-08;External Border Restrictions;1;3023356,3510015,3613249,6386182, 3023356,3510015,3613249,6386182,7288047;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-20;1
