location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Restriction and Regulation of Government Services;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-02;Restriction and Regulation of Government Services;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-03;Restriction and Regulation of Government Services;0.58;8338490Dx,8338490Fl, 49787800000NA,8338490Dx,8338490Fl, 4040185NA,49787800000NA,8338490Dx,8338490Fl, 4040185NA,49787800000NA,8338490Dx,8338490Fl,9989627NA, 4040185NA,49787800000NA,8338490Dx,8338490Fl,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-04;Restriction and Regulation of Government Services;1;4040185NA,49787800000NA,8338490Dx,8338490Fl,9645675Co,9989627NA, 4040185NA,49787800000NA,6093555Fk,8338490Dx,8338490Fl,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-05;Restriction and Regulation of Government Services;1;4040185NA,49787800000NA,6093555Fk,8338490Dx,8338490Fl,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-06;Restriction and Regulation of Government Services;1;4040185NA,49787800000NA,6093555Fk,8338490Dx,8338490Fl,9645675Co,9989627NA, 4040185NA,4357675Aj,49787800000NA,6093555Fk,8338490Dx,8338490Fl,9645675Co,9989627NA, 4040185NA,4357675Aj,49787800000NA,6093555Fk,8338490Dx,8338490Fl,8407681Dx,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-07;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,8338490Dx,8338490Fl,8407681Dx,9645675Co,9989627NA, 4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-08;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,9645675Co,9989627NA, 4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-09;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-10;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,9139255Fj,9645675Co,9989627NA, 4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-11;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2020-12;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2021-01;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2021-02;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA, 2898104Dx,4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2021-03;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2021-04;Restriction and Regulation of Government Services;1;4040185NA,4357675Aj,49787800000NA,6093555Fk,6744400Fj,8338490Dx,8338490Fl,8407681Dx,8820947Aj,9139255Fj,9645675Co,9989627NA;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
