location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Health Resources;0.06;6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-02;Health Resources;1;6916927, 2776912,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-03;Health Resources;1;2776912,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-04;Health Resources;1;2776912,6916927, 2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-05;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-06;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-07;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-08;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-09;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-10;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-11;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2020-12;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-01;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-02;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-03;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-04;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-05;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-06;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Afghanistan;2021-07;Health Resources;1;2776912,6515173,6916927;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-01;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-02;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-03;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-04;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-05;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-06;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-07;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-08;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-09;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-10;Health Resources;0.97;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-11;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2020-12;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-01;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-02;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-03;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-04;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-05;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-06;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Albania;2021-07;Health Resources;1;6491701;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-01;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-02;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-03;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-04;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-05;Health Resources;0.32;5206400;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-06;Health Resources;1;5206400, 5206400,5626458, 2502588,5206400,5626458, 2502588,5206400;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-07;Health Resources;1;2502588,5206400, 2502588,5206400,6002866, 2502588,5109303,5206400,6002866, 2502588,5109303,5206400, 2502588,3385053,5109303,5206400;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-08;Health Resources;1;2502588,5109303,5206400, 5109303,5206400, 5109303,5206400,8553989, 5109303,5206400,8553989,9804618;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-09;Health Resources;1;5109303,5206400,8553989,9804618, 5109303,5206400,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-10;Health Resources;1;5109303,5206400,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-11;Health Resources;1;5109303,5206400,8553989, 5109303,5206400,8105564,8553989, 1083027,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2020-12;Health Resources;1;1083027,5109303,5206400,8105564,8553989, 1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-01;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-02;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-03;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-04;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-05;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-06;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Algeria;2021-07;Health Resources;1;1083027,3039745,5109303,5206400,8105564,8553989;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-01;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-02;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-03;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-04;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-05;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-06;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-07;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-08;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-09;Health Resources;0.67;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-10;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-11;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2020-12;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-01;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-02;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-03;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-04;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-05;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-06;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Andorra;2021-07;Health Resources;1;5376004;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-01;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-02;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-03;Health Resources;0.48;7487730, 5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-04;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-05;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-06;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-07;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-08;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-09;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-10;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-11;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2020-12;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-01;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-02;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-03;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-04;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-05;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-06;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Angola;2021-07;Health Resources;1;5504368,6681665,7487730;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-01;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-02;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-03;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-04;Health Resources;0.5;5611204;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-05;Health Resources;0.32;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-06;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-07;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-08;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-09;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-10;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-11;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2020-12;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-01;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-02;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-03;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-04;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-05;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-06;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Antigua and Barbuda;2021-07;Health Resources;1;3807845;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Argentina;2020-01;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
Argentina;2020-02;Health Resources;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-10;1
