location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-02;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-03;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-04;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-05;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-06;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-07;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-08;Hygiene;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-09;Hygiene;0.77;3339917;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-10;Hygiene;1;3339917;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-11;Hygiene;1;3339917;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2020-12;Hygiene;1;3339917;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2021-01;Hygiene;1;3339917;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
Afghanistan;2021-02;Hygiene;1;3339917;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-08-03;1
