location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Internal Border Restrictions;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-02;Internal Border Restrictions;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-03;Internal Border Restrictions;0.23;7475487;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-04;Internal Border Restrictions;1;7475487, 7475487,7573804, 402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-05;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-06;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-07;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-08;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-09;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-10;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
Afghanistan;2020-11;Internal Border Restrictions;1;402259,7475487,7573804;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2021-07-13;1
