location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2020-01;Closure and Regulation of Schools;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-02;Closure and Regulation of Schools;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-03;Closure and Regulation of Schools;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-04;Closure and Regulation of Schools;1;1212064Cf,1212064Eq,1212064Er,1212064Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-05;Closure and Regulation of Schools;1;1212064Cf,1212064Eq,1212064Er,1212064Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-06;Closure and Regulation of Schools;1;1212064Cf,1212064Eq,1212064Er,1212064Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-07;Closure and Regulation of Schools;1;1212064Cf,1212064Eq,1212064Er,1212064Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-08;Closure and Regulation of Schools;1;1212064Cf,1212064Eq,1212064Er,1212064Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-09;Closure and Regulation of Schools;1;1212064Cf,1212064Eq,1212064Er,1212064Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc, 1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-10;Closure and Regulation of Schools;1;1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-11;Closure and Regulation of Schools;1;1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2020-12;Closure and Regulation of Schools;1;1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-01;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-02;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-03;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-04;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-05;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-06;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-07;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,6401573Cf,6401573Eq,6401573Er,6401573Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-08;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,6401573Cf,6401573Eq,6401573Er,6401573Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-09;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,6401573Cf,6401573Eq,6401573Er,6401573Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-10;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,6401573Cf,6401573Eq,6401573Er,6401573Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-11;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,6401573Cf,6401573Eq,6401573Er,6401573Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2021-12;Closure and Regulation of Schools;1;1124572Cf,1124572Eq,1124572Er,1124572Gc,1369540Er,1369540Gc,1805700Cf,1805700Eq,1805700Er,1805700Gc,6401573Cf,6401573Eq,6401573Er,6401573Gc,8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-01;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-02;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-03;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-04;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-05;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-06;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-07;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-08;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-09;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
Afghanistan;2022-10;Closure and Regulation of Schools;1;8576315Er,8576315Gc;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-07-26;1
