record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_3FKlACY6Djr1sjcNA,2975738,new_entry,,,"","March 6, Afghanistan ""Measures have been taken into account to dispel disinformation and superstitions around COVID-19, Mr Mayar spokesperson for the Ministry of Public Health said that a cross-sectoral coordination committee has been formed under the chairmanship of the Minister of Public Health and with the participation of the Ministries of Hajj and Endowments and Ministries of  Foreign Affairs and Interior. The Ministry of Hajj and Endowments will inform the public about coronavirus at friday prayers to dispel religious superstitions about coronavirus""",2020-03-06,2020-03-06,2023-06-29,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Afghanistan,AFG,AF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6DzNZEwsxGWBxHb,https://www.etilaatroz.com/94246/fears-rumors-and-misconceptions-make-it-difficult-to-combat-spread-of-corona-virus-in-afghanistan/,CoronaNet (original),,2021-08-15,2021-08-15T16:53:01Z
R_2arWTemRbMLKdk0NA,7024226,new_entry,,,"","March 16, In Afghanistan the Government Media Information Center has called on telecommunication companies to put warning signs on false messages to prevent misinformation",2020-03-16,2020-03-16,2020-03-16,The policy has a clear end date,Afghanistan,AFG,AF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LO0BLd4VA6ogKZ,https://www.gmic.gov.af/dari/press-releases2/4067-2020-03-16-12-38-31],CoronaNet (original),,2021-08-15,2021-08-15T16:57:33Z
R_1reUk0mSCc6qdXWNA,1850843,new_entry,,,"","On May 14, 2020 it was announced that the government in Afghanistan asks Religious leaders – for disseminating messaging around vaccination and measures to prevent the spread of COVID-19.",2020-05-14,2020-05-14,2020-05-16,The policy is a one-time measure (e.g. publication of guidelines),Afghanistan,AFG,AF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_r0zPAAwivfl1STv,https://web.archive.org/web/20200605000709/https://www.gavi.org/vaccineswork/how-can-fragile-countries-afghanistan-respond-covid-19,OxCGRT,OXCGRT_Afghanistan_20200514_info,2021-12-11,2021-12-11T09:07:32Z
R_pMJfXPNXIYRVx9TNA,889484,new_entry,,,"","Afghanistan, May 28 ""a government livelihood support program, Targeting the Ultra Poor (TUP) for impoverished communities has been scaled up to fight misinformation and help curb the spread of COVID-19.""",2020-05-28,2020-05-28,,The policy’s end date is unknown or unreported,Afghanistan,AFG,AF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Afghanistan,One or more provinces within one or more countries,,Balkh; Kabul; Nangarhar; Kunar; Parwan; Kandahar; Laghman; Takhar,,,,All Citizens (Citizen Residents + Citizen Travelers),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Tw6umZS6ppRU76,https://www.worldbank.org/en/news/feature/2020/05/28/in-afghanistan-health-workers-fight-misinformation-to-curb-covid-19,CoronaNet (original),,2021-08-15,2021-08-15T17:14:59Z
R_1eJC2cHJL6SXEq9NA,769460,new_entry,,,"","On May 28, 2020 it was announced that in Afghanistan, To raise awareness and dispel myths about the pandemic, health specialists from the government's livelihood support program, Targeting the Ultra Poor (TUP), have joined forces with influential community elders in impoverished villages across three districts of the Nangarhar province.",2020-05-28,2020-05-28,2020-05-30,The policy is a one-time measure (e.g. publication of guidelines),Afghanistan,AFG,AF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_czRT9g1vnW3ZpjH,https://web.archive.org/web/20200605001328/https://www.worldbank.org/en/news/feature/2020/05/28/in-afghanistan-health-workers-fight-misinformation-to-curb-covid-19?cid=ECR_FB_worldbank_EN_EXT,OxCGRT,OXCGRT_Afghanistan_20200528_info,2021-12-11,2021-12-11T10:26:57Z
R_2y9GMTXGfnZhnf9NA,129322,new_entry,,,"","Afghanistan, June 28 ""Public awareness campaigns launched by Afghan government's Citizen’s Charter program. The campaigns have helped dispel misinformation while promoting health recommendations and medical guidelines set by the Ministry of Public Health.""",2020-06-28,2020-06-28,2020-06-30,The policy is a one-time measure (e.g. publication of guidelines),Afghanistan,AFG,AF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qJyCjR7Ob4fDoS5,https://www.worldbank.org/en/news/feature/2020/06/28/awareness-campaigns-help-prevent-against-covid-19-in-afghanistan,CoronaNet (original),,2021-08-15,2021-08-15T17:25:12Z
R_31SeFOVXXGIyxq1Es,6721435Es,new_entry,,,"","""All schools in Herat – including temporarily learning spaces (TLS) and community-based education (CBE) – are
suspended until further notice to help contain the spread of COVID-19 (although public schools and universities are
currently closed for winter break and are expected to resume on 22 March).""",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Afghanistan,AFG,AF,Municipal,1,Herat,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,One or more cities within one or more countries,,Herat,,,,13,,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fdFwDKzSvayDua,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,CoronaNet (original),,2021-08-09,2021-08-09T16:02:00Z
R_31SeFOVXXGIyxq1Et,6721435Et,new_entry,,,"","""All schools in Herat – including temporarily learning spaces (TLS) and community-based education (CBE) – are
suspended until further notice to help contain the spread of COVID-19 (although public schools and universities are
currently closed for winter break and are expected to resume on 22 March).""",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Afghanistan,AFG,AF,Municipal,1,Herat,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,One or more cities within one or more countries,,Herat,,,,13,,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fdFwDKzSvayDua,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,CoronaNet (original),,2021-08-09,2021-08-09T16:02:00Z
R_31SeFOVXXGIyxq1Ge,6721435Ge,new_entry,,,"","""All schools in Herat – including temporarily learning spaces (TLS) and community-based education (CBE) – are
suspended until further notice to help contain the spread of COVID-19 (although public schools and universities are
currently closed for winter break and are expected to resume on 22 March).""",2020-03-09,2020-03-09,,The policy’s end date is unknown or unreported,Afghanistan,AFG,AF,Municipal,1,Herat,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,One or more cities within one or more countries,,Herat,,,,13,,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fdFwDKzSvayDua,https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf,CoronaNet (original),,2021-08-09,2021-08-09T16:02:00Z
R_vCayDsDGFAA6EBbEt,6018486Et,new_entry,,,"","In parts of northern Samangan province, schools were closed down after two cases of coronavirus were registered. Schools in Aibak, Feroz Nachir and Doab districts had been shut. Exams were also postponed.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,Afghanistan,AFG,AF,Provincial,1,Samangan,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Afghanistan,One or more provinces within one or more countries,,Samangan,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_265U547lUAEQnu1,https://www.pajhwok.com/en/2020/03/11/samangan-schools-shut-prevent-virus-spread,CoronaNet (original),,2022-06-13,2022-06-13T23:59:59Z
