record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_1BWaHDf5ibLRdZ2Em,7760829Em,new_entry,,,"",Angola is closing all schools after March 24,2020-03-19,2020-03-24,2020-04-08,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),45.130341017543,41.1682524384898,36.5556846092695,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2020-04-02,2020-04-02T19:13:58Z
R_1BWaHDf5ibLRdZ2Fw,7760829Fw,new_entry,,,"",Angola is closing all schools after March 24,2020-03-19,2020-03-24,2020-04-08,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),45.130341017543,41.1682524384898,36.5556846092695,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2020-04-02,2020-04-02T19:13:58Z
R_UzuCxl4I7NqC4KJCe,4816171Ce,new_entry,,,"",Angola is closing universities after March 24,2020-03-23,2020-03-24,,,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,45.130341017543,41.1682524384898,36.5556846092695,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3hEbJMrFrvvD49r,https://www.cmjornal.pt/mundo/detalhe/angola-encerra-escolas-universidades-e-igrejas-durante-15-dias-para-prevenir-propagacao-do-coronavirus,2020-04-03,2020-04-03T19:48:23Z
R_2bZa59oLNYq2ypjCe,4816171Ce,update,End of Policy,,"",Angola is closing universities after March 24. UPDATE: The policy originally targeted universities but now targets all education establishments,2020-03-23,2020-03-24,,The policy’s end date is unknown or unreported,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,45.130341017543,41.1682524384898,36.5556846092695,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3hEbJMrFrvvD49r ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aP4HUgXaapoSwf,NA ; https://www.cisp.gov.ao:10443/wp-content/uploads/2020/04/Decreto-Presidencial-n.%C2%BA-82-20-de-26-de-mar%C3%A7o.pdf,2021-03-02,2021-03-02T14:27:23Z
R_tJxnPXhsZch6qPfEm,7760829Em,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The policy was revoked due to a new legislation on the subject.",2020-03-26,2020-03-26,2020-03-26,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),55.2399812762887,51.3072568730394,47.3737057782513,28,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,NA ; https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,2021-09-29,2021-09-29T17:13:34Z
R_tJxnPXhsZch6qPfFw,7760829Fw,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The policy was revoked due to a new legislation on the subject.",2020-03-26,2020-03-26,2020-03-26,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),55.2399812762887,51.3072568730394,47.3737057782513,28,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,NA ; https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,2021-09-29,2021-09-29T17:13:34Z
R_3EWrqRiRamm41TjEm,7760829Em,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The deadline for this policy was revoked by a new legislation.",2020-03-26,2020-03-26,2020-04-23,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),55.2399812762887,51.3072568730394,47.3737057782513,28,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2021-10-06,2021-10-06T17:03:20Z
R_3EWrqRiRamm41TjFw,7760829Fw,update,End of Policy,,"","As of March 24, 2020, Angola is closing all schools, high-schools and universities for 15 days. UPDATE: The deadline for this policy was revoked by a new legislation.",2020-03-26,2020-03-26,2020-04-23,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Angola,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),55.2399812762887,51.3072568730394,47.3737057782513,28,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3rHCF15JWGZ07Bx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XArPpqU8GFJQx9L,"https://m.portalangop.co.ao/angola/pt_pt/noticias/educacao/2020/2/12/COVID-MED-encerra-escolas-por-dias,a040ae33-e688-4f75-a136-ac4aacc9d8a4.html",2021-10-06,2021-10-06T17:03:20Z
R_3NIkKE45pX1nutdEl,9907204El,new_entry,,,"","As of March 27, all public and private education institutions (schools, high schools, technical/professional schools and universities) activities will be suspended.",2020-03-26,2020-03-27,2020-04-11,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Angola,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.9900477884468,60.0255370612113,55.8249813540721,56,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CTFniZ62WvMhfg,https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,2021-09-29,2021-09-29T17:27:12Z
R_3NIkKE45pX1nutdEm,9907204Em,new_entry,,,"","As of March 27, all public and private education institutions (schools, high schools, technical/professional schools and universities) activities will be suspended.",2020-03-26,2020-03-27,2020-04-11,The policy has a clear end date,Angola,AGO,AO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Angola,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",63.9900477884468,60.0255370612113,55.8249813540721,56,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CTFniZ62WvMhfg,https://drive.google.com/file/d/1TfBt-CtWZM_lGL-enwye1Xtp7Y4FZS76/view?usp=sharing,2021-09-29,2021-09-29T17:27:12Z
