record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1F5KcEugFJpDqhsNA,5535210,new_entry,,,"","On March 14, 2020, the Department of Health established ""Is it true?"", ""a new feature on our website to help answer questions people may have about COVID-19 vaccines and respond to vaccine misinformation they may have heard."" It addresses questions including ""Were COVID-19 vaccines developed too quickly to be safe?"", ""Were COVID-19 vaccines rushed through approvals or given emergency use authorisations in Australia?"", ""Can COVID-19 vaccines connect me to the internet?"" and ""Do COVID-19 vaccines contain a microchip or any kind of tracking technology?"".",2021-03-14,2021-03-14,2023-06-13,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Australia,AUS,AU,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Australia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AMpRzbNezRaL5gR,https://www.health.gov.au/news/is-it-true-countering-the-misinformation-on-covid-19-vaccines ; https://www.pm.gov.au/media/it-true-countering-misinformation-covid-19-vaccines,CoronaNet (original),,2021-06-06,2021-06-06T07:05:32Z
R_pcofeJ0Di3uEYOBGe,7331338Ge,new_entry,,,"","On 22 March 2020, the Australian Capital Territory Minister for Education and Early Childhood Development announced, ""Lyneham High School will be closed on Monday 23 March to allow for enable the school and health officials to work through a contact and containment strategy after a COVID-19 case arising connected to the school.""",2020-03-22,2020-03-23,,The policy’s end date is unknown or unreported,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Australia,One or more provinces within one or more countries,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_22MmXse6NwkbuuC,https://www.cmtedd.act.gov.au/open_government/inform/act_government_media_releases/yvette-berry-mla-media-releases/2020/confirmation-of-act-schools-response-to-covid-19,CoronaNet (original),,2021-10-30,2021-10-30T14:49:43Z
R_1N1ZLRfUeLEwubqEs,7755028Es,new_entry,,,"","On 23 March 2020, the Australian Capital Territory government announced, ""ACT public schools will still be able to safely receive and provide learning for the children of parents and carers engaged in essential services (such as our healthcare sector) who are unable to care for their children at home, as well as vulnerable children and those with additional needs."".
",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Yes,Australia,One or more provinces within one or more countries,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xX0uYWYjvEM9MQ,https://www.cmtedd.act.gov.au/open_government/inform/act_government_media_releases/barr/2020/statement-act-chief-minister2,CoronaNet (original),,2021-11-01,2021-11-01T07:28:37Z
R_1N1ZLRfUeLEwubqEt,7755028Et,new_entry,,,"","On 23 March 2020, the Australian Capital Territory government announced, ""ACT public schools will still be able to safely receive and provide learning for the children of parents and carers engaged in essential services (such as our healthcare sector) who are unable to care for their children at home, as well as vulnerable children and those with additional needs."".
",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Yes,Australia,One or more provinces within one or more countries,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xX0uYWYjvEM9MQ,https://www.cmtedd.act.gov.au/open_government/inform/act_government_media_releases/barr/2020/statement-act-chief-minister2,CoronaNet (original),,2021-11-01,2021-11-01T07:28:37Z
R_1N1ZLRfUeLEwubqGe,7755028Ge,new_entry,,,"","On 23 March 2020, the Australian Capital Territory government announced, ""ACT public schools will still be able to safely receive and provide learning for the children of parents and carers engaged in essential services (such as our healthcare sector) who are unable to care for their children at home, as well as vulnerable children and those with additional needs."".
",2020-03-23,2020-03-23,,The policy’s end date is unknown or unreported,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Yes,Australia,One or more provinces within one or more countries,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xX0uYWYjvEM9MQ,https://www.cmtedd.act.gov.au/open_government/inform/act_government_media_releases/barr/2020/statement-act-chief-minister2,CoronaNet (original),,2021-11-01,2021-11-01T07:28:37Z
R_33vbEOW6j69Sl77Et,3144269Et,new_entry,,,"",22.03.2020: all schools in the the Australian Capital Territory will begin pupil-free days from March 24 until the end of holidays (April 26),2020-03-22,2020-03-24,2020-04-26,The policy has a clear end date,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Australia,,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PGIFgZE64RVBtd,https://www.covid19.act.gov.au/news-articles/confirmation-of-act-schools-response-to-covid-19,CoronaNet (original),,2020-04-24,2020-04-24T13:11:46Z
R_33vbEOW6j69Sl77Ge,3144269Ge,new_entry,,,"",22.03.2020: all schools in the the Australian Capital Territory will begin pupil-free days from March 24 until the end of holidays (April 26),2020-03-22,2020-03-24,2020-04-26,The policy has a clear end date,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Australia,,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PGIFgZE64RVBtd,https://www.covid19.act.gov.au/news-articles/confirmation-of-act-schools-response-to-covid-19,CoronaNet (original),,2020-04-24,2020-04-24T13:11:46Z
R_33vbEOW6j69Sl77Cf,3144269Cf,new_entry,,,"",22.03.2020: all schools in the the Australian Capital Territory will begin pupil-free days from March 24 until the end of holidays (April 26),2020-03-22,2020-03-24,2020-04-26,The policy has a clear end date,Australia,AUS,AU,Provincial,1,Australian Capital Territory,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Australia,,,Australian Capital Territory,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PGIFgZE64RVBtd,https://www.covid19.act.gov.au/news-articles/confirmation-of-act-schools-response-to-covid-19,CoronaNet (original),,2020-04-24,2020-04-24T13:11:46Z
R_117xci9oIdRwWCxEt,7778287Et,new_entry,,,"","As of 23 March 2020, the Premier of NSW, Australia, has advised parents to keep their children at home however schools remain open to accommodate front-line workers.",2020-03-23,2020-03-24,,The policy’s end date is unknown or unreported,Australia,AUS,AU,Provincial,1,New South Wales,GB-WLS,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Australia,One or more provinces within one or more countries,,New South Wales,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kKWQp2r2A9NcQc,https://www.nsw.gov.au/media-releases/new-covid-19-restrictions-begin-as-schools-move-towards-online-learning,CoronaNet (original),,2021-05-01,2021-05-01T04:45:41Z
R_117xci9oIdRwWCxGe,7778287Ge,new_entry,,,"","As of 23 March 2020, the Premier of NSW, Australia, has advised parents to keep their children at home however schools remain open to accommodate front-line workers.",2020-03-23,2020-03-24,,The policy’s end date is unknown or unreported,Australia,AUS,AU,Provincial,1,New South Wales,GB-WLS,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Australia,One or more provinces within one or more countries,,New South Wales,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kKWQp2r2A9NcQc,https://www.nsw.gov.au/media-releases/new-covid-19-restrictions-begin-as-schools-move-towards-online-learning,CoronaNet (original),,2021-05-01,2021-05-01T04:45:41Z
