record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1H16yNBTY58vascNA,7994353,new_entry,original,,,Bahrain's Director-General of Reform and Rehabilitation announced that posts circulating on social media regarding the spread of the Coronavirus (COVID-19) in Jau Rehabilitation Centre is false. March 01.,2020-03-01,2020-03-01,,Bahrain,BHR,BH,National,1,,,,Anti-Disinformation Measures,,,,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),26.8827865184633,21.6136607661984,16.7762548881771,52,https://www.moh.gov.bh/COVID19/Misinformation,2020-06-17,2020-06-17T17:38:33Z
R_3lS6K30Xmt1LoKGFk,7221801,new_entry,correction,,,"The Ministry of Health in Bahrain announced on March 10 that any person who intentionally conceals a person with a contagious disease or exposes others to diseases, or who intentionally causes the transmission of diseases to others, or refrains from carrying out any measure to prevent the spread of the disease could face jail time.",2020-03-10,2020-03-10,,Bahrain,BHR,BH,National,1,,,,Anti-Disinformation Measures,,,,Bahrain,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",33.6291685716676,29.7681322846002,24.9021343095469,45,https://www.arabianbusiness.com/healthcare/442490-bahrain-issues-jail-warning-over-breaching-14-day-coronavirus-isolation-period,2020-12-22,2020-12-22T07:37:53Z
R_2zHIN5BEUhMar6ONA,6831571,new_entry,original,,,A prohibition by the General Directorate of Bahrain's Criminal Investigation and Forensic Science on rumours and the spreading of fake news,2020-04-07,2020-04-07,,Bahrain,BHR,BH,National,1,,,,Anti-Disinformation Measures,,,,Bahrain,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Justice",63.8731350555203,61.2458238744857,58.4361425855886,31,https://www.charlesrussellspeechlys.com/en/news-and-insights/insights/corporate/2020/the-kingdom-of-bahrain-and-covid-19-bahrains-reaction-to-the-global-pandemic/,2020-06-30,2020-06-30T17:09:26Z
R_RyodUUkEc04LeyRDy,2701126Dy,new_entry,original,,,"Bahrain decided to temporarily close the Ibn Al Nafees Primary School for Boys, the Sitra Intermediate School for Girls, and the Al Qamar Kindergarten for a period of 14 days after the first case - Feb 24",2020-02-24,2020-02-24,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,24.4257634791477,18.8236899493038,14.0834052061882,62,https://www.moh.gov.bh/COVID19/Details/3813,2020-04-14,2020-04-14T12:35:04Z
R_RyodUUkEc04LeyREa,2701126Ea,new_entry,original,,,"Bahrain decided to temporarily close the Ibn Al Nafees Primary School for Boys, the Sitra Intermediate School for Girls, and the Al Qamar Kindergarten for a period of 14 days after the first case - Feb 24",2020-02-24,2020-02-24,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,24.4257634791477,18.8236899493038,14.0834052061882,62,https://www.moh.gov.bh/COVID19/Details/3813,2020-04-14,2020-04-14T12:35:04Z
R_RyodUUkEc04LeyRFj,2701126Fj,new_entry,original,,,"Bahrain decided to temporarily close the Ibn Al Nafees Primary School for Boys, the Sitra Intermediate School for Girls, and the Al Qamar Kindergarten for a period of 14 days after the first case - Feb 24",2020-02-24,2020-02-24,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,24.4257634791477,18.8236899493038,14.0834052061882,62,https://www.moh.gov.bh/COVID19/Details/3813,2020-04-14,2020-04-14T12:35:04Z
R_1QhnmrX5qmrv902Dy,9189022Dy,new_entry,original,,,"Bahrain announced to close all public and private schools and kindergartens, and all Universities and Higher Education institutions closed for two weeks - Feb 25",2020-02-25,2020-02-26,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,25.0090325052201,19.7926150454687,14.9319009341268,61,https://www.moh.gov.bh/COVID19/Details/3874 ; https://www.moh.gov.bh/COVID19/Details/3879,2020-04-14,2020-04-14T13:03:02Z
R_1QhnmrX5qmrv902Ea,9189022Ea,new_entry,original,,,"Bahrain announced to close all public and private schools and kindergartens, and all Universities and Higher Education institutions closed for two weeks - Feb 25",2020-02-25,2020-02-26,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,25.0090325052201,19.7926150454687,14.9319009341268,61,https://www.moh.gov.bh/COVID19/Details/3874 ; https://www.moh.gov.bh/COVID19/Details/3879,2020-04-14,2020-04-14T13:03:02Z
R_1QhnmrX5qmrv902Fj,9189022Fj,new_entry,original,,,"Bahrain announced to close all public and private schools and kindergartens, and all Universities and Higher Education institutions closed for two weeks - Feb 25",2020-02-25,2020-02-26,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,25.0090325052201,19.7926150454687,14.9319009341268,61,https://www.moh.gov.bh/COVID19/Details/3874 ; https://www.moh.gov.bh/COVID19/Details/3879,2020-04-14,2020-04-14T13:03:02Z
R_1QhnmrX5qmrv902Ce,9189022Ce,new_entry,original,,,"Bahrain announced to close all public and private schools and kindergartens, and all Universities and Higher Education institutions closed for two weeks - Feb 25",2020-02-25,2020-02-26,,Bahrain,BHR,BH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Bahrain,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,25.0090325052201,19.7926150454687,14.9319009341268,61,https://www.moh.gov.bh/COVID19/Details/3874 ; https://www.moh.gov.bh/COVID19/Details/3879,2020-04-14,2020-04-14T13:03:02Z
