record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_31ElD7AnllN19bsNA,1883431,new_entry,,,"",Barbados issued a warning against spreading false information on social media about the Government’s workplace policy in respect of Covid-19. Spreading false information about Government policies is prohibited under the Computer Misuse Act.,2020-03-05,2020-03-05,2023-02-07,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Barbados,BRB,BB,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",Nationwide Warning,,,"",,Barbados,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",28.8254214764672,23.4696570470055,18.7322046675687,41,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1EjwW37j8tJip3q,https://gisbarbados.gov.bb/blog/government-warns-against-misuse-of-social-media/,2021-07-14,2021-07-14T15:41:14Z
R_1NcHJh4LTS7uGQNNA,4950893,new_entry,,,"","Barbados's Queen Elizabeth Hospital is restricting visiting hours. The new interim visiting hours across all general and surgical wards are 12:00 noon to 1:00 p.m. and 5:00 p.m. to 6:00 p.m. daily. Visits to the hospital’s Intensive Care Units – Medical Intensive Care Unit, Surgical Intensive Care Unit, Paediatric Intensive Care Unit, and Neonatal Intensive Care Unit – will be facilitated between 11:00 and 11:30 a.m.; 4:00 and 4:30 p.m.; and 5:30 and 6:00 p.m. Patients are only allowed 2 visitors at the time and visits cannot be longe than 2 hours. All visitors will be required to go through temperature tests at entrance.",2020-03-18,2020-03-18,,The policy’s end date is unknown or unreported,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Barbados,One or more provinces within one or more countries,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",53.1482497156739,49.3972375739594,45.8125074297082,63,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2rG8dsKvHPGyXxM,https://gisbarbados.gov.bb/blog/reduced-visiting-hours-at-qeh/,2021-07-14,2021-07-14T15:42:25Z
R_1hAOP3uZOHpQ8tKNA,3456009,new_entry,,,"","Barbados enacts the Emergency Management (COVID-19) Curfew Directive, 2020. Under the Order, a curfew is in effect from Saturday, March 28, until Tuesday, April 14, while all businesses, except essential services and those identified, were ordered close as Government seeks to contain the spread of COVID-19. The curfew is between 8 pm and 6 am. Attorney General Dale Marshall announced that there will be a fine of $50,000, or one year in prison, or both, for anyone found guilty of breaking the curfew.",2020-03-27,2020-03-28,2020-04-14,The policy has a clear end date,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Barbados,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",61.3326319255201,57.6708673196792,54.4500522795258,35,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DFQrZ1UeOllWaRj,https://gisbarbados.gov.bb/blog/exemptions-will-be-granted-for-emergency-situations/ ; https://gisbarbados.gov.bb/blog/heavy-fine-for-anyone-breaking-curfew/,2022-06-19,2022-06-19T23:59:59Z
R_3OdWtKCtcDlHWbONA,3456009,update,,Strengthening,"","The original curfew was from 8 pm until 6 am. Now it is a full on 24-hours curfew beginning on April 3rd, 8 pm. UPDATE: From April 3rd, 2020 the curfew is going to be 24-hour",2020-04-02,2020-04-03,2020-05-04,The policy has a clear end date,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Barbados,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",68.0795324684619,65.1393315664527,61.8501722485001,61,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6xOx6v4p6PFYhk5,https://gisbarbados.gov.bb/blog/24-hour-curfew-for-barbados-from-friday/,2022-06-19,2022-06-19T23:59:59Z
R_6DLFYrl9TxwKTRfNA,3456009,update,,,"","Barbadians will remain under curfew until midnight May 3, 2020, but new measures are in place for them to get essential goods. UPDATE: The original curfew was extended to April 5. Now it has been extended to May 3, 2020",2020-04-11,2020-04-11,2020-05-04,The policy has a clear end date,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Barbados,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",76.2892653399488,73.288317143552,70.1268747951162,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DU3LZAC2GfRfT8,https://www.nationnews.com/nationnews/news/244948/curfew-extended,2022-06-19,2022-06-19T23:59:59Z
R_8euQS62rXR56LAZNA,4365135,new_entry,,,"","Prime Minister Mia Amor Mottley has announced that Government will be putting measures in place to facilitate fruit and vegetable vendors during the curfew period, which has been extended until May 3.",2020-04-12,2020-04-12,2020-05-03,The policy has a clear end date,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Barbados,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,National Government,76.6670912086207,73.7816324094703,70.3333161727576,95,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2OUscCEuGCfoilH,https://gisbarbados.gov.bb/blog/produce-vendors-can-ply-their-trade/,2020-04-23,2020-04-23T06:10:58Z
R_TiuPfLPCEkP23YZNA,6355890,new_entry,,,"","Members of the public are advised that from tomorrow, Tuesday, April 14, essential cargo deliveries will be done through an appointment system at the Bridgetown Port, between 7:00 a.m. and 4:00 p.m.",2020-04-13,2020-04-13,,The policy’s end date is unknown or unreported,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Barbados,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,77.1146025497025,73.948229911197,70.5211471302475,94,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_C2na6UsPsgsx20N,https://gisbarbados.gov.bb/blog/essential-cargo-delivery-by-appointment/,2021-07-14,2021-07-14T15:43:21Z
R_2czQlq15KoQrXLKNA,3456009,update,,Strengthening,timing of policy strengthening,"Barbados enacts the Emergency Management (COVID-19) Curfew Directive, 2020. Under the Order, a curfew is in effect from Saturday, March 28, until Tuesday, April 14, while all businesses, except essential services and those identified, were ordered close as Government seeks to contain the spread of COVID-19. The curfew is between 8 pm and 6 am. then, the curfew was 24-hours. Now, the 24-hour curfew is also extended to May 4th. UPDATE: Barbados’ Prime Minister Mia Mottley announced that the curfew that was supposed to end on April 14th, will be extended to May 4th.",2020-04-12,2020-04-14,2020-05-04,The policy has a clear end date,Barbados,BRB,BB,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Barbados,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",77.2318899610784,73.9894022249376,70.2957499363642,94,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3M5Ww7HNMF2a1qq,https://caribbeanbusinessreport.com/news/breaking-barbados-expands-curfew-until-may-4/,2022-06-19,2022-06-19T23:59:59Z
R_1rlj9pqBHJdVSvwNA,865669,new_entry,,,"","Barbados declares that it is currently in Stage 1 after the island recorded the first cases of COVID-19 on March 17th. Activation of National Emergency Operations Centre and Isolation Centre. Preparation of severe treatment facility and Paragon, St. Lucy District Hospital or Field Medical Hospital for screening, quarantine and isolation. Reconfiguring of polyclinics to facilitate local screening. Advice on limiting mass gathering to reduce risk for local spread. Suspension Of Visits & Closure Of Public Health Institutions.",2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Barbados,BRB,BB,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Barbados,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,50.0740801916356,46.5879310701844,42.574431114075,52,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ALnGizsWSeQpYG,https://www.nationnews.com/print_article/nationnews/news/244445/covid-19-management-response-plans-stage?print=true ; https://gisbarbados.gov.bb/blog/suspension-of-visits-closures-of-public-health-institutions/,2021-07-14,2021-07-14T15:44:40Z
R_3EosKRJRGjPv1TqNA,865669,update,Change of Policy,,"","the Parliament of Barbados, by a majority Resolution and in fact, by unanimous support in the House of Assembly, agreed to extend the State of Emergency in Barbados until the 30th of June. UPDATE: the Parliament of Barbados, by a majority Resolution and in fact, by unanimous support in the House of Assembly, agreed to extend the State of Emergency in Barbados until the 30th of June.",2020-04-24,2020-04-24,2020-06-30,The policy has a clear end date,Barbados,BRB,BB,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Barbados,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,77.6524908225535,74.4810543140277,71.2406804415889,97,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31cMxNw4r4GAHZm,https://gisbarbados.gov.bb/blog/attorney-general-explains-state-of-emergency-extension/,2020-05-06,2020-05-06T06:14:02Z
