record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_28UvTqllsbHF2wFNA,3078048,new_entry,,,"","""The Ministry of Health advises the public to be guided by facts. To stay informed and updated on the evolving COVID-19 situation, follow the Facebook pages of the Ministry of Health, the Office of the Director of Health Services, and the Government Press Office.  The Ministry of Health will continue to provide timely updates as our response changes to this evolving situation.""",2020-02-28,2020-02-28,2020-02-29,The policy is a one-time measure (e.g. publication of guidelines),Belize,BLZ,BZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belize,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,28.2715904028945,23.9772154437329,19.1619340792135,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1MMsub4po1hD6FH,https://web.archive.org/web/20200430161753/http://health.gov.bz/www/component/content/article/177-general-health/1016-ministry-of-health-advisory-no-5--covid-19,2022-06-29,2022-06-29T18:16:34Z
R_3PSkWB2pwocsb91NA,3748671,new_entry,,,"","On March 22nd, Belize advised the public ""that only the Government of Belize can restrict the movement of Belizeans within Belize. Unless such restriction is enacted by the Government, municipal bodies should refrain from doing so. Any entity found guilty of doing such will be dealt with to the fullest extent of the law.""",2020-03-22,2020-03-22,2022-07-21,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Belize,BLZ,BZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Belize,,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,51.7616019071807,49.0849459581008,46.237811412111,32,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_TpkkXsS5PFVkkNP,https://www.pressoffice.gov.bz/government-of-belize-clarifies-municipal-curfew-and-entry-ban-notice/,2021-01-21,2021-01-21T15:40:05Z
R_b9jgr52ajq2wQcpNA,9450500,new_entry,,,"","On August 15 in Belize ""The Ministry of Health has become aware of individuals and companies advertising that they perform PCR testing or rapid testing for COVID-19. The Ministry is also aware that some entities are offering the service of facilitating the importation of COVID-19 test kits for purchase in Belize.

The Customs and Excise Department has issued an advisory that the clearance of any SARS-CoV2 test kit will not be approved without prior authorization from the Ministry of Health.

The Ministry of Health reiterates that it is the only authorized and legal entity in Belize that has been granted permission through the Ministry of Finance to import materials for PCR and rapid testing for COVID-19 in Belize.  The Ministry of Health is also the only entity that is authorized to conduct PCR testing through the Central Medical Laboratory in Belize City.",2020-08-13,2020-08-13,2022-07-21,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Belize,BLZ,BZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belize,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),"National Government,Ministry/Department of Health",62.4419546994239,60.1929899389755,57.6028346860075,72,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qktU7pdf3EjX2b,https://www.pressoffice.gov.bz/ministry-of-health-issues-advisory-on-local-advertisements-for-covid-19-testing/,2021-01-21,2021-01-21T15:44:31Z
R_1riGsSfOPcLG0mZNA,3816925,new_entry,,,"","On Sept. 15 in Belize,  the Government of Belize Press Office held a media literacy forum called Navigating the Changing Media Landscape in Democracies: Fake news vs. Facts. ""...The forum also addresses the dangers of fake news and disinformation and how to combat them""",2020-09-15,2020-09-15,2020-09-15,The policy has a clear end date,Belize,BLZ,BZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Belize,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",64.5796194948165,62.19353373842,59.3862406623382,88,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BLBUDJVBqna0T7z,https://www.pressoffice.gov.bz/media-literacy-forum-hosted-by-government-of-belize-embassy-of-the-republic-of-china-taiwan-and-the-u-s-embassy/,2021-01-18,2021-01-18T17:17:23Z
R_2TvfHX1ps3vCcMIEm,9955609Em,new_entry,,,"","In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene."" ""Schools... will not reopen before Monday, April 20, 2020.""",2020-03-16,2020-03-20,2020-04-20,The policy has a clear end date,Belize,BLZ,BZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Belize,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,50.8036306143424,47.61970905594,44.6430788162361,33,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PSZEcasYcxMmDrr,https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/,2021-01-18,2021-01-18T22:15:54Z
R_2TvfHX1ps3vCcMIFw,9955609Fw,new_entry,,,"","In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene."" ""Schools... will not reopen before Monday, April 20, 2020.""",2020-03-16,2020-03-20,2020-04-20,The policy has a clear end date,Belize,BLZ,BZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Belize,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,50.8036306143424,47.61970905594,44.6430788162361,33,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PSZEcasYcxMmDrr,https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/,2021-01-18,2021-01-18T22:15:54Z
R_2TvfHX1ps3vCcMICe,9955609Ce,new_entry,,,"","In Belize, ""Effective Friday, March 20, all schools will be closed for 14 days which will lead right into the Easter break. This is being done with a view to make up the school days within the current school year depending on how the situation evolves. It is stressed that this is not a vacation and parents and students alike must continue to follow the Government’s advisories for social distancing and vigilance with hand-washing and good hygiene."" ""Schools... will not reopen before Monday, April 20, 2020.""",2020-03-16,2020-03-20,2020-04-20,The policy has a clear end date,Belize,BLZ,BZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Belize,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,50.8036306143424,47.61970905594,44.6430788162361,33,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PSZEcasYcxMmDrr,https://www.pressoffice.gov.bz/belize-announces-new-measures-in-response-to-covid-19/,2021-01-18,2021-01-18T22:15:54Z
R_22tRVVEbMBQ38y5El,9275383El,new_entry,,,"","In Belize, ""The Ministry of Human Development, Social Transformation and Poverty Alleviation advises the public that effective Saturday, March 21st, 2020 all daycares will suspend operations until Monday, April 20th, 2020 when schools are scheduled to reopen.""",2020-03-19,2020-03-21,2020-04-20,The policy has a clear end date,Belize,BLZ,BZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Belize,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.5690282295718,48.4062019476065,45.4168392471659,32,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cJbZuOJtTEva4Hn,https://www.pressoffice.gov.bz/closure-of-daycare-centers/,2020-04-21,2020-04-21T06:36:22Z
R_1IGgTP1OC7OUuh0Ce,7701779Ce,new_entry,,,"",tests,2020-04-20,2020-04-20,,The policy’s end date is unknown or unreported,Belize,BLZ,BZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Belize,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",61.1200423757352,58.5399416489326,55.7798226339114,23,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qy8qFsch2ejA6N,https://www.breakingbelizenews.com/2020/04/20/covid-19-implications-on-education-and-the-way-forward/,2022-04-20,2022-04-20T15:03:45Z
R_2fEcicCKuPk3RLREl,3466290El,new_entry,,,"","On April 20, 2020 it was announced that At the Early Childhood and Primary Education levels, the Ministry will :
- continue to upload online resources and activities on the Ministry’s website at moe.gov.bz;
- develop and broadcast daily audio-lessons on local FM radio stations; 
- provide a printed publication containing learning activities for students at the early childhood and primary levels who may otherwise not have access to the other resources being provided.",2020-04-20,2020-04-20,,The policy’s end date is unknown or unreported,Belize,BLZ,BZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Full remote/distance learning (e.g. All teachers must tele-teach.),Yes,Belize,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",61.1200423757352,58.5399416489326,55.7798226339114,23,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2uZAP1l8B3NwC5T,https://web.archive.org/web/20200426041932/https://www.breakingbelizenews.com/2020/04/20/covid-19-implications-on-education-and-the-way-forward/,2022-06-25,2022-06-25T08:36:25Z
