record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_2zec1IjegnxndJcNA,7106716,new_entry,,,"","On August 19th, the Ministry of Health of Bhutan urged people to refrain from prank calling the toll-free hotlines that are assisting the public with the national lockdown.",2020-08-19,2020-08-19,2020-08-21,The policy is a one-time measure (e.g. publication of guidelines),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"Ministry/Department of Health,New (COVID-19 specific) Task Force",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QGhNwiVkaSQcQF,https://www.facebook.com/MoHBhutan/posts/3397283126999946,CoronaNet (original),,2022-08-08,2022-08-08T23:59:59Z
R_efyGiv4ILoQSkfLNA,8153407,new_entry,,,"","On September 9th, the Ministry of Health of Bhutan stated that rumors circulating on social media about a second lockdown on September 11th are not true and urged citizens to refrain from ""panic buying.""",2020-09-09,2020-09-09,2020-09-11,The policy is a one-time measure (e.g. publication of guidelines),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FSAEyUq2HDLXH3,https://www.facebook.com/MoHBhutan/posts/3462210563840535,CoronaNet (original),,2022-08-08,2022-08-08T23:59:59Z
R_2EHkvb6AfK2kCHkNA,7505246,new_entry,,,"","On September 29th, the Ministry of Health of Bhutan announced that the rumors of an imminent lockdown are false. They have requested for the public to stop spreading these rumors.",2020-09-29,2020-09-29,2020-10-01,The policy is a one-time measure (e.g. publication of guidelines),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2S9rh36YBeSEZ5L,http://www.moh.gov.bt/update-phuentsholing-thromde-would-like-to-inform-the-general-public-about-the-false-rumors-of-lockdown/,CoronaNet (original),,2022-08-08,2022-08-08T23:59:59Z
R_1mdZtpOsm5dg7u2NA,5127146,new_entry,,,"","On October 4th, the Ministry of Health urged people to stop spreading rumors about a possible lockdown.",2020-10-04,2020-10-04,2020-10-06,The policy is a one-time measure (e.g. publication of guidelines),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ulFWCaOP2mfPVJf,https://www.facebook.com/MoHBhutan/posts/3538843809510543,CoronaNet (original),,2022-08-08,2022-08-08T23:59:59Z
R_W08NrW1duEzeq1bNA,3327962,new_entry,,,"","On December 21st, the Ministry of Health in Bhutan informed the general public that a rumor stating that the government is running out of isolation facilities is not true.",2020-12-21,2020-12-21,2023-12-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2PASsuO4Uc1WnYv,http://www.moh.gov.bt/fake-news-alert-2/,CoronaNet (original),,2021-03-03,2021-03-03T03:32:48Z
R_2xYvh4RivGJD2BcNA,8991844,new_entry,,,"","On December 22nd, Ministry of Health of Bhutan requested that the public not spread rumors about a chef testing positive for COVID-19.",2020-12-22,2020-12-22,2020-12-24,The policy is a one-time measure (e.g. publication of guidelines),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3f9CHXjevYqcg2R,https://www.facebook.com/MoHBhutan/posts/3754805047914417,CoronaNet (original),,2021-03-05,2021-03-05T03:35:02Z
R_3qHTOzv4QTgGpWcNA,336762,new_entry,,,"","On December 22, 2020, the Ministry of Health in Bhutan announced that a rumor about a chef being COVID-19 positive was untrue and should be reported as fake news.",2020-12-22,2020-12-22,2023-12-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Bhutan,BTN,BT,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Bhutan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wueRvMSxvF5lOk,https://www.facebook.com/MoHBhutan/posts/3754805047914417,CoronaNet (original),,2021-06-23,2021-06-23T16:09:08Z
R_3374OBuOzYgymuoEp,2549821Ep,new_entry,,,"","In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-03-20,The policy has a clear end date,Bhutan,BTN,BT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Bhutan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2t4lNBGEGXD6z4O,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,CoronaNet (original),,2020-03-29,2020-03-29T20:40:54Z
R_3374OBuOzYgymuoEq,2549821Eq,new_entry,,,"","In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-03-20,The policy has a clear end date,Bhutan,BTN,BT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Bhutan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2t4lNBGEGXD6z4O,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,CoronaNet (original),,2020-03-29,2020-03-29T20:40:54Z
R_3374OBuOzYgymuoGb,2549821Gb,new_entry,,,"","In Bhutan, as of 6 March, the government will close ""schools and institutes"" in three regions for two weeks.",2020-03-06,2020-03-06,2020-03-20,The policy has a clear end date,Bhutan,BTN,BT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Bhutan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Provincial/State Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2t4lNBGEGXD6z4O,http://www.moh.gov.bt/first-confirmed-covid-19-case-in-bhutan/,CoronaNet (original),,2020-03-29,2020-03-29T20:40:54Z
