record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_2Et47qXVaLPvzaFEq,1393123Eq,new_entry,,,"","On March 11, the government of Republica Srpska enforced the shutdown of all primary schools, secondary schools and universities.",2020-03-10,2020-03-11,2020-03-30,The policy has a clear end date,Bosnia and Herzegovina,BIH,BA,Provincial,1,Srpska,BA-SR,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Bosnia and Herzegovina,,,Srpska,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,45.7085219752772,41.6328096648747,37.2160747491998,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TLfNEyy5h0vBOc,https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA,2020-04-08,2020-04-08T20:26:37Z
R_2Et47qXVaLPvzaFGa,1393123Ga,new_entry,,,"","On March 11, the government of Republica Srpska enforced the shutdown of all primary schools, secondary schools and universities.",2020-03-10,2020-03-11,2020-03-30,The policy has a clear end date,Bosnia and Herzegovina,BIH,BA,Provincial,1,Srpska,BA-SR,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Bosnia and Herzegovina,,,Srpska,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,45.7085219752772,41.6328096648747,37.2160747491998,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TLfNEyy5h0vBOc,https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA,2020-04-08,2020-04-08T20:26:37Z
R_2Et47qXVaLPvzaFCe,1393123Ce,new_entry,,,"","On March 11, the government of Republica Srpska enforced the shutdown of all primary schools, secondary schools and universities.",2020-03-10,2020-03-11,2020-03-30,The policy has a clear end date,Bosnia and Herzegovina,BIH,BA,Provincial,1,Srpska,BA-SR,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Bosnia and Herzegovina,,,Srpska,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,45.7085219752772,41.6328096648747,37.2160747491998,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TLfNEyy5h0vBOc,https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA,2020-04-08,2020-04-08T20:26:37Z
R_3OqwOh78u7MnTKGEq,5319959Eq,new_entry,,,"",Bosnia and Herzegovina is enforcing a two-week closure of all schools and colleges starting March 11.,2020-03-11,2020-03-11,2020-03-25,The policy has a clear end date,Bosnia and Herzegovina,BIH,BA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Bosnia and Herzegovina,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.7085219752772,41.6328096648747,37.2160747491998,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6sqyyO6lAYFCp2N,https://www.telegram.hr/politika-kriminal/bih-zbog-koronavirusa-na-dva-tjedna-zatvara-sve-skole-i-fakultete/,2020-08-28,2020-08-28T00:53:38Z
R_3OqwOh78u7MnTKGGa,5319959Ga,new_entry,,,"",Bosnia and Herzegovina is enforcing a two-week closure of all schools and colleges starting March 11.,2020-03-11,2020-03-11,2020-03-25,The policy has a clear end date,Bosnia and Herzegovina,BIH,BA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Bosnia and Herzegovina,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.7085219752772,41.6328096648747,37.2160747491998,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6sqyyO6lAYFCp2N,https://www.telegram.hr/politika-kriminal/bih-zbog-koronavirusa-na-dva-tjedna-zatvara-sve-skole-i-fakultete/,2020-08-28,2020-08-28T00:53:38Z
R_3OqwOh78u7MnTKGCe,5319959Ce,new_entry,,,"",Bosnia and Herzegovina is enforcing a two-week closure of all schools and colleges starting March 11.,2020-03-11,2020-03-11,2020-03-25,The policy has a clear end date,Bosnia and Herzegovina,BIH,BA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Bosnia and Herzegovina,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",45.7085219752772,41.6328096648747,37.2160747491998,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6sqyyO6lAYFCp2N,https://www.telegram.hr/politika-kriminal/bih-zbog-koronavirusa-na-dva-tjedna-zatvara-sve-skole-i-fakultete/,2020-08-28,2020-08-28T00:53:38Z
R_2EyFzNWlCUS8dNCEq,5366481Eq,new_entry,,,"","On 12 March, Brcko District shut down schools and kindergartens.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Bosnia and Herzegovina,BIH,BA,Provincial,1,Brcko,BA-BR,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Bosnia and Herzegovina,,,Brcko,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,47.5312576175311,43.5188889500263,39.455395808376,95,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27UJuyCdz2CkHmJ,http://www.vlada.bdcentral.net/Publication/Read/od-sutra-obustava-nastave-u-brckom-zbog-koronavirusa,2021-05-10,2021-05-10T14:00:01Z
R_2EyFzNWlCUS8dNCGa,5366481Ga,new_entry,,,"","On 12 March, Brcko District shut down schools and kindergartens.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Bosnia and Herzegovina,BIH,BA,Provincial,1,Brcko,BA-BR,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Bosnia and Herzegovina,,,Brcko,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,47.5312576175311,43.5188889500263,39.455395808376,95,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27UJuyCdz2CkHmJ,http://www.vlada.bdcentral.net/Publication/Read/od-sutra-obustava-nastave-u-brckom-zbog-koronavirusa,2021-05-10,2021-05-10T14:00:01Z
R_2EyFzNWlCUS8dNCCe,5366481Ce,new_entry,,,"","On 12 March, Brcko District shut down schools and kindergartens.",2020-03-11,2020-03-12,,The policy’s end date is unknown or unreported,Bosnia and Herzegovina,BIH,BA,Provincial,1,Brcko,BA-BR,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Bosnia and Herzegovina,,,Brcko,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,47.5312576175311,43.5188889500263,39.455395808376,95,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27UJuyCdz2CkHmJ,http://www.vlada.bdcentral.net/Publication/Read/od-sutra-obustava-nastave-u-brckom-zbog-koronavirusa,2021-05-10,2021-05-10T14:00:01Z
