record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_yOYrIzI3GgbJ5cJEs,4029558Es,new_entry,,,"","After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,The policy’s end date is unknown or unreported,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Burundi,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oMTWhr3RsyZA5X,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,CoronaNet (original),,2022-09-05,2022-09-05T23:59:59Z
R_yOYrIzI3GgbJ5cJEt,4029558Et,new_entry,,,"","After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,The policy’s end date is unknown or unreported,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Burundi,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oMTWhr3RsyZA5X,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,CoronaNet (original),,2022-09-05,2022-09-05T23:59:59Z
R_yOYrIzI3GgbJ5cJGe,4029558Ge,new_entry,,,"","After announcement of the first three cases of corona virus,French and Belgian schools in BURUNDI CLOSED.",2020-03-31,2020-04-01,,The policy’s end date is unknown or unreported,Burundi,BDI,BI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Burundi,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oMTWhr3RsyZA5X,https://www.nation.co.ke/news/africa/Burundi-reports-first-two-Covid-19-cases/1066-5510478-mec5uc/index.html,CoronaNet (original),,2022-09-05,2022-09-05T23:59:59Z
R_5uoEWbgO6u5gP8RHh,9552525,new_entry,,,"","Starting from March 19, 2020 Burundi will suspend issuing new visas.",2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_117vQ3GwI2DQCOF,https://www.garda.com/crisis24/news-alerts/325241/burundi-authorities-suspend-issuing-new-visas-march-19,CDC_ITF,CDC-ITF-BI-00021_1,2023-03-14,2023-03-14T14:56:38Z
R_31N2zg7IZ8TsgDRGt,6411649,new_entry,,,"","Starting from March 20, 2020 Burundi closes Ruhwa, Kobero et NembaGasenyi ground transport borders with Rwanda and Tanzania.",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Rwanda,Tanzania","One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_24tTTnKAsq5gkzj,https://www.iwacu-burundi.org/covid-19-burundi-suspension-de-loctroi-des-visas/,John Hopkins HIT-COVID dataset,"JHU_694_border_in_air,694_border_in_land,694_border_out_air,694_border_out_land2",2023-03-09,2023-03-09T13:06:35Z
R_1lgERvGlAQQwUNkGt,2895758,new_entry,,,"","On March 21 the Ministry of Transport, Public Works, Equipment and Homeland Planning announced that all international commercial flights departing or arriving from the Melchior Ndadaye International Airport would be suspended for seven days.",2020-03-21,2020-03-22,2020-03-27,The policy has a clear end date,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3hEHQcTh673jvUJ,http://web.archive.org/web/20200416211558/https://bi.usembassy.gov/covid-19-information/,OxCGRT,OXCGRT_Burundi_20200322_extmvt,2023-03-14,2023-03-14T15:04:26Z
R_3KPUdLHrAOMVgMFGt,776834,new_entry,,,"","On March 22, 2020 Burundi suspended all international flights, except for humanitarian aid, diplomatic and emergency medical flights, until April 15, 2020",2020-03-22,2020-03-22,2020-04-15,The policy has a clear end date,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6yQp3YNeXrxeMjD,https://web.archive.org/web/20200716175512/https://reliefweb.int/report/burundi/burundi-situation-report-12-jun-2020,OxCGRT,OXCGRT_Burundi_20200404_extmvt,2023-03-15,2023-03-15T16:02:53Z
R_0NiZRhgOeGh0nQZGt,776834,update,End of Policy,,"","On March 22, 2020 Burundi suspended all international flights, except for humanitarian aid, diplomatic and emergency medical flights, until April 15, 2020 UPDATE: Airport in Burundi opens on November 8, 2020",2020-03-22,2020-03-22,2020-11-08,The policy has a clear end date,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6yQp3YNeXrxeMjD ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2S0pWbrMPzfEM9Z,NA ; https://crisis24.garda.com/alerts/2020/11/burundi-authorities-announce-reopening-of-melchior-ndadaye-international-airport-as-of-november-8-update-7,CDC_ITF,CDC_ITF_2034197_1,2023-03-15,2023-03-15T16:22:00Z
R_3no3NfVIPSJFSU5Ds,1826748,new_entry,,,"",Burundi has suspended all commercial flights at the Melchior Ndadaye international airport in Bujumbura,2020-03-26,2020-03-26,,The policy’s end date is unknown or unreported,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),,Inbound,Flights,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0UhxEz68GM7FklE,https://www.theeastafrican.co.ke/news/ea/Zero-Covid19-cases-in-Burundi/4552908-5506832-cjfstfz/index.html,CoronaNet (original),,2023-01-13,2023-01-13T10:20:29Z
R_POu5mDl2xhb9wadGt,9876660,new_entry,,,"","Starting from March 27, 2020 international flights are suspended for a week.",2020-03-27,2020-03-27,2020-04-04,The policy has a clear end date,Burundi,BDI,BI,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PMnOaZ9m5N8gwIV,http://web.archive.org/web/20200416211558/https://bi.usembassy.gov/covid-19-information/,OxCGRT,OXCGRT_Burundi_20200322_extmvt,2023-03-14,2023-03-14T15:11:07Z
