record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_3D1Ji8fpFR7j4ilEs,9449840Es,new_entry,,,"","Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",No,Chile,One or more cities within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,,All Residents (Citizen Residents +Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qF48U9NMQc6msZ,https://www.minsal.cl/seremi-de-salud-de-aysen-decreta-cuarentena-en-caleta-tortel/ ; https://radio.uchile.cl/2020/03/15/caleta-tortel-inicia-cuarentena-y-suspenden-servicios-de-transporte-en-la-comuna/,CoronaNet (original),,2021-01-29,2021-01-29T18:45:58Z
R_3D1Ji8fpFR7j4ilEt,9449840Et,new_entry,,,"","Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",No,Chile,One or more cities within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,,All Residents (Citizen Residents +Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qF48U9NMQc6msZ,https://www.minsal.cl/seremi-de-salud-de-aysen-decreta-cuarentena-en-caleta-tortel/ ; https://radio.uchile.cl/2020/03/15/caleta-tortel-inicia-cuarentena-y-suspenden-servicios-de-transporte-en-la-comuna/,CoronaNet (original),,2021-01-29,2021-01-29T18:45:58Z
R_3D1Ji8fpFR7j4ilGe,9449840Ge,new_entry,,,"","Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",No,Chile,One or more cities within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,,All Residents (Citizen Residents +Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qF48U9NMQc6msZ,https://www.minsal.cl/seremi-de-salud-de-aysen-decreta-cuarentena-en-caleta-tortel/ ; https://radio.uchile.cl/2020/03/15/caleta-tortel-inicia-cuarentena-y-suspenden-servicios-de-transporte-en-la-comuna/,CoronaNet (original),,2021-01-29,2021-01-29T18:45:58Z
R_2y9DkL0BcFISzHrEs,5372050Es,new_entry,,,"","Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,The policy has a clear end date,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Chile,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vSvObZMgQvu0g0N,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,CoronaNet (original),,2021-01-24,2021-01-24T20:15:54Z
R_2y9DkL0BcFISzHrEt,5372050Et,new_entry,,,"","Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,The policy has a clear end date,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Chile,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vSvObZMgQvu0g0N,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,CoronaNet (original),,2021-01-24,2021-01-24T20:15:54Z
R_2y9DkL0BcFISzHrGe,5372050Ge,new_entry,,,"","Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,The policy has a clear end date,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Chile,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vSvObZMgQvu0g0N,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,CoronaNet (original),,2021-01-24,2021-01-24T20:15:54Z
R_2y9DkL0BcFISzHrCf,5372050Cf,new_entry,,,"","Chile suspends classes in kindergartens, municipal and charter schools from March 16 to March 27.
",2020-03-16,2020-03-16,2020-03-27,The policy has a clear end date,Chile,CHL,CL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Chile,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vSvObZMgQvu0g0N,https://www.gob.cl/noticias/suspension-de-clases-mineduc-repartira-canastas-de-alimentacion-estudiantes/,CoronaNet (original),,2021-01-24,2021-01-24T20:15:54Z
R_2BzzhDyThmiZFV1Es,9449840Es,update,End of Policy,,"","Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks. The policy ends on May 16. UPDATE: The policy enforced from May 14 ends on May 16 because a policy at the national level is announced closing all schools around the country from May 16.",2020-03-15,2020-03-16,2020-03-16,The policy has a clear end date,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",No,Chile,One or more cities within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,,All Residents (Citizen Residents +Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qF48U9NMQc6msZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dX4A0zAJrGAdcC,NA ; https://www.minsal.cl/presidente-anuncia-suspension-de-clases-y-reduce-actos-publicos/,CoronaNet (original),,2021-01-30,2021-01-30T16:55:33Z
R_2BzzhDyThmiZFV1Et,9449840Et,update,End of Policy,,"","Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks. The policy ends on May 16. UPDATE: The policy enforced from May 14 ends on May 16 because a policy at the national level is announced closing all schools around the country from May 16.",2020-03-15,2020-03-16,2020-03-16,The policy has a clear end date,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",No,Chile,One or more cities within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,,All Residents (Citizen Residents +Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qF48U9NMQc6msZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dX4A0zAJrGAdcC,NA ; https://www.minsal.cl/presidente-anuncia-suspension-de-clases-y-reduce-actos-publicos/,CoronaNet (original),,2021-01-30,2021-01-30T16:55:33Z
R_2BzzhDyThmiZFV1Ge,9449840Ge,update,End of Policy,,"","Chile, the Aysen region suspends classes in schools and kindergartens in Caleta Tortel from March 14 for two weeks. The policy ends on May 16. UPDATE: The policy enforced from May 14 ends on May 16 because a policy at the national level is announced closing all schools around the country from May 16.",2020-03-15,2020-03-16,2020-03-16,The policy has a clear end date,Chile,CHL,CL,Provincial,1,Aysen,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",No,Chile,One or more cities within one or more countries,,Aysen,Caleta Tortel (Capitan Prat),,,All Residents (Citizen Residents +Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qF48U9NMQc6msZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dX4A0zAJrGAdcC,NA ; https://www.minsal.cl/presidente-anuncia-suspension-de-clases-y-reduce-actos-publicos/,CoronaNet (original),,2021-01-30,2021-01-30T16:55:33Z
