record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3GeyHUlhw3cDdCvEa,3750471Ea,new_entry,original,,,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z
R_3GeyHUlhw3cDdCvFj,3750471Fj,new_entry,original,,,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z
R_3GeyHUlhw3cDdCvCe,3750471Ce,new_entry,original,,,"""Cuba’s government said on Monday it was banning Cubans from leaving the country, closing schools and suspending interregional public transport in its fight to prevent the spread of the novel coronavirus."" - after Mar. 24",2020-03-24,2020-03-24,2020-04-20,Cuba,CUB,CU,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,64.1330672238681,60.1969741144984,55.9660193097336,75,https://uk.reuters.com/article/uk-health-coronavirus-cuba/cuban-government-bans-cubans-from-leaving-island-suspends-schools-over-coronavirus-idUKKBN21B04X,2020-04-02,2020-04-02T13:15:48Z
R_2EcqvfwSQ467iwINA,1133165,new_entry,original,,,"In Cuba a ""patient undergoes a rapid test, which allows specialists to learn in less than 30 minutes if people have been or not infected.

In case of testing positive for Covid-19, the real-time PCR test is also implemented, which has a very small margin of error, Duran said.

If patient is positive, 15 days after being admitted with treatment, and if he shows a favorable clinical progress, the real-time PCR test is repeated."" after Apr. 3",2020-04-03,2020-04-03,,Cuba,CUB,CU,National,1,,,,Health Monitoring,,,,Cuba,One or more provinces within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Mandatory (Unspecified/Implied),Ministry/Department of Health,72.7777063629555,68.8050034672632,65.2530139046143,77,https://www.plenglish.com/index.php?o=rn&id=54207&SEO=cuba-takes-all-measures-for-early-diagnosis-of-covid-19-patients,2020-04-12,2020-04-12T11:12:27Z
R_yrvCyAkcYhw41nrBi,9009722,update,original,,,Cuba has yet sent another medical brigade to help fight CoVid-19. This time they are supporting Saint Kitts and Nevis after Mar. 29 UPDATE: Cuba sends medical brigades as well to Saint Kitts and Nevis after Mar. 29,2020-03-29,2020-03-29,,Cuba,CUB,CU,National,0,,,,Health Resources,Doctors,,,Saint Kitts and Nevis,"One or more countries, but not all countries",,,,,Health Staff,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,71.5852195673778,67.7154698042206,64.0028293803565,87,https://www.plenglish.com/index.php?o=rn&id=53966&SEO=cubas-medical-aid-to-fight-covid-19-highlighted-in-st.-kitts-nevis,2020-04-03,2020-04-03T08:28:18Z
R_yrvCyAkcYhw41nrCx,9009722,update,original,,,Cuba has yet sent another medical brigade to help fight CoVid-19. This time they are supporting Saint Kitts and Nevis after Mar. 29 UPDATE: Cuba sends medical brigades as well to Saint Kitts and Nevis after Mar. 29,2020-03-29,2020-03-29,,Cuba,CUB,CU,National,0,,,,Health Resources,Nurses,,,Saint Kitts and Nevis,"One or more countries, but not all countries",,,,,Health Staff,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,71.5852195673778,67.7154698042206,64.0028293803565,87,https://www.plenglish.com/index.php?o=rn&id=53966&SEO=cubas-medical-aid-to-fight-covid-19-highlighted-in-st.-kitts-nevis,2020-04-03,2020-04-03T08:28:18Z
R_yrvCyAkcYhw41nrDh,9009722,update,original,,,Cuba has yet sent another medical brigade to help fight CoVid-19. This time they are supporting Saint Kitts and Nevis after Mar. 29 UPDATE: Cuba sends medical brigades as well to Saint Kitts and Nevis after Mar. 29,2020-03-29,2020-03-29,,Cuba,CUB,CU,National,0,,,,Health Resources,Other Heath Staff,,,Saint Kitts and Nevis,"One or more countries, but not all countries",,,,,Health Staff,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,71.5852195673778,67.7154698042206,64.0028293803565,87,https://www.plenglish.com/index.php?o=rn&id=53966&SEO=cubas-medical-aid-to-fight-covid-19-highlighted-in-st.-kitts-nevis,2020-04-03,2020-04-03T08:28:18Z
R_1GTCOEYt7zXZb4FGc,9009722,update,original,,,"""Cuba has dispatched 593 medical workers to 14 countries in their battles against the pandemic, its ministry of public health told Al Jazeera."" after Apr. 1 UPDATE: ""According to Dr Jorge Delgado Bustillo, director of the Central Unit of Cooperation at the ministry, which is responsible for running the foreign missions, the other 13 countries are: Andorra, Venezuela, Nicaragua, Surinam, Jamaica, Haiti, Belice, Dominica, and the island nations of Saint Christopher and Nevis, Saint Vincent and the Grenadines, Grenada, St Lucia and Antigua and Barbuda.""",2020-04-01,2020-04-01,,Cuba,CUB,CU,National,0,,,,Health Resources,Unspecified Health Staff,,,"Andorra,Antigua and Barbuda,Belize,Dominica,Haiti,Nicaragua,Saint Vincent and the Grenadines","One or more countries, but not all countries",,,,,Health Staff,Outbound,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",72.7074986393422,68.6028746761276,64.5149415329786,79,https://www.aljazeera.com/indepth/features/cuba-history-sending-medical-teams-nations-crisis-200331112744040.html,2020-04-02,2020-04-02T13:54:24Z
R_1CliYqjSqKFqLDlGc,9009722,update,original,,,"""The Cuban government has agreed to assist Ghana with a medical brigade made up of specialist doctors, nurses and medicines to fight the coronavirus disease (COVID-19) if Ghana makes a formal request in that direction."" after Apr.1 UPDATE: Cuba is ready to assist Ghana",2020-04-01,2020-04-01,,Cuba,CUB,CU,National,0,,,,Health Resources,Unspecified Health Staff,,,Ghana,"One or more countries, but not all countries",,,,,Health Staff,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,72.7074986393422,68.6028746761276,64.5149415329786,79,https://www.graphic.com.gh/news/general-news/cuba-ready-to-assist-ghana-fight-covid-19.html,2020-04-02,2020-04-02T14:03:54Z
R_2dhw1QbewPdmT6eGc,254433,update,original,Change of Policy,Strengthening,"""Cuba has deployed medical brigades to at least 20 countries to support local efforts."" after Apr. 28 UPDATE: ""Cuba has deployed medical brigades to at least 20 countries to support local efforts"" after Apr. 28",2020-04-28,2020-04-28,,Cuba,CUB,CU,National,1,,,,Health Resources,Unspecified Health Staff,,,Nigeria,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Outbound,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",73.235160541491,69.7703851875366,65.6401115897729,75,https://www.as-coa.org/articles/where-coronavirus-latin-america#dr,2020-05-05,2020-05-05T18:57:54Z
R_2XhrKDzqIrFMK1CDm,9602337,new_entry,correction,,,"Cuba implements ""strict quarantine measures [...] in areas of Havana and Pinar del Río [...], to prevent further spread of coronavirus (COVID-19) in the country. [...] Under the quarantine orders, no one is allowed to enter or exit the designated area except for those with a safe-conduct pass.""  after Apr. 3",2020-04-03,2020-04-03,,Cuba,CUB,CU,Municipal,1,,,Havana & Pinar del Río,Internal Border Restrictions,,,,Cuba,One or more geographical or administrative units within one or more countries,,,Havana & Pinar del Río,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,72.7777063629555,68.8050034672632,65.2530139046143,77,https://www.garda.com/crisis24/news-alerts/329136/cuba-quarantine-measures-implemented-in-havana-and-pinar-del-rio-april-3-update-4,2020-07-12,2020-07-12T13:03:35Z
R_262vJycTZXhg7IsDm,9602337,update,original,End of Policy,,"Cuba implements ""strict quarantine measures [...] in areas of Havana and Pinar del Río [...], to prevent further spread of coronavirus (COVID-19) in the country. [...] Under the quarantine orders, no one is allowed to enter or exit the designated area except for those with a safe-conduct pass.""  after Apr. 3. 
UPDATE: Starting in June 18, Cuba is implementing a recovery plan in all provinces except  La Habana and Matanzas UPDATE: Cuba started the recovery plan after COVID-19",2020-04-03,2020-04-03,2020-06-18,Cuba,CUB,CU,Municipal,1,,,Havana & Pinar del Río,Internal Border Restrictions,,,,Cuba,One or more geographical or administrative units within one or more countries,,,Havana & Pinar del Río,,All Residents (Citizen Residents + Foreign Residents),Inbound/Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,72.7777063629555,68.8050034672632,65.2530139046143,77,NA ; http://www.cubadebate.cu/noticias/2020/06/22/medidas-a-implementar-en-las-tres-fases-de-la-primera-etapa-de-recuperacion-pos-covid-19-pdf/#.XvTa5ihKhPY,2020-06-25,2020-06-25T17:18:08Z
R_1C3h6hdyipAQYPHCl,301177Cl,new_entry,original,,,"Cuba is expanding guns' licenses validity for two years, for those licenses that expire in 2020 or 2021.",2020-06-08,2020-06-08,,Cuba,CUB,CU,National,1,,,,Restriction and Regulation of Government Services,Issuing of permits/certificates and/or processing of government documents,,This service provided by the government is provided with conditions attached,Cuba,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Justice,85.7958966137552,82.8787248335851,79.870744115792,135,https://www.gacetaoficial.gob.cu/es/gaceta-oficial-no-30-extraordinaria-de-2020,2020-06-11,2020-06-11T18:24:59Z
