record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2WU1tBGzbvHc67ANA,8681405,new_entry,,,"","On March 19, 2020, the Ministry of Djibouti started carrying out a daily press point is held by the Secretary General of the Ministry of Health concerning the cases detected, people cured and deaths. The press briefing is in French, it is translated by Djibouti radio and television into local languages.",2021-04-19,2021-04-19,2022-07-15,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Djibouti,DJI,DJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Djibouti,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2WUyXe5sUkaQ4zF,https://sante.gouv.dj/storage/publications/October2020/d2qIs6Cwh4m5OMGe542i.pdf,2021-04-12,2021-04-12T09:00:00Z
R_0vmuwBVZkcWhe0xEl,9990130El,new_entry,,,"",The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2021-10-31,2021-10-31T14:04:03Z
R_0vmuwBVZkcWhe0xEm,9990130Em,new_entry,,,"",The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2021-10-31,2021-10-31T14:04:03Z
R_0vmuwBVZkcWhe0xFw,9990130Fw,new_entry,,,"",The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2021-10-31,2021-10-31T14:04:03Z
R_0vmuwBVZkcWhe0xCe,9990130Ce,new_entry,,,"",The Government of Djibouti orders the closure of schools and universities from the 19th of March,2020-03-19,2020-03-19,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV,https://dj.usembassy.gov/covid-19-information-26-march-2020/,2021-10-31,2021-10-31T14:04:03Z
R_1dbQOupSiI3PaefCe,1484027Ce,new_entry,,,"","On 11 May, as part of a gradual deconfinement, the Minister of Higher Education and Research in Djibouti announced the  public and private  institutions of higher education, under the conditions of installing hand device at the entrance to their establishment, organizing social distancing within and outside their establishment, providing and having the personnel carry the necessary hygienic material, and regularly disinfecting their premises",2020-05-10,2020-05-11,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Djibouti,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2BxL60OPc2M00yq ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3dRFDGDNosQmDan,https://reliefweb.int/sites/reliefweb.int/files/resources/Djibouti%20COVID19%20Sitrep%208.pdf,2021-04-11,2021-04-11T19:06:08Z
R_3M9bf4CZbZaTWLnEl,9990130El,update,Change of Policy,Strengthening,timing of policy strengthening,"The Government of Djibouti orders the closure of schools and universities from the 19th of March 

Update: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021 by presidential decree on May 10,2020 UPDATE: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021",2020-05-10,2020-05-11,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3I0LyxXvWqsh5cC,NA ; https://wiki.unece.org/download/attachments/101548957/Djibouti%20presidential%20decree.pdf?version=1&modificationDate=1596793132673&api=v2,2021-04-11,2021-04-11T21:07:45Z
R_3M9bf4CZbZaTWLnEm,9990130Em,update,Change of Policy,Strengthening,timing of policy strengthening,"The Government of Djibouti orders the closure of schools and universities from the 19th of March 

Update: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021 by presidential decree on May 10,2020 UPDATE: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021",2020-05-10,2020-05-11,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3I0LyxXvWqsh5cC,NA ; https://wiki.unece.org/download/attachments/101548957/Djibouti%20presidential%20decree.pdf?version=1&modificationDate=1596793132673&api=v2,2021-04-11,2021-04-11T21:07:45Z
R_3M9bf4CZbZaTWLnFw,9990130Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"The Government of Djibouti orders the closure of schools and universities from the 19th of March 

Update: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021 by presidential decree on May 10,2020 UPDATE: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021",2020-05-10,2020-05-11,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3I0LyxXvWqsh5cC,NA ; https://wiki.unece.org/download/attachments/101548957/Djibouti%20presidential%20decree.pdf?version=1&modificationDate=1596793132673&api=v2,2021-04-11,2021-04-11T21:07:45Z
R_3M9bf4CZbZaTWLnCe,9990130Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"The Government of Djibouti orders the closure of schools and universities from the 19th of March 

Update: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021 by presidential decree on May 10,2020 UPDATE: The original policy to close schools instated on March 19 has been extended to the academic year of 2020-2021",2020-05-10,2020-05-11,,The policy’s end date is unknown or unreported,Djibouti,DJI,DJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Djibouti,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1GOXUukRMv0jHXV ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3I0LyxXvWqsh5cC,NA ; https://wiki.unece.org/download/attachments/101548957/Djibouti%20presidential%20decree.pdf?version=1&modificationDate=1596793132673&api=v2,2021-04-11,2021-04-11T21:07:45Z
