record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_2U5gLwMcdtqAwQ7NA,12844,new_entry,,,"","The Cabinet has denied on Feb 19th posts shared by some social media pages warning against the spread of the coronavirus among school pupils, according to the Cabinet's media center's statement.",2020-02-19,2020-02-19,2020-02-21,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),National Government,21.579679045,15.0888355004353,10.6143085633326,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ebqkis9Rn9yv58,https://www.egypttoday.com/Article/1/81802/Cabinet-denies-audio-warning-of-coronavirus-spread-among-school-pupils,CoronaNet (original),,2021-05-25,2021-05-25T08:23:54Z
R_2BtjopJSd5X98p9NA,4028312,new_entry,,,"",The Cabinet on March 4th denied reports published by social media about evacuating some schools as of March 7 for four weeks due to the spread of coronavirus.,2020-03-04,2020-03-04,2020-03-06,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",24.8784593585289,19.8625189321871,14.5770089568074,27,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o0HDElISSD82ep,https://www.egypttoday.com/Article/1/82308/Cabinet-denies-reports-about-evacuating-some-schools-over-coronavirus,CoronaNet (original),,2021-05-25,2021-05-25T08:25:10Z
R_3L57lsXaGXy4DMKNA,1713416,new_entry,,,"","The Supreme Council for Media Regulation (SCMR), Egypt’s main media regulator, has announced blocking or limiting access to a dozen news websites and social media accounts since early March for spreading “rumours” about the pandemic, but it has not systematically identified the targets or specified the allegedly false information.",2020-04-03,2020-03-15,2020-03-17,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Egypt,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory (Other; please list other enforcement mechanisms in the text entry)",Other (Please specify in the text box),34.9207831129379,29.8480146501368,24.2395426977503,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_21c7ii2yvsNIlCT,https://rsf.org/en/news/egypt-blocks-online-fake-news-about-coronavirus,CoronaNet (original),,2021-05-25,2021-05-25T08:34:06Z
R_SOZwr1nkQAeQ6iZNA,7710436,new_entry,,,"","After consulting with the Ministry of Health and Population, the Egyptian cabinet denied, on March 16th, news circulating about the infection of 19,000 citizens with Coronavirus as it was referred by the study.",2020-03-16,2020-03-16,2020-03-18,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",35.8658515245187,31.2170666416314,25.739903982446,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UbUEE40HfBgNU6,https://www.egypttoday.com/Article/1/82669/Slipping-into-falsehood-Chief-of-The-New-York-Times-Cairo,CoronaNet (original),,2021-05-25,2021-05-25T08:26:38Z
R_1zd0QbPPokHjtN7NA,574966,new_entry,,,"","Egypt's Military Spokesman Tamer El-Refaie on March 18th denied news that the armed forces were deployed to the Egyptian governorates to impose an alleged curfew, as a procedure to curb the spread of the deadly coronavirus.",2020-03-18,2020-03-18,2020-03-20,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Military,39.2379265590761,34.9574460637108,30.1334493338344,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3lWuAWaHpZpIjnK,https://www.egypttoday.com/Article/1/82763/Egypt’s-military-spox-denies-army-deployed-to-impose-curfew,CoronaNet (original),,2021-05-25,2021-05-25T08:27:40Z
R_27QJ7atOH558vdaNA,7291417,new_entry,,,"",Minister of State for Information Osama Heikal denied on March 18th reports on imposing full quarantine restrictions on any governorate in Egypt.,2020-03-18,2020-03-18,2020-03-20,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),39.2379265590761,34.9574460637108,30.1334493338344,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2YPvFeaI3BKKNpj,https://www.egypttoday.com/Article/1/82764/No-quarantine-restrictions-imposed-on-any-governorate-in-Egypt-Min,CoronaNet (original),,2021-05-25,2021-05-25T08:28:52Z
R_2Pbdm9e0xNUXN3aNA,9475451,new_entry,,,"","On March 20th, the cabinet media center dismissed reports about laying off some staffers at the State’s administrative body after the government’s decision to reduce the number of employees present in the workplace due to the spread of coronavirus.",2020-03-20,2020-03-20,2020-03-22,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,43.9790848502952,39.8437582930051,35.8077094431799,16,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1NsGhhf5mLPa3KQ,https://www.egypttoday.com/Article/1/82807/Cabinet-denies-layoff-of-State-administrative-body-staffers-over-coronavirus,CoronaNet (original),,2021-05-25,2021-05-25T08:30:04Z
R_2BbSko5NvmY3ef3NA,1926398,new_entry,,,"","On March 22nd, Minister of Immigration and Egyptian Expatriates Nabila Makram Sunday denied reports circulated on social media about the illegal arrival of a boat carrying coronavirus infected Egyptians from Italy to the Nile Delta governorate of Kafr el Sheikh. 
",2020-03-22,2020-03-22,2020-03-24,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),50.666355278958,46.755223132739,42.7678831540438,24,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_10ZOi4PLW5oKa3H,https://www.egypttoday.com/Article/1/82855/Migration-min-denies-arrival-of-boat-carrying-coronavirus-infected-Egyptians,CoronaNet (original),,2021-05-25,2021-05-25T08:31:03Z
R_1IXUH2iufsKrrjrNA,4349580,new_entry,,,"",The Interior Ministry denied reports on imposing a curfew as of March 23rd to combat the novel coronavirus.,2020-03-23,2020-03-23,2020-03-25,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),53.498739825367,50.0384147370188,46.210035110669,33,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_32Q1520chTWlBet,https://www.egypttoday.com/Article/1/82922/Interior-ministry-denies-reports-on-imposing-curfew,CoronaNet (original),,2021-05-25,2021-05-25T08:32:06Z
R_3L6GrsLBgIjKS3UNA,3956760,new_entry,,,"","On March 26th, the media center of the cabinet denied claims that circulated on some websites on stopping public transportation services on Friday and Saturday. 
",2020-03-26,2020-03-26,2020-03-28,The policy is a one-time measure (e.g. publication of guidelines),Egypt,EGY,EG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Egypt,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,66.4110544795854,62.6934943208816,58.6603154961309,78,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ZJ2jIHMTnL5zy5r,https://www.egypttoday.com/Article/1/83053/Cabinet-denies-stopping-public-transportation-services-on-Friday-Saturday,CoronaNet (original),,2021-05-25,2021-05-25T08:33:09Z
