record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_3h9HKzaIZFOBoY1Eq,8918213Eq,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,CoronaNet (original),,2021-04-22,2021-04-22T02:48:10Z
R_3h9HKzaIZFOBoY1Er,8918213Er,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,CoronaNet (original),,2021-04-22,2021-04-22T02:48:10Z
R_3h9HKzaIZFOBoY1Gc,8918213Gc,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,CoronaNet (original),,2021-04-22,2021-04-22T02:48:10Z
R_3h9HKzaIZFOBoY1Cf,8918213Cf,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,CoronaNet (original),,2021-04-22,2021-04-22T02:48:10Z
R_1OwVoHrtjChf4U3Er,6669388Er,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5bFDnNTq8XCh9j0,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,CoronaNet (original),,2022-09-28,2022-09-28T20:06:00Z
R_1OwVoHrtjChf4U3Gc,6669388Gc,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5bFDnNTq8XCh9j0,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,CoronaNet (original),,2022-09-28,2022-09-28T20:06:00Z
R_1OwVoHrtjChf4U3Cf,6669388Cf,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5bFDnNTq8XCh9j0,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,CoronaNet (original),,2022-09-28,2022-09-28T20:06:00Z
R_2bUUe90ZSH8yKwrEq,8918213Eq,update,Change of Policy,Strengthening,timing of policy strengthening,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise. UPDATE: All schools and other academic institutions must remain close and remunerate their employees with pay for the duration of the emergency. They will remain closed until further notice.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvZWRRbo9nxYEy,NA ; https://www.transparencia.gob.sv/institutions/capres/documents/indice-de-decretos-ejecutivos?utf8=✓&q[name_or_description_cont]=Decreto+Ejecutivo+2020-018&q[year_cont]=&button=&q[document_category_id_eq]=,COVIDAMP,COVIDAMP_77134,2022-06-19,2022-06-19T06:53:22Z
R_2bUUe90ZSH8yKwrEr,8918213Er,update,Change of Policy,Strengthening,timing of policy strengthening,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise. UPDATE: All schools and other academic institutions must remain close and remunerate their employees with pay for the duration of the emergency. They will remain closed until further notice.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvZWRRbo9nxYEy,NA ; https://www.transparencia.gob.sv/institutions/capres/documents/indice-de-decretos-ejecutivos?utf8=✓&q[name_or_description_cont]=Decreto+Ejecutivo+2020-018&q[year_cont]=&button=&q[document_category_id_eq]=,COVIDAMP,COVIDAMP_77134,2022-06-19,2022-06-19T06:53:22Z
R_2bUUe90ZSH8yKwrGc,8918213Gc,update,Change of Policy,Strengthening,timing of policy strengthening,"El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise. UPDATE: All schools and other academic institutions must remain close and remunerate their employees with pay for the duration of the emergency. They will remain closed until further notice.",2020-03-11,2020-03-11,,The policy’s end date is unknown or unreported,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KvZWRRbo9nxYEy,NA ; https://www.transparencia.gob.sv/institutions/capres/documents/indice-de-decretos-ejecutivos?utf8=✓&q[name_or_description_cont]=Decreto+Ejecutivo+2020-018&q[year_cont]=&button=&q[document_category_id_eq]=,COVIDAMP,COVIDAMP_77134,2022-06-19,2022-06-19T06:53:22Z
