record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_SHRrQIREUVOT0prEp,5734675Ep,new_entry,,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,The policy’s end date is unknown or unreported,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2022-07-18,2022-07-18T23:59:59Z
R_SHRrQIREUVOT0prEq,5734675Eq,new_entry,,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,The policy’s end date is unknown or unreported,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2022-07-18,2022-07-18T23:59:59Z
R_SHRrQIREUVOT0prGa,5734675Ga,new_entry,,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,The policy’s end date is unknown or unreported,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2022-07-18,2022-07-18T23:59:59Z
R_SHRrQIREUVOT0prCe,5734675Ce,new_entry,,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice.",2020-03-26,2020-03-27,,The policy’s end date is unknown or unreported,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf,https://shabait.com/2020/03/26/ministry-of-health-public-announcement-no-5/,2022-07-18,2022-07-18T23:59:59Z
R_eb8y49gbmTJhtiVEp,5734675Ep,update,End of Policy,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,The policy has a clear end date,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QJM6w4uHpqe3Ar,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z
R_eb8y49gbmTJhtiVEq,5734675Eq,update,End of Policy,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,The policy has a clear end date,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QJM6w4uHpqe3Ar,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z
R_eb8y49gbmTJhtiVGa,5734675Ga,update,End of Policy,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,The policy has a clear end date,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QJM6w4uHpqe3Ar,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z
R_eb8y49gbmTJhtiVCe,5734675Ce,update,End of Policy,,"","The Ministry of Health of Eritrea announces that all institutions of learning - from Kindergarten to Colleges - will be closed starting from 27th March 2020, issued on 26th March 2020. This will remain effective until further notice. UPDATE: As it will be recalled, the Government of Eritrea has implemented the closure of all schools – from kindergarten to colleges – issued on 27 March. However, on Jun 28, 2020, the Ministry of Health issued guidelines on the partial reopening of schools.",2020-03-26,2020-03-27,2020-06-28,The policy has a clear end date,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tMxqKYEBaw1CWf ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QJM6w4uHpqe3Ar,NA ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/#disqus_thread ; https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/,2021-03-27,2021-03-27T09:58:33Z
R_3kiYSY0NsTlRByYGa,8420674Ga,new_entry,,,"","On June 28, 2020, Eritrea's Ministry of Health issued Guidelines on Partial Reopening of Schools. In this respect:

1) Eleventh Grade students all over the country will resume their studies on 6 July in order to complete unfinished portions in the current academic year.",2020-06-28,2020-07-06,,The policy’s end date is unknown or unreported,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2bQuU9fv3kqU7Nc,https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/ ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/,2021-03-27,2021-03-27T10:11:28Z
R_e5vRxnYiGNL9WalCe,8841057Ce,new_entry,,,"","On June 28, 2020, the Eritrean Ministry of Health issued Guidelines on partial reopening of schools. In this respect:

2) All College students will resume their studies on 13 July so as to complete the remaining portions scheduled for the current academic year.",2020-06-28,2020-07-13,,The policy’s end date is unknown or unreported,Eritrea,ERI,ER,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Eritrea,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mCN9iobCtQm2Hb,https://shabait.com/2020/06/28/announcement-from-the-ministry-of-health-37/ ; https://tesfanews.net/eritrea-covid19-guidelines-partial-re-opening-schools/,2021-03-27,2021-03-27T10:16:47Z
