record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1MLImcTGimpck9MNA,9299242,new_entry,,,"","Eswatini ""has created a new offence of spreading rumours or ‘unauthentic information’ about the coronavirus (COVID-19) which carries a fine of E20,000 or up to five years imprisonment.""",2020-03-27,2020-03-27,,The policy’s end date is unknown or unreported,Eswatini,SWZ,SZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eswatini,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2SqnQN7AJqD7AGK,https://swazimedia.blogspot.com/2020/03/new-offence-of-spreading-coronavirus.html,CoronaNet (original),,2021-04-21,2021-04-21T14:18:26Z
R_2xy0RcM9YowPr8ZNA,7753283,new_entry,,,"","""The Swaziland (eSwatini) Government has been forced to make a public statement reassuring people that there is no link between the coronavirus pandemic and 5G mobile phone technology.""",2021-01-18,2021-01-18,2021-01-20,The policy is a one-time measure (e.g. publication of guidelines),Eswatini,SWZ,SZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eswatini,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3RdPrZ5ZBKeFLUG,https://swazimedia.blogspot.com/2021/01/swaziland-govt-tries-to-calm-fears-that.html,CoronaNet (original),,2021-03-04,2021-03-04T09:55:27Z
R_1N8ShjQ4WDpTOfEGc,414989Gc,new_entry,,,"","Eswatini "" are beginning a phased approach of reopening our schools and tertiary institutions with effect from Monday 6 July 2020. The first phase involves the opening of Form 5s and completing classes in tertiary institutions.""",2020-07-03,2020-07-06,2020-07-08,The policy is a one-time measure (e.g. publication of guidelines),Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Eswatini,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3DhKkaN7PUoFRi7,http://www.gov.sz/images/CORONA/PM-statement-3-July-2020-final.pdf,CoronaNet (original),,2021-04-23,2021-04-23T11:35:31Z
R_1N8ShjQ4WDpTOfECf,414989Cf,new_entry,,,"","Eswatini "" are beginning a phased approach of reopening our schools and tertiary institutions with effect from Monday 6 July 2020. The first phase involves the opening of Form 5s and completing classes in tertiary institutions.""",2020-07-03,2020-07-06,2020-07-08,The policy is a one-time measure (e.g. publication of guidelines),Eswatini,SWZ,SZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Eswatini,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3DhKkaN7PUoFRi7,http://www.gov.sz/images/CORONA/PM-statement-3-July-2020-final.pdf,CoronaNet (original),,2021-04-23,2021-04-23T11:35:31Z
R_3hnXW57xzYjaeqbNA,4117681,new_entry,,,"","Eswatini ""is enforcing an curfew for the whole day and night. All unnecessary movements and visits outside the perimeters of ones home or residence are restricted except to provide or acquire essential services after March 27""",2020-03-24,2020-03-27,2020-04-16,The policy has a clear end date,Eswatini,SWZ,SZ,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Eswatini,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PRvxB78ECJ9szXb,http://www.gov.sz/index.php/latest-news/204-latest-news/2414-government-press-statement-24-march ; https://www.garda.com/crisis24/news-alerts/326766/eswatini-authorities-shut-borders-implement-nationwide-lockdown-march-17 ; https://www.garda.com/crisis24/news-alerts/326956/eswatini-partial-lockdown-comes-into-effect-march-27-update-1,CoronaNet (original),,2020-04-08,2020-04-08T15:04:24Z
R_3knBHhAnFD4sbCIDg,9648368,new_entry,,,"","Eswatini Prime Minister ""announced there would also be a curfew on travelling between 8 p.m. and 4 a.m. Public transport cannot operate after 7 p.m.""",2021-01-07,2021-01-09,2021-01-23,The policy has a clear end date,Eswatini,SWZ,SZ,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Eswatini,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DkFAtl3o75UsQVj,https://swazimedia.blogspot.com/2021/01/swaziland-bans-all-gatherings-as-govt.html,CoronaNet (original),,2021-03-04,2021-03-04T09:32:27Z
R_T7QAcJVsfiY1zDXNA,7348607,new_entry,,Strengthening,timing of policy strengthening,Eswatini extends country's State of Emergency takes effect from May 18 to at least June 19.,2020-05-18,2020-05-18,2020-06-19,The policy has a clear end date,Eswatini,SWZ,SZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Eswatini,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fAFPG7H24mhfRU ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXmbwzuQLiG65Lb,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,CoronaNet (original),,2021-04-23,2021-04-23T11:56:50Z
R_3kLjg3Xi0YRzK0KNA,7348607,update,Change of Policy,Strengthening,timing of policy strengthening,"Eswatini extends country's State of Emergency takes effect from May 18 to at least June 19. UPDATE: The original State of Emergency was set to last until May 17th, it has been extended to at least June 19.",2020-05-18,2020-05-18,2020-06-19,The policy has a clear end date,Eswatini,SWZ,SZ,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Eswatini,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2fAFPG7H24mhfRU ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXmbwzuQLiG65Lb,NA ; https://www.worldaware.com/covid-19-alert-eswatini-extends-state-emergency-through-june-19,CoronaNet (original),,2020-05-30,2020-05-30T09:18:15Z
R_1hKoWEnbmHRtnVCGr,142566,new_entry,,,"","Eswatini ""is suspending all not essential travels of citizens in other countries after March 17""
",2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Eswatini,SWZ,SZ,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Citizen Residents,,Outbound,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TNxG1ykioT4KcX,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,CoronaNet (original),,2021-05-05,2021-05-05T12:31:26Z
R_33d26wFnFivOjhUGr,4555107,new_entry,,,"","Eswatini ""is enforcing external border restriction on Foreign nationals coming from COVID-19 high risk countries. They will be restricted from entering the country until further notice after March 17""",2020-03-17,2020-03-17,,The policy’s end date is unknown or unreported,Eswatini,SWZ,SZ,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Foreign Travelers,,Inbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_795RtW2EpXTUANU,http://www.gov.sz/index.php/latest-news/204-latest-news/2405-latest-press-statement,CoronaNet (original),,2023-01-08,2023-01-08T20:07:31Z
