record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_9RCIscxa77aEvUBNA,9369605,new_entry,original,,,"On the 2nd April 2020, the European Commission launched a new section on its website where people can fact-check information in regards to COVID-19",2020-04-02,2020-04-02,,European Union,,,National,1,,,,Anti-Disinformation Measures,,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://ec.europa.eu/info/live-work-travel-eu/coronavirus-response/fighting-disinformation_en,2021-02-19,2021-02-19T12:10:32Z
R_2ZK1f2iZomOG6liNA,5097762,new_entry,original,,,10 june: The Commission will propose to the other institutions to set up and test mechanisms (Such as regular contact group/weekly videoconferences) to improve coordination on COVID-19-related disinformation within existing structures and to share assessments and analyses.,2020-06-10,2020-06-10,2020-06-24,European Union,,,National,1,,,,Anti-Disinformation Measures,,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Provincial/State Government",,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020JC0008&from=EN,2021-04-10,2021-04-10T19:06:44Z
R_2fm43dW2stY8UX0NA,3511662,new_entry,original,,,"June 10: The Commission and the High Representative, will, within their respective responsibilities: work in partnership with the WHO to response to misleading and harmful narratives by increasing sharing of information, activities and best practices. It should be intensified to better address foreign influence and disinformation.",2020-06-10,2020-06-10,2020-06-24,European Union,,,National,0,,,,Anti-Disinformation Measures,,,,,An international organization (e.g. World Health Organization),,,,,All (Travelers + Residents),,Not Applicable,Voluntary/Recommended but No Penalties,National Government,,,,,https://ec.europa.eu/commission/presscorner/detail/en/IP_20_1006,2021-04-10,2021-04-10T19:33:51Z
R_e3DpppEojEFvEelNA,2725546,new_entry,original,,,"6 june: The Commission and the High Representative will intensify the exchange of information with relevant partners from civil society
and the private sector in third countries on situational awareness and threat development, inter alia, by organising consultations, conferences and public events",2020-06-10,2020-06-10,2020-06-11,European Union,,,National,0,,,,Anti-Disinformation Measures,,,,,One or more regional groupings,Other Regions (please specify below),,,,All (Travelers + Residents),,Not Applicable,Voluntary/Recommended but No Penalties,National Government,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020JC0008&from=EN,2021-04-10,2021-04-10T19:41:34Z
R_3M6iX6xeJEOzatMNA,9064494,new_entry,original,,,"6 june; Online platforms (Notably Google, Facebook, Twitter and Microsoft) will be asked by the european comission to make available monthly reports on their policies and actions to address COVID-19 related disinformation, with the following features: Initiatives to promote authoritative content at EU and at Member State level, initiatives and tools to improve users’ awareness, Manipulative behaviour, data on flows of advertising linked to COVID-19 disinformation.",2020-06-10,2020-06-10,2020-06-24,European Union,,,National,1,,,,Anti-Disinformation Measures,,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:52020JC0011&from=EN,2021-04-10,2021-04-10T19:51:38Z
R_esULCAQV7i9k55TNA,4569640,new_entry,original,,,"On the 25th September 2020, the European parliament set up a special committee that seeks to detect and combat foreign cyberattacks distributing misinformation regarding COVID-19. The committee intends to begin by finding out what issues are targeted in the spread of disinformation.",2020-09-25,2020-09-25,,European Union,,,National,1,,,,Anti-Disinformation Measures,,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://www.dw.com/en/eu-takes-action-against-fake-news/a-55056541 ; https://ec.europa.eu/digital-single-market/en/tackling-online-disinformation,2021-02-19,2021-02-19T12:18:33Z
R_2R84fUW0K8iKiHnFm,8368185,new_entry,original,,,"On the 11th March 2021, the European Commission extended until the end of June the transparency and authorisation mechanism for COVID-19 vaccine exports. This follows persistent delays in some of the deliveries of vaccines to the EU. It is a targeted, proportionate, transparent and temporary measure.",2021-03-11,2021-03-11,2021-03-12,European Union,,,National,1,,,,COVID-19 Vaccines,Shipping of the vaccine,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://ec.europa.eu/commission/presscorner/detail/en/ip_21_1121,2021-03-28,2021-03-28T10:24:38Z
R_2VffFEduOKOA5EXEe,2699764,new_entry,original,,,"On 11th March 2021, the European Commission conditionally authorised the development of a fourth vaccine within the EU. The vaccine is developed by Janssen Pharmaceutica NV",2021-03-11,2021-03-11,,European Union,,,National,1,,,,COVID-19 Vaccines,Production of COVID-19 vaccines,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://ec.europa.eu/commission/presscorner/detail/en/ip_21_1085,2021-03-28,2021-03-28T10:29:23Z
R_ALqMq9dV2RTNuUxNA,7192773,new_entry,correction,,,"On 16 March, the European Commission announced external border restrictions, meaning that the EU will close its external borders for 30 days, with exemptions for EU citizens coming back home, for healthcare workers, like doctors and nurses, also scientists working on the solution of this health crisis we do see, and for people commuting on borders, who are working on both sides of the border.",2020-03-16,2020-03-16,2020-04-16,European Union,,,National,0,,,,External Border Restrictions,,,,All countries,All countries,"European Union (with the UK),Schengen Area (with the UK)",,,,Foreign Travelers,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://ec.europa.eu/commission/presscorner/detail/en/statement_20_477,2020-04-03,2020-04-03T19:44:16Z
R_2VyI96yIXUuzWFzDc,482697,new_entry,original,,,"On 16 March 2020, the Commission adopted a Communication1
recommending a temporary
restriction of non-essential travel from third countries into the EU+ area2
for one month. On
17 March 2020, the Heads of State or Government of the EU agreed to implement the
temporary restriction of non-essential travel. The four Schengen Associated States also
implemented it.",2020-03-27,2020-03-16,2020-04-27,European Union,,,Provincial,0,,,,External Border Restrictions,Other External Border Restriction,,,European Union,An international organization (e.g. World Health Organization),,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,file:///Users/danielgreen/Documents/07-15-2020%20Council%20Recommendation%20on%20the%20temporary%20restriction%20on%20non-essential%20travel%20into%20the%20EU%20and%20the%20possible%20lifting%20of%20such%20restriction.pdf,2020-07-16,2020-07-16T14:38:02Z
R_sHIcs3dHdoMlnkBFz,3649930,new_entry,correction,,,"As of March 17, the European Union is introducing a 30-day ban on incoming travel for foreigners to the territory of the Member States in an attempt to limit the spread of the corona-virus pandemic.",2020-03-16,2020-03-17,2020-04-15,European Union,,,National,1,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,Bolivia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport (all below except visa restrictions),"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Ministry/Department of Health,Military,Provincial/State Government,Municipal Government,Police",,,,,https://www.bnt.bg/en/a/eu-to-close-external-borders-for-30-days,2020-04-23,2020-04-23T05:33:21Z
R_2Y2QJmYApzktm9CNA,7192773,update,original,,Strengthening,"On 8 April, the Commission invited Schengen Member States and Schengen Associated States to prolong the temporary restriction on non-essential travel to the EU until 15 May. UPDATE: The original restriction of travel has been extended to last to 15 May (instead of only 16 April).",2020-04-08,2020-04-16,2020-05-15,European Union,,,National,1,,,,External Border Restrictions,,,,All countries,All countries,"European Union (with the UK),Schengen Area (with the UK)",,,,All Residents (Citizen Residents + Foreign Residents),Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://ec.europa.eu/commission/presscorner/detail/en/ip_20_616,2020-04-27,2020-04-27T09:50:31Z
R_28Z1D3U1h5pq4DUDc,5630987,new_entry,original,,,"Starting from 1 July 2020, member states should start lifting the travel restrictions at the external borders for residents of the following third countries: Algeria, Australia, Canada, Georgia, Japan, Montenegro, Morocco, New Zealand, Rwanda, Serbia, South Korea, Thailand, Tunisia, Uruguay and China, the latter subject to confirmation of reciprocity.",2020-06-30,2020-07-01,,European Union,,,Provincial,0,,,,External Border Restrictions,Other External Border Restriction,,,European Union,An international organization (e.g. World Health Organization),,,,,Foreign Travelers,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://www.consilium.europa.eu/en/policies/coronavirus/,2020-07-15,2020-07-15T15:14:15Z
R_1H6GSacINYHeelDAi,3074538,new_entry,original,,,"02/24: The Commission, with support from relevant EU agencies, is providing technical guidance related to case definition for diagnosis and aligned reporting of suspected and confirmed cases, contact tracing on aircrafts, management of points of entry and aviation sector recommendations.",2020-02-24,2020-02-24,2020-02-25,European Union,,,National,1,,,,Health Monitoring,A snapshot of a person’s health at a given point in time,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,https://ec.europa.eu/commission/presscorner/detail/en/qanda_20_307,2021-04-19,2021-04-19T19:43:03Z
R_2YGt1lpoa0SA9KHGx,3800870,new_entry,original,,,"04.08: the ECDC suggest the use of  trained nonpublic-health staff (e.g. staff working in other areas of the public service, or volunteers such as students, retired healthcare professionals, NGO workers, etc.) to carry out contact tracing activities.The staff can be tasked with interviewing cases to obtain a list of contacts and following up these contacts to provide information on self-quarantine and physical distancing, the monitoring of developing symptoms and advice on what to do if symptoms develop.",2020-04-08,2020-04-08,2020-04-09,European Union,,,National,1,,,,Health Monitoring,Who a person has come into contact with over time,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),,,,,https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-Contract-tracing-scale-up.pdf,2021-04-19,2021-04-19T20:10:13Z
R_6Wn4esxsf5xE8mdGx,3291700,new_entry,original,,,"04.08, european comission; Mobile contact tracing and warning applications can help reduce the spread of the SARS-CoV-2 and support the gradual lifting of confinement measures by:

- informing citizens if they have been in proximity of persons infected by the virus (for more than 15 minutes within less than 2 meters)
- encouraging citizens to inform their health authorities and ask for support",2020-04-08,2020-04-08,,European Union,,,National,1,,,,Health Monitoring,Who a person has come into contact with over time,,,European Union,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-Contract-tracing-scale-up.pdf,2021-04-19,2021-04-19T20:27:12Z
