record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_psLGK7hYuFsSawpNA,4680593,new_entry,original,,,"On May 21, Fiji's Ministry of Health and Medical Services responds to an article written by The Fiji Times to address inaccuracies reported by the article regarding the government's response to COVID-19.",2020-06-01,2020-05-21,2020-05-21,Fiji,FJI,FJ,National,1,,,,Anti-Disinformation Measures,,,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,67.1918582211982,63.6111709713403,60.4188964349844,61,http://www.health.gov.fj/ministry-of-health-and-medical-services-response-to-erroneous-article-by-the-fiji-times/ ; http://www.health.gov.fj/media-center/novel-coronavirus-covid-19/media-releases/,2020-08-03,2020-08-03T21:23:14Z
R_STt8gWiwZQ4bLFvDy,3023624Dy,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_STt8gWiwZQ4bLFvEa,3023624Ea,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_STt8gWiwZQ4bLFvFj,3023624Fj,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_STt8gWiwZQ4bLFvCe,3023624Ce,new_entry,original,,,"On March 20, the Fijian government announced changes to Term 1 school holidays schedule. ""The first term school holidays were initially scheduled from 20 April 2020 to 1 May 2020."" ""The National Term 1 school holidays will now begin on Monday 23 March 2020 and last until 3 April 2020.""",2020-03-20,2020-03-23,2020-04-03,Fiji,FJI,FJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",70.3225956264428,67.4333375405229,63.9472638468217,111,http://www.education.gov.fj/2020/03/20/term-1-school-holidays-moved-forward-to-23-march-2020/,2020-08-10,2020-08-10T22:23:21Z
R_1H5Mh9ckI70LlmNNA,4891085,update,original,End of Policy,,"Fiji will be under a nationwide curfew from 10pm to 5am daily from Monday, 30.03.2020. This policy ended on June 21. UPDATE: The original policy set curfew for 10PM - 5AM. This policy has been relaxed and a new curfew has been set for 11PM - 4AM.",2020-03-27,2020-03-29,2020-06-21,Fiji,FJI,FJ,National,1,,,,Curfew,,,,Fiji,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Legal Penalties (Jail Time),National Government,72.924748729877,69.5123183047548,66.2065697346866,105,NA ; http://www.health.gov.fj/prime-minister-voreqe-bainimaramas-statement-on-covid-safe-economic-recovery/,2020-08-10,2020-08-10T22:00:05Z
R_3fcOLs85KNdMBfQNA,5527822,update,original,End of Policy,,"Fiji announces a lockdown to the region of suva, starting on 03.04.2020. This policy ended on April 17. UPDATE: The original lockdown policy has ended on March 17.",2020-04-02,2020-04-03,2020-04-17,Fiji,FJI,FJ,Provincial,1,Central,,,Curfew,,,,Fiji,,,Central,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,73.808260819624,70.1733420809713,67.1289481526283,92,NA ; http://www.health.gov.fj/friday-april-17-suva-lockdown-ends-but-fight-against-covid-19-continues/ ; http://www.health.gov.fj/media-center/novel-coronavirus-covid-19/media-releases/,2020-08-03,2020-08-03T21:06:49Z
R_31RdxO1RvoFjhhWNA,2259712,update,original,,,"Fiji refuses the entry to their country to foreign people who have been to Spain, Italy, Irna, South Korea or China the last 14 days. UPDATE: The entry restrictions have been extended. Spain is now included on the list on 18.03.2020.",2020-03-18,2020-03-18,,Fiji,FJI,FJ,National,0,,,,External Border Restrictions,,,,"China,Iran,Italy,South Korea,Spain","One or more countries, but not all countries",,,,,Foreign Travelers,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,56.5483327493474,53.2070486070252,49.8210431789693,90,http://www.immigration.gov.fj/,2020-03-31,2020-03-31T09:15:45Z
R_2QQDinOgyDZZFDlFz,2259712,update,original,,,"Fiji is enforcing a two-week quarantine on all passengers arriving from or having visited China, Italy, Iran, Republic of Korea, Europe, UK and USA. UPDATE: The travel ban has been extended to people from Europe (+ UK) an USA.",2020-03-19,2020-03-19,,Fiji,FJI,FJ,National,0,,,,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been),,,"China,Iran,Italy,South Korea,Spain",One or more regional groupings,"European Union (with the UK),Asia,North America",,,,All (Travelers + Residents),Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,61.5077967054021,58.4186138396343,55.514869240081,102,https://www.rnz.co.nz/news/pacific/412217/coronavirus-number-of-cases-in-french-polynesia-rises-to-17,2020-04-01,2020-04-01T09:10:57Z
R_2THJBIXMInLxONSNA,6079490,update,original,Change of Policy,Strengthening,"On April 1, the Fijian government announced they will be extending the lockdown in Lautoka to April 7. UPDATE: The original policy did not provide an end date; however, recent news updates mentions that the policy will be extended to April 7.",2020-04-01,2020-04-01,2020-04-07,Fiji,FJI,FJ,Municipal,1,Western,,Lautoka,Lockdown,,,,Fiji,One or more geographical or administrative units within one or more countries,,Western,Lautoka,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,73.0878214734874,69.9752886049217,66.7693812776934,96,NA ; https://www.rnz.co.nz/international/pacific-news/413185/lockdown-of-fiji-s-lautoka-extended-to-tuesday,2020-08-18,2020-08-18T00:01:54Z
R_3LhdeMztCz8zwJINA,2748049,update,original,End of Policy,,"On April 3, Fiji government imposed lockdown measures on the capital city of Suva. On April 17, the Fiji government lifted lockdown measures. UPDATE: The original policy did not have an end date. It was then announced that the lockdown measure will be extended until April 17.",2020-04-16,2020-04-17,2020-04-17,Fiji,FJI,FJ,Municipal,1,Central,,Suva,Lockdown,,,,Fiji,One or more geographical or administrative units within one or more countries,,Central,Suva,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,73.6314270511714,70.2286574552948,66.987194717924,78,NA ; https://www.worldaware.com/covid-19-alert-fiji-maintains-social-distancing-april-16-lifts-lockdown-suva-april-17,2020-08-18,2020-08-18T00:19:21Z
R_pS3DGzzg7KMVQ5PBh,9693707,new_entry,original,,,"On March 26, Fiji's Ministry of Education, Heritage and Arts ""has emailed an information package titled 'COVID-19 Information for Communities – Protecting Yourself and Your Family' to individual teacher email addresses to bring about more awareness without compromising their health and safety.""",2020-03-26,2020-03-26,2020-03-26,Fiji,FJI,FJ,National,1,,,,Public Awareness Measures,Disseminating information related to COVID-19 to the public that is reliable and factually accurate,,,Fiji,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),72.3114070866705,68.8575124280728,65.988843753606,102,http://www.education.gov.fj/2020/03/26/lets-fulfil-our-civic-responsibility/,2020-08-10,2020-08-10T22:28:04Z
