record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_2TsN6T27WpTCluANA,9655030,new_entry,,,"",Gambian Health authorities refute claims donated items from China are contaminated with Coronavirus,2020-04-13,2020-04-13,2020-04-28,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2i3ggsYVAHPAHyK,https://foroyaa.net/health-authorities-refute-claims-donated-items-from-china-are-contaminated-with-coronavirus/,CoronaNet (original),,2023-07-13,2023-07-13T18:17:27Z
R_2Xb7DZPrtJIZFgLNA,4814239,new_entry,,,"","The MRC Unit the Gambia published a statemet on false social media information on Corona Virus on their webpage. It basically says that the information circulating regarding the consumption of garlic being a preventive measure against Covid-19, is false. Furthermore, the public is reminded to stick to the key preventive measures such as washing hands.",2020-05-11,2020-05-11,2020-05-13,The policy is a one-time measure (e.g. publication of guidelines),Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9TRZ2BCEDv7g1H8,https://www.mrc.gm/statement-on-false-social-media-information-on-corona-virus-prevention-in-the-gambia/,CoronaNet (original),,2023-07-13,2023-07-13T18:17:48Z
R_p3Ph2Ot34QfwMApNA,2709043,new_entry,,,"","However, Mbye Njie, the deputy programme manager for the Expanded Programme on Immunization at the Ministry of Health, said the decline in the number of positive Covid-19 cases might not be directly linked with the vaccination. He added that it has an impact because the “vaccine protects people from contracting the virus and prevents severe conditions of the virus when one contracts it.”
 
“We have not done a study to say that the vaccinations are the result of the decline in positive cases but vaccines protect people against diseases and we believe it has contributed to the reduction of positive cases in the country,” he stated.

Mr. Njie noted that some people were reluctant at first to take the vaccine due to misconceptions but in their bid to avoid the vaccines from getting expired they expanded the priority groups and included those beyond 18 years in the vaccination campaign.
He added that convincing people to get vaccinated was a challenge but starting with President Adama Barrow influenced others to get vaccinated, saying “if the vaccine was going to kill, then the president would not still have been alive.”
",2022-08-03,2022-08-03,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3O8FIzqTSjNwCWd,https://thepoint.gm/africa/gambia/headlines/health-officials-covid-19-vaccination-reduces-positive-cases-in-greater-banjul-area,CoronaNet (original),,2022-10-06,2022-10-06T12:57:40Z
R_QfDclqpHUCVNHNLNA,5693922,new_entry,,,"","Phase two of Jambaar Corona Solutions1000 youth from Western 1 & 2 and North Bank Region trained on the sensitization of their communities on the misconceptions about the COVID-19 vaccines. pic.twitter.com/w1INSI4Wt9– Social Change Factory (@ChangeFactors) September 20, 2022

Phase two of Jambaar Corona Solutions
1000 youth from Western 1 & 2 and North Bank Region trained on the sensitization of their communities on the misconceptions about the COVID-19 vaccines.",2022-09-20,2022-09-20,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BRomSHlDvOUmXMB,https://www.gambia.com/changefactors-phase-two-of-jambaar-corona-solutions1000-youth-from-western-1-2-and-north-bank-region-trained-on-the-sensitization-of-their-communities-on-the-misconceptions-about-the-covid-19/ ; https://twitter.com/ChangeFactors/status/1569375639504932864,CoronaNet (original),,2022-10-06,2022-10-06T13:38:18Z
R_32VYG7GhxNM20JZEq,3234458Eq,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,CoronaNet (original),,2020-04-05,2020-04-05T15:57:39Z
R_32VYG7GhxNM20JZEr,3234458Er,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,CoronaNet (original),,2020-04-05,2020-04-05T15:57:39Z
R_32VYG7GhxNM20JZGc,3234458Gc,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,CoronaNet (original),,2020-04-05,2020-04-05T15:57:39Z
R_32VYG7GhxNM20JZCf,3234458Cf,new_entry,,,"",Gambian President Adama Barrow closed schools and Universities.,2020-03-17,2020-03-18,2020-04-08,The policy has a clear end date,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Gambia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28MsxciMHMJy6d5,https://twitter.com/Presidency_GMB/status/1240036627176656898 ; https://www.panapress.com/Coronavirus-President-Barrow-sus-a_630632827-lang2.html ; https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia,CoronaNet (original),,2020-04-05,2020-04-05T15:57:39Z
R_27JqExyBeppVJBYEq,10798Eq,new_entry,,,"","Samateh's announcement came straight on the heels of a televised statement from President Adama Barrow, who announced anti-virus measures on Tuesday before The Gambia had a single confirmed case.

The president announced a ban on public gatherings and the closure of schools for three weeks from Wednesday.",2020-03-18,2020-03-18,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_z1LwqSpMJ92GmWJ,https://web.archive.org/web/20200507075219/https://www.news18.com/news/world/public-gatherings-banned-schools-closed-in-gambia-as-1st-coronavirus-case-detected-2540585.html,John Hopkins HIT-COVID dataset,"JHU_2153_nursery_school,2153_primary_school,2153_sec_school,2153_post_school",2022-04-27,2022-04-27T14:05:10Z
R_27JqExyBeppVJBYEr,10798Er,new_entry,,,"","Samateh's announcement came straight on the heels of a televised statement from President Adama Barrow, who announced anti-virus measures on Tuesday before The Gambia had a single confirmed case.

The president announced a ban on public gatherings and the closure of schools for three weeks from Wednesday.",2020-03-18,2020-03-18,,The policy’s end date is unknown or unreported,Gambia,GMB,GM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Gambia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_z1LwqSpMJ92GmWJ,https://web.archive.org/web/20200507075219/https://www.news18.com/news/world/public-gatherings-banned-schools-closed-in-gambia-as-1st-coronavirus-case-detected-2540585.html,John Hopkins HIT-COVID dataset,"JHU_2153_nursery_school,2153_primary_school,2153_sec_school,2153_post_school",2022-04-27,2022-04-27T14:05:10Z
