record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_1pyAwDB9nJaQd7REl,2266936El,new_entry,,,"","On March 23  the Government of Georgia announced, that educational process in educational institutions shall be suspended until 21 April 2020. General education and higher education institutions must implement this by using different forms of distance learning/ communication (if possible).",2020-03-23,2020-03-23,2020-04-21,The policy has a clear end date,Georgia,GEO,GE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",72.1660306212955,68.1418983192288,63.7344132836439,113,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EMg1KBBYTtMtGr,http://mes.gov.ge/content.php?lang=eng&id=10245 ; https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,2020-05-06,2020-05-06T18:08:49Z
R_1pyAwDB9nJaQd7REm,2266936Em,new_entry,,,"","On March 23  the Government of Georgia announced, that educational process in educational institutions shall be suspended until 21 April 2020. General education and higher education institutions must implement this by using different forms of distance learning/ communication (if possible).",2020-03-23,2020-03-23,2020-04-21,The policy has a clear end date,Georgia,GEO,GE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",72.1660306212955,68.1418983192288,63.7344132836439,113,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EMg1KBBYTtMtGr,http://mes.gov.ge/content.php?lang=eng&id=10245 ; https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,2020-05-06,2020-05-06T18:08:49Z
R_1pyAwDB9nJaQd7RFw,2266936Fw,new_entry,,,"","On March 23  the Government of Georgia announced, that educational process in educational institutions shall be suspended until 21 April 2020. General education and higher education institutions must implement this by using different forms of distance learning/ communication (if possible).",2020-03-23,2020-03-23,2020-04-21,The policy has a clear end date,Georgia,GEO,GE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",72.1660306212955,68.1418983192288,63.7344132836439,113,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EMg1KBBYTtMtGr,http://mes.gov.ge/content.php?lang=eng&id=10245 ; https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,2020-05-06,2020-05-06T18:08:49Z
R_1pyAwDB9nJaQd7RCe,2266936Ce,new_entry,,,"","On March 23  the Government of Georgia announced, that educational process in educational institutions shall be suspended until 21 April 2020. General education and higher education institutions must implement this by using different forms of distance learning/ communication (if possible).",2020-03-23,2020-03-23,2020-04-21,The policy has a clear end date,Georgia,GEO,GE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",72.1660306212955,68.1418983192288,63.7344132836439,113,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EMg1KBBYTtMtGr,http://mes.gov.ge/content.php?lang=eng&id=10245 ; https://stopcov.ge/Content/files/en-Restrictions-and-Permissions.pdf,2020-05-06,2020-05-06T18:08:49Z
R_1Iz5Ky3goicUyZgNA,3886287,new_entry,,,"","Persons age 70 or older  in Georgia are prohibited to leave their residence unless going to the closest grocery store, pharmacy, or hospital;",2020-03-30,2020-03-31,,The policy’s end date is unknown or unreported,Georgia,GEO,GE,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,National Government,84.117382093848,80.0626101139832,76.5251191214965,127,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_T2b5BZ2cpG32gNP,https://ge.usembassy.gov/covid-19-information-on-georgia/ ; https://civil.ge/archives/344761,2021-06-05,2021-06-05T08:49:13Z
R_3RwjRdJCSbok0roNA,5661584,new_entry,,,"",Georgia declared a curfew between 21:00 and 6:00 throughout the entire country starting March 31st.,2020-03-30,2020-03-31,2022-05-27,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Georgia,GEO,GE,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Georgia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,"National Government,Other (Please specify in the text box)",84.117382093848,80.0626101139832,76.5251191214965,127,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2DZhmBZc2rOjr9e,http://gov.ge/index.php?lang_id=ENG&sec_id=547&info_id=75775,2021-06-05,2021-06-05T08:50:40Z
R_1o6hNMfWgtn75aeDe,4529784,new_entry,,,"","A general curfew will apply in Georgia from Tuesday (31 March) at 08:00 a.m. (local time). Persons are only allowed to leave their apartments for necessary purchases. In addition, there is an absolute night-time curfew between 09:00 p.m. and 06:00 a.m., which also applies countrywide. Public gatherings of more than three people and public transport are also to be suspended, with the exception of taxis.",2020-03-30,2020-03-31,,The policy’s end date is unknown or unreported,Georgia,GEO,GE,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Georgia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,84.117382093848,80.0626101139832,76.5251191214965,127,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ifD9m1DRWOmnk2,https://global-monitoring.com/gm/page/events/epidemic-0002022.3xLcAJngIPYm.html?lang=en,2021-11-22,2021-11-22T15:11:22Z
R_DOYJA2iOMmP2yiJNA,2674669,new_entry,,,"","On March 21 The Georgian Parliament confirmed the presidential decree at an emergency sitting on March 21 with 115 MPs voting in favor, clearing the way for declaring a nationwide state of emergency effective until April 21.",2020-03-21,2020-03-21,2020-04-21,The policy has a clear end date,Georgia,GEO,GE,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,National Government,62.1466050686578,58.056294662585,53.6658348909381,87,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2OJTWEHxm6yBYVA,https://civil.ge/archives/349213,2020-06-16,2020-06-16T10:03:00Z
R_33ps8foyy1yGQykNA,3327340,new_entry,,,"",The State of Emergency in Georgia has been extended until May 22,2020-03-23,2020-04-23,2020-04-21,The policy has a clear end date,Georgia,GEO,GE,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Georgia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,86.4437508456169,83.3587497727818,79.8803739131375,135,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PwdlCDeSxqXtUjL ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_8hIK9AkQPK6KOjv,https://ge.usembassy.gov/covid-19-information-on-georgia/,2020-05-11,2020-05-11T18:50:19Z
R_3UYKDZK4vC7G50ZDq,3576827,new_entry,,,"",Georgia announced on March 14 about the decision to halt border crossing with Turkey through the border checkpoint of Sarpi. Land travel between the two countries still possible through Vale and Kartsakhi border checkpoints. Air travels between Georgia and Turkey not restricted.,2020-03-14,2020-03-14,2022-05-27,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Georgia,GEO,GE,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,Turkey,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,54.2589287101639,50.499383311341,46.3605294111367,107,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1N8lfF10vi2zxtJ,https://civil.ge/archives/349213,2021-06-05,2021-06-05T08:51:49Z
R_Wdrki3AJrxzY0sVDq,6039451,new_entry,,,"","The Georgian government announced on Sunday, March 15 that the land and air travel with the Russian Federation will be suspended from March 16.  The ban excludes freight cargo and Georgian nationals willing to return to the country.",2020-03-15,2020-03-16,,The policy’s end date is unknown or unreported,Georgia,GEO,GE,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,Russia,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,54.626464024642,50.507316937053,46.5679379652995,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KqlNfQuYhzGStd,https://civil.ge/archives/349213,2021-06-05,2021-06-05T08:53:27Z
R_ZE1sw0oeBZrybsZDq,9597703,new_entry,,,"","On March 16 Georgian Prime Minister’s spokesperson announced that from March 18 midnight, Georgia will ban entry to all foreign nationals  for the next two weeks",2020-03-16,2020-03-18,2020-04-01,The policy has a clear end date,Georgia,GEO,GE,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,,,,,Mandatory (Unspecified/Implied),National Government,55.4228210890234,51.4670218817912,47.6290353323527,77,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aM3r8jFxPdcnii,https://civil.ge/archives/349213,2020-05-08,2020-05-08T09:02:32Z
R_3nOR6RXSt4HSzqHDq,311325,new_entry,,,"","The Ministry of Internal Affairs (MIA)  of Georgia has announced additional measures to prevent illegal crossing of the land border. According to the statement, the Border Police will employ supplementary human and technical means to control high-risk “green border” areas. The MIA said that border patrol will equipped with protective gear when detaining possible suspects, acting in line with the recommendations from the National Center for Disease Control.",2020-03-20,2020-03-20,2020-03-21,The policy is a one-time measure (e.g. publication of guidelines),Georgia,GEO,GE,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Police",58.1701351607733,54.2858663125341,50.4413762255864,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PgK7tYm8dokhvo,https://civil.ge/archives/349213,2021-06-05,2021-06-05T08:55:28Z
R_1hRpRDY1vpYJEIsGl,656933,new_entry,,,"","As of March 21, the Georgian government suspended all air movement.  With few exceptions, all flights in or out of Georgia will be on Georgian Airways and in coordination with the Georgian government.",2020-03-21,2020-03-21,,The policy’s end date is unknown or unreported,Georgia,GEO,GE,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,All (Travelers + Residents),,Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,62.1466050686578,58.056294662585,53.6658348909381,87,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QFXDpHir7oCorB,https://ge.usembassy.gov/covid-19-information-on-georgia/,2021-06-05,2021-06-05T08:56:39Z
