record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_24HN49TEGyq3wC5Er,9781130Er,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:12:03Z
R_24HN49TEGyq3wC5Et,9781130Et,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:12:03Z
R_24HN49TEGyq3wC5Gd,9781130Gd,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:12:03Z
R_24HN49TEGyq3wC5Cr,9781130Cr,new_entry,,,"",President Nana Akufo-Addo has ordered the closure of all schools and universities in Ghana as his administration moves to stem the spread of the coronavirus pandemic.,2020-03-15,2020-03-15,2021-01-26,The policy has a clear end date,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Ghana,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_4JjBTfQYWsaeqEF ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wKrKNjP5l5yNUo,NA ; https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:12:03Z
R_3ndWfUPRWQIjrDVGd,7361873Gd,new_entry,,,"","President Akufo-Addo has announced the reopening of schools for final year students at all levels of education on Monday, June 15, 2020.",2020-05-31,2020-06-15,,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Qoy5DunGlsytlc,https://www.myjoyonline.com/news/education/final-year-students-to-resume-classes-towards-exams-from-june-15/,2020-06-11,2020-06-11T19:37:42Z
R_3ndWfUPRWQIjrDVCr,7361873Cr,new_entry,,,"","President Akufo-Addo has announced the reopening of schools for final year students at all levels of education on Monday, June 15, 2020.",2020-05-31,2020-06-15,,,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Qoy5DunGlsytlc,https://www.myjoyonline.com/news/education/final-year-students-to-resume-classes-towards-exams-from-june-15/,2020-06-11,2020-06-11T19:37:42Z
R_332wQJpoBAko3uYEr,5276302Er,new_entry,,,"","On January 26, 2021, Ghana has reopened its schools with social distancing protocols needing to be practiced and proper hygiene practiced.",2021-01-26,2021-01-26,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_U9DJ6j6WPileZS9,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:24:10Z
R_332wQJpoBAko3uYEt,5276302Et,new_entry,,,"","On January 26, 2021, Ghana has reopened its schools with social distancing protocols needing to be practiced and proper hygiene practiced.",2021-01-26,2021-01-26,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_U9DJ6j6WPileZS9,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:24:10Z
R_332wQJpoBAko3uYGd,5276302Gd,new_entry,,,"","On January 26, 2021, Ghana has reopened its schools with social distancing protocols needing to be practiced and proper hygiene practiced.",2021-01-26,2021-01-26,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_U9DJ6j6WPileZS9,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:24:10Z
R_332wQJpoBAko3uYCr,5276302Cr,new_entry,,,"","On January 26, 2021, Ghana has reopened its schools with social distancing protocols needing to be practiced and proper hygiene practiced.",2021-01-26,2021-01-26,,The policy’s end date is unknown or unreported,Ghana,GHA,GH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Ghana,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_U9DJ6j6WPileZS9,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:86f39e91-b2b7-4f40-a213-85ab8e0cd0de,2021-04-30,2021-04-30T23:24:10Z
