record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_2rABTpW7KZX31DfGb,1594372Gb,new_entry,,,"",The Education Bureau today announced that Secondary 3 to 5 cross-boundary students will resume classes on June 15 2020.,2020-06-09,2020-01-15,,The policy’s end date is unknown or unreported,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Negative COVID-19 Test,Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K25vUaRFfVVmzk,https://www.news.gov.hk/eng/2020/06/20200609/20200609_182054_764.html?type=category&name=covid19,ACAPS,ACAPS_13392,2022-12-07,2022-12-07T10:57:53Z
R_1IcliVcpGgOH2ZGEq,9654622Eq,new_entry,,,"","Starting from Jan 25 2020, all schools (including kindergartens, primary schools, secondary schools and special schools) will extend their Chinese New Year holidays to February 16 (i.e. class resumption on February 17) to safeguard students' health.  Separately, universities also deferred resumption of class after Chinese New Year holiday.",2020-01-25,2020-01-25,2020-02-16,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UfuQkWCjwrpUl0,https://web.archive.org/web/20220313045453/https://www.info.gov.hk/gia/general/202001/25/P2020012500583.htm,OxCGRT,OXCGRT_Hong Kong_20200125_school,2022-12-07,2022-12-07T10:44:50Z
R_1IcliVcpGgOH2ZGEr,9654622Er,new_entry,,,"","Starting from Jan 25 2020, all schools (including kindergartens, primary schools, secondary schools and special schools) will extend their Chinese New Year holidays to February 16 (i.e. class resumption on February 17) to safeguard students' health.  Separately, universities also deferred resumption of class after Chinese New Year holiday.",2020-01-25,2020-01-25,2020-02-16,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UfuQkWCjwrpUl0,https://web.archive.org/web/20220313045453/https://www.info.gov.hk/gia/general/202001/25/P2020012500583.htm,OxCGRT,OXCGRT_Hong Kong_20200125_school,2022-12-07,2022-12-07T10:44:50Z
R_1IcliVcpGgOH2ZGGb,9654622Gb,new_entry,,,"","Starting from Jan 25 2020, all schools (including kindergartens, primary schools, secondary schools and special schools) will extend their Chinese New Year holidays to February 16 (i.e. class resumption on February 17) to safeguard students' health.  Separately, universities also deferred resumption of class after Chinese New Year holiday.",2020-01-25,2020-01-25,2020-02-16,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UfuQkWCjwrpUl0,https://web.archive.org/web/20220313045453/https://www.info.gov.hk/gia/general/202001/25/P2020012500583.htm,OxCGRT,OXCGRT_Hong Kong_20200125_school,2022-12-07,2022-12-07T10:44:50Z
R_SK1G57e02ZWtdf3Eq,8236110Eq,new_entry,,,"",Hong Kong Education Bureau announced that all schools would resume classes on March 2 the earliest due to the epidemic development,2020-01-31,2020-01-31,2020-03-02,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_u8GKQgxTgvaC7lL,https://www.info.gov.hk/gia/general/202001/31/P2020013100693.htm,CoronaNet (original),,2020-03-31,2020-03-31T16:23:06Z
R_SK1G57e02ZWtdf3Er,8236110Er,new_entry,,,"",Hong Kong Education Bureau announced that all schools would resume classes on March 2 the earliest due to the epidemic development,2020-01-31,2020-01-31,2020-03-02,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_u8GKQgxTgvaC7lL,https://www.info.gov.hk/gia/general/202001/31/P2020013100693.htm,CoronaNet (original),,2020-03-31,2020-03-31T16:23:06Z
R_SK1G57e02ZWtdf3Gb,8236110Gb,new_entry,,,"",Hong Kong Education Bureau announced that all schools would resume classes on March 2 the earliest due to the epidemic development,2020-01-31,2020-01-31,2020-03-02,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Hong Kong,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_u8GKQgxTgvaC7lL,https://www.info.gov.hk/gia/general/202001/31/P2020013100693.htm,CoronaNet (original),,2020-03-31,2020-03-31T16:23:06Z
R_3WVybPjsaKs8AeZEq,8354528Eq,new_entry,,,"",Hong Kong extended the Chinese New Year holidays of schools to February 17,2020-01-31,2020-01-31,2020-02-17,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Hong Kong,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AdGC6H5dcDgk2Pf,https://www.info.gov.hk/gia/general/202001/31/P2020013100826.htm,CoronaNet (original),,2021-06-04,2021-06-04T17:24:21Z
R_3WVybPjsaKs8AeZEr,8354528Er,new_entry,,,"",Hong Kong extended the Chinese New Year holidays of schools to February 17,2020-01-31,2020-01-31,2020-02-17,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Hong Kong,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AdGC6H5dcDgk2Pf,https://www.info.gov.hk/gia/general/202001/31/P2020013100826.htm,CoronaNet (original),,2021-06-04,2021-06-04T17:24:21Z
R_3WVybPjsaKs8AeZGb,8354528Gb,new_entry,,,"",Hong Kong extended the Chinese New Year holidays of schools to February 17,2020-01-31,2020-01-31,2020-02-17,The policy has a clear end date,Hong Kong,HKG,HK,National,1,Hong Kong,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Hong Kong,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AdGC6H5dcDgk2Pf,https://www.info.gov.hk/gia/general/202001/31/P2020013100826.htm,CoronaNet (original),,2021-06-04,2021-06-04T17:24:21Z
