record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3JqKZlI8bjqwtxEGd,514200Gd,new_entry,,,"",Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,2020-03-13,2020-03-16,2020-04-13,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,45.3444596041603,42.2897091803262,39.138818394302,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2020-04-02,2020-04-02T17:01:19Z
R_3JqKZlI8bjqwtxECr,514200Cr,new_entry,,,"",Iceland announced the closing of upper secondary schools and universities starting March 16th. Preschools and elementary schools will be place under special conditions.,2020-03-13,2020-03-16,2020-04-13,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,45.3444596041603,42.2897091803262,39.138818394302,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2020-04-02,2020-04-02T17:01:19Z
R_bIzZet9xGLvbfqNGd,514200Gd,new_entry,,Strengthening,"","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,,,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1q4gLUQ66GTH4RP,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z
R_bIzZet9xGLvbfqNCr,514200Cr,new_entry,,Strengthening,"","On May 4, the gathering ban will be raised to 50 individuals. Preschools and elementary schools, which have operated at a limited capacity, will resume regular operation, and junior colleges and universities will reopen. All schools must limit student groups according to the 50-person limit.",2020-04-14,2020-05-04,,,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1q4gLUQ66GTH4RP,https://www.icelandreview.com/society/iceland-to-loosen-covid-19-restrictions-starting-may-4/,2020-04-14,2020-04-14T13:57:39Z
R_O8q8VRfRRlKHKtbGd,514200Gd,new_entry,,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2021-04-30,2021-04-30T14:07:01Z
R_O8q8VRfRRlKHKtbCr,514200Cr,new_entry,,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,https://www.government.is/diplomatic-missions/embassy-article/2020/03/13/Stricter-measures-to-slow-down-the-spread-of-COVID-19-/,2021-04-30,2021-04-30T14:07:01Z
R_O2w9Xx58IKW2fXrGd,514200Gd,new_entry,,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,NA,2021-05-07,2021-05-07T11:33:25Z
R_O2w9Xx58IKW2fXrCr,514200Cr,new_entry,,,"","Update: On 13 March the Minister of Health in Iceland announced that the operations of pre-primary and elementary schools would be limited and upper secondary schools (VET included) and universities were closed. As of 4 May, upper secondary schools and universities reopened with certain limitations, while elementary schools and pre-schools returned mostly to normal.",2020-04-14,2020-05-04,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,53.5862931324193,50.9006937393867,48.2521918812476,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qIUDqqwfhyLfpp7 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qUGeHKP4l4uuJk,NA,2021-05-07,2021-05-07T11:33:25Z
R_2TtL6jEXjTuZBYKNA,6036807,new_entry,,,"","The national commissioner of the Icelandic police raises the alert level of the response to COVID-19 to emergency phase on March 6th, following the confirmation of the first transmissions of the virus within Iceland.",2020-03-06,2020-03-06,,The policy’s end date is unknown or unreported,Iceland,ISL,IS,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Police,32.4571267667927,28.5310242474996,23.7769162116184,72,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5on8PnEBZGiCZoZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ykj53gKT8ZQyLH,NA ; https://www.almannavarnir.is/frettir/neydarstig-almannavarna-vegna-covid-19/,2021-04-30,2021-04-30T14:21:44Z
R_1ZwB3489aYoIJtnNA,6036807,update,End of Policy,,"","The national commissioner of the Icelandic police raises the alert level of the response to COVID-19 to emergency phase on March 6th, following the confirmation of the first transmissions of the virus within Iceland. The national emergency rating was lowered on May 25. UPDATE: The national emergency rating was lowered on May 25",2020-05-20,2020-05-25,2020-05-25,The policy has a clear end date,Iceland,ISL,IS,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Iceland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Police,52.8350995370197,50.2745683482704,47.6974557880474,12,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_5on8PnEBZGiCZoZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1G5yVnmx9kbBW37,NA ; https://grapevine.is/news/2020/05/22/covid-19-in-iceland-two-active-cases-state-of-emergency-lifts-on-monday/ ; https://www.almannavarnir.is/frettir/almannavarnastig-faert-a-haettustig/,2021-04-30,2021-04-30T16:44:09Z
