record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_2xXi4x35zZzMwI9Es,9137081Es,new_entry,,,"","In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut ""for at least 10 days"".",2020-02-25,2020-02-25,2020-03-05,The policy has a clear end date,Iraq,IRQ,IQ,Provincial,1,An Najaf,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Iraq,,,An Najaf,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",47.3888998092887,43.214086416798,39.4508679460914,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ODDV0Oq3rRPiow,https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html ; https://egyptindependent.com/iraq-reports-four-cases-of-coronavirus-amid-fear-of-iran-epidemic-spillover/,CoronaNet (original),,2020-03-31,2020-03-31T14:38:48Z
R_2xXi4x35zZzMwI9Gc,9137081Gc,new_entry,,,"","In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut ""for at least 10 days"".",2020-02-25,2020-02-25,2020-03-05,The policy has a clear end date,Iraq,IRQ,IQ,Provincial,1,An Najaf,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Iraq,,,An Najaf,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",47.3888998092887,43.214086416798,39.4508679460914,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ODDV0Oq3rRPiow,https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html ; https://egyptindependent.com/iraq-reports-four-cases-of-coronavirus-amid-fear-of-iran-epidemic-spillover/,CoronaNet (original),,2020-03-31,2020-03-31T14:38:48Z
R_2xXi4x35zZzMwI9Cf,9137081Cf,new_entry,,,"","In Iraq, as of Feb. 25, all schools and universities in Najaf province have been shut ""for at least 10 days"".",2020-02-25,2020-02-25,2020-03-05,The policy has a clear end date,Iraq,IRQ,IQ,Provincial,1,An Najaf,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Iraq,,,An Najaf,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",47.3888998092887,43.214086416798,39.4508679460914,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ODDV0Oq3rRPiow,https://www.thejakartapost.com/news/2020/02/25/schools-shrines-shut-in-iraqs-najaf-over-coronavirus-.html ; https://egyptindependent.com/iraq-reports-four-cases-of-coronavirus-amid-fear-of-iran-epidemic-spillover/,CoronaNet (original),,2020-03-31,2020-03-31T14:38:48Z
R_2XigX9BivmC6C0cEs,8463849Es,new_entry,,,"","On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.",2020-02-25,2020-02-25,2020-09-15,The policy has a clear end date,Iraq,IRQ,IQ,Provincial,1,Kirkuk,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,One or more provinces within one or more countries,,Kirkuk,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,47.3888998092887,43.214086416798,39.4508679460914,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2DLUNBpEc3zydOm,https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI,CoronaNet (original),,2022-09-19,2022-09-19T23:59:59Z
R_2XigX9BivmC6C0cGc,8463849Gc,new_entry,,,"","On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.",2020-02-25,2020-02-25,2020-09-15,The policy has a clear end date,Iraq,IRQ,IQ,Provincial,1,Kirkuk,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,One or more provinces within one or more countries,,Kirkuk,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,47.3888998092887,43.214086416798,39.4508679460914,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2DLUNBpEc3zydOm,https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI,CoronaNet (original),,2022-09-19,2022-09-19T23:59:59Z
R_2XigX9BivmC6C0cCf,8463849Cf,new_entry,,,"","On Feb. 25, the Kirkuk Governate in Iraq indefinitely closed schools and universities.",2020-02-25,2020-02-25,2020-09-15,The policy has a clear end date,Iraq,IRQ,IQ,Provincial,1,Kirkuk,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,One or more provinces within one or more countries,,Kirkuk,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,47.3888998092887,43.214086416798,39.4508679460914,133,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2DLUNBpEc3zydOm,https://www.reuters.com/article/us-china-health-iraq/first-iraqis-catch-coronavirus-amid-fear-of-iran-epidemic-spillover-idUSKCN20J0ZI,CoronaNet (original),,2022-09-19,2022-09-19T23:59:59Z
R_1r1xP70mTLtOaACEr,9392912Er,new_entry,,,"",Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,The policy has a clear end date,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12SyTfdC4lu9Iaz,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,CoronaNet (original),,2020-11-09,2020-11-09T14:48:21Z
R_1r1xP70mTLtOaACEs,9392912Es,new_entry,,,"",Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,The policy has a clear end date,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12SyTfdC4lu9Iaz,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,CoronaNet (original),,2020-11-09,2020-11-09T14:48:21Z
R_1r1xP70mTLtOaACGc,9392912Gc,new_entry,,,"",Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,The policy has a clear end date,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12SyTfdC4lu9Iaz,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,CoronaNet (original),,2020-11-09,2020-11-09T14:48:21Z
R_1r1xP70mTLtOaACCf,9392912Cf,new_entry,,,"",Iraq is closing all educational institutions from Feb. 27 until March 7.,2020-02-26,2020-02-27,2020-03-07,The policy has a clear end date,Iraq,IRQ,IQ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Iraq,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",51.4038102381462,47.466404209835,43.8415071809874,134,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12SyTfdC4lu9Iaz,https://www.facebook.com/MOH.GOV.IQ/posts/2763336420387405 ; https://www.reuters.com/article/us-china-health-iraq/iraq-bans-public-gatherings-on-coronavirus-fear-travel-ban-totals-nine-countries-idUSKCN20K2ZE,CoronaNet (original),,2020-11-09,2020-11-09T14:48:21Z
