record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,CoronaNet (original),,2021-04-11,2021-04-11T10:32:02Z
R_1indtPtxlrIprI9NA,8077239,new_entry,,,"","On April 14, The Irish Government has agreed that there is ""no truth"" to conspiracy theories linking the spread of coronavirus with 5G. Liz Canavan Senior Official in the Department of the Taoiseach urged people to 'ignore misinformation' in a press briefing in Dublin.",2020-04-14,2020-04-14,2023-06-13,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Ireland,IRL,IE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Ireland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2lb27CR5kM8iNoy,https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-5g-conspiracy-theory-21864992,CoronaNet (original),,2022-07-18,2022-07-18T00:42:32Z
R_8IDIoXssHtUyUW5NA,8140318,new_entry,,,"","On July 20, a new report by the Department for Digital, Culture, Media, and Sport (DCMS) Select Committee has urged the Ireland Government to appoint an online harms regulator to hold online platforms to account. The report highlighted the spread of false claims online linking 5G to the virus, resulting in threats being made against telecoms engineers, as a clear sign of the dangers misinformation can pose.",2020-07-20,2020-07-20,2023-06-13,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Ireland,IRL,IE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Ireland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_czQ48pCBgGhdqZg,https://www.irishnews.com/magazine/technology/2020/07/20/news/misinformation-spreading-easily-without-online-harms-regulator-mps-say-2011508/,CoronaNet (original),,2022-07-18,2022-07-18T00:45:53Z
R_3pguTSisK87j3IYEs,2416819Es,new_entry,,,"","On February 24, 2020, Ireland maintains Level Five of COVID-19 restrictions. Primary schools will re-open on Monday for the four young youngest ages groups, the equivalent of primaries one to four. Final year secondary students will also return then. Other pupils and students will resume their schooling in a phased manner over the coming weeks, along with preschool childcare.",2020-02-24,2020-02-24,2020-04-05,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Ireland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wB0WbRb6aKvjSv,https://web.archive.org/web/20210223230203/https://www.bbc.com/news/world-europe-56175114,OxCGRT,OXCGRT_Ireland_20210224_school,2022-10-12,2022-10-12T03:12:48Z
R_3pguTSisK87j3IYEt,2416819Et,new_entry,,,"","On February 24, 2020, Ireland maintains Level Five of COVID-19 restrictions. Primary schools will re-open on Monday for the four young youngest ages groups, the equivalent of primaries one to four. Final year secondary students will also return then. Other pupils and students will resume their schooling in a phased manner over the coming weeks, along with preschool childcare.",2020-02-24,2020-02-24,2020-04-05,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Ireland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wB0WbRb6aKvjSv,https://web.archive.org/web/20210223230203/https://www.bbc.com/news/world-europe-56175114,OxCGRT,OXCGRT_Ireland_20210224_school,2022-10-12,2022-10-12T03:12:48Z
R_3pguTSisK87j3IYGe,2416819Ge,new_entry,,,"","On February 24, 2020, Ireland maintains Level Five of COVID-19 restrictions. Primary schools will re-open on Monday for the four young youngest ages groups, the equivalent of primaries one to four. Final year secondary students will also return then. Other pupils and students will resume their schooling in a phased manner over the coming weeks, along with preschool childcare.",2020-02-24,2020-02-24,2020-04-05,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Ireland,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wB0WbRb6aKvjSv,https://web.archive.org/web/20210223230203/https://www.bbc.com/news/world-europe-56175114,OxCGRT,OXCGRT_Ireland_20210224_school,2022-10-12,2022-10-12T03:12:48Z
R_AEG88tlFN0Pa9YBGe,5249294Ge,new_entry,,,"",In Ireland the Department of Health had to close a school in the east of the country (Dublin) to prevent a further spread of the virus from Mar 01-Mar 16.,2020-03-01,2020-03-01,2020-03-16,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Ireland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2VeVV04SdCbv8sv,https://www.gov.ie/pdf/?file=https://assets.gov.ie/70657/89f2241227724f2e94556342e9c27a04.pdf#page=1 ; https://www.irishexaminer.com/breakingnews/ireland/chief-medical-officer-defends-states-refusal-to-name-dublin-school-closed-due-to-coronavirus-985152.html,CoronaNet (original),,2020-03-31,2020-03-31T05:54:07Z
R_3KNRoplWIKcuFv9Ge,1527189Ge,new_entry,,,"","On March 2, 2020, the Ireland Government announced that in the east of the country a secondary school will close for 14 days, the duration of the Covid-19 incubation period.",2020-03-02,2020-03-02,2020-03-16,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",No,Ireland,One or more geographical or administrative units (other than provincial or city level units) within one or more countries,,,,,East of Ireland,All Residents (Citizen Residents +Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DOwPgYfy3MadxwR,https://www.gov.ie/pdf/?file=https://assets.gov.ie/70761/dcf646276d764d4c8eb7ef0d5d12bb52.pdf#page=1 ; https://www.gov.ie/en/publication/51c352-coronavirus-covid-19/#chief-medical-officer-advice-to-parents-and-schools,CoronaNet (original),,2021-02-17,2021-02-17T10:47:14Z
R_3Kr2dpDTWvsxWsHEs,6887965Es,new_entry,,,"","The Republic of Ireland ""will close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools"" as well as ""higher educational institutions, including universities, research institutes and so on"". The institutions will be closed for a period until 29 March 2020. ""It will take effect from 6pm this evening, Thrusday 12 March.""",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Ireland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DT4scPFCzNrDEj,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/publication/ea1c30-updated-measures-in-response-to-covid-19-coronavirus/,CoronaNet (original),,2020-03-28,2020-03-28T14:54:23Z
R_3Kr2dpDTWvsxWsHEt,6887965Et,new_entry,,,"","The Republic of Ireland ""will close the following institutions to students: educational institutions including creches or kindergartens, primary and secondary schools"" as well as ""higher educational institutions, including universities, research institutes and so on"". The institutions will be closed for a period until 29 March 2020. ""It will take effect from 6pm this evening, Thrusday 12 March.""",2020-03-12,2020-03-12,2020-03-29,The policy has a clear end date,Ireland,IRL,IE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Ireland,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DT4scPFCzNrDEj,https://www.education.ie/en/Press-Events/Press-Releases/2020-press-releases/12-march-2020-statement-from-the-department-of-education-and-skills.html ; https://www.gov.ie/en/publication/ea1c30-updated-measures-in-response-to-covid-19-coronavirus/,CoronaNet (original),,2020-03-28,2020-03-28T14:54:23Z
