record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1H0LGBddzFFHJNbEq,6972925Eq,new_entry,,,"","Jordan is suspending the activities of all educational institutions for two weeks starting Sunday, March 15.",2020-03-14,2020-03-15,2020-03-28,The policy has a clear end date,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Jordan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IXBDQHm2XPoC5z,https://www.skynewsarabia.com/middle-east/1328220-%D8%A7%D9%84%D8%A7%D9%94%D8%B1%D8%AF%D9%86-%D9%8A%D8%B9%D9%84%D9%82-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%A9-%D9%88%D9%8A%D9%88%D9%82%D9%81-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9 ; https://www.almamlakatv.com/news/%D8%AA%D8%B9%D8%B7%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D9%88%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A7%D8%AA-%D9%84%D9%85%D8%AF%D8%A9-%D8%A3%D8%B3%D8%A8%D9%88%D8%B9%D9%8A%D9%86-35617,CoronaNet (original),,2020-03-29,2020-03-29T16:36:55Z
R_1H0LGBddzFFHJNbEr,6972925Er,new_entry,,,"","Jordan is suspending the activities of all educational institutions for two weeks starting Sunday, March 15.",2020-03-14,2020-03-15,2020-03-28,The policy has a clear end date,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Jordan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IXBDQHm2XPoC5z,https://www.skynewsarabia.com/middle-east/1328220-%D8%A7%D9%84%D8%A7%D9%94%D8%B1%D8%AF%D9%86-%D9%8A%D8%B9%D9%84%D9%82-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%A9-%D9%88%D9%8A%D9%88%D9%82%D9%81-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9 ; https://www.almamlakatv.com/news/%D8%AA%D8%B9%D8%B7%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D9%88%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A7%D8%AA-%D9%84%D9%85%D8%AF%D8%A9-%D8%A3%D8%B3%D8%A8%D9%88%D8%B9%D9%8A%D9%86-35617,CoronaNet (original),,2020-03-29,2020-03-29T16:36:55Z
R_1H0LGBddzFFHJNbGc,6972925Gc,new_entry,,,"","Jordan is suspending the activities of all educational institutions for two weeks starting Sunday, March 15.",2020-03-14,2020-03-15,2020-03-28,The policy has a clear end date,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Jordan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IXBDQHm2XPoC5z,https://www.skynewsarabia.com/middle-east/1328220-%D8%A7%D9%84%D8%A7%D9%94%D8%B1%D8%AF%D9%86-%D9%8A%D8%B9%D9%84%D9%82-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%A9-%D9%88%D9%8A%D9%88%D9%82%D9%81-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9 ; https://www.almamlakatv.com/news/%D8%AA%D8%B9%D8%B7%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D9%88%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A7%D8%AA-%D9%84%D9%85%D8%AF%D8%A9-%D8%A3%D8%B3%D8%A8%D9%88%D8%B9%D9%8A%D9%86-35617,CoronaNet (original),,2020-03-29,2020-03-29T16:36:55Z
R_1H0LGBddzFFHJNbCf,6972925Cf,new_entry,,,"","Jordan is suspending the activities of all educational institutions for two weeks starting Sunday, March 15.",2020-03-14,2020-03-15,2020-03-28,The policy has a clear end date,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Jordan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IXBDQHm2XPoC5z,https://www.skynewsarabia.com/middle-east/1328220-%D8%A7%D9%84%D8%A7%D9%94%D8%B1%D8%AF%D9%86-%D9%8A%D8%B9%D9%84%D9%82-%D8%A7%D9%84%D8%B1%D8%AD%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%A9-%D9%88%D9%8A%D9%88%D9%82%D9%81-%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A9 ; https://www.almamlakatv.com/news/%D8%AA%D8%B9%D8%B7%D9%8A%D9%84-%D8%A7%D9%84%D9%85%D8%AF%D8%A7%D8%B1%D8%B3-%D9%88%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A7%D8%AA-%D9%84%D9%85%D8%AF%D8%A9-%D8%A3%D8%B3%D8%A8%D9%88%D8%B9%D9%8A%D9%86-35617,CoronaNet (original),,2020-03-29,2020-03-29T16:36:55Z
R_1EhddM0gpoe3m5OEq,9720377Eq,new_entry,,,"","Jordan is suspending all educational institutions from March 15, 2020",2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Jordan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JykHY7M2AobzjL,https://web.archive.org/web/20230620082109/https://english.aawsat.com/home/article/2181011/egypt-jordan-shut-schools-universities-virus-hit-cases-increase,OxCGRT,OXCGRT_Jordan_20200509_extmvt,2023-06-20,2023-06-20T10:36:17Z
R_1EhddM0gpoe3m5OEr,9720377Er,new_entry,,,"","Jordan is suspending all educational institutions from March 15, 2020",2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Jordan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JykHY7M2AobzjL,https://web.archive.org/web/20230620082109/https://english.aawsat.com/home/article/2181011/egypt-jordan-shut-schools-universities-virus-hit-cases-increase,OxCGRT,OXCGRT_Jordan_20200509_extmvt,2023-06-20,2023-06-20T10:36:17Z
R_1EhddM0gpoe3m5OGc,9720377Gc,new_entry,,,"","Jordan is suspending all educational institutions from March 15, 2020",2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Jordan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JykHY7M2AobzjL,https://web.archive.org/web/20230620082109/https://english.aawsat.com/home/article/2181011/egypt-jordan-shut-schools-universities-virus-hit-cases-increase,OxCGRT,OXCGRT_Jordan_20200509_extmvt,2023-06-20,2023-06-20T10:36:17Z
R_1EhddM0gpoe3m5OCf,9720377Cf,new_entry,,,"","Jordan is suspending all educational institutions from March 15, 2020",2020-03-15,2020-03-15,,The policy’s end date is unknown or unreported,Jordan,JOR,JO,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Jordan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3JykHY7M2AobzjL,https://web.archive.org/web/20230620082109/https://english.aawsat.com/home/article/2181011/egypt-jordan-shut-schools-universities-virus-hit-cases-increase,OxCGRT,OXCGRT_Jordan_20200509_extmvt,2023-06-20,2023-06-20T10:36:17Z
R_2xF6Y65DwVPldWwDg,1818264,new_entry,,,"","On the 25th of March 2020, Jordan’s Prime Minister announces that “people would be allowed to leave their homes from 10am to 18:00pm to walk to corner shops, groceries, bakeries and pharmacies.” 

",2020-03-25,2020-03-25,2020-03-31,The policy has a clear end date,Jordan,JOR,JO,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Jordan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"National Government,Military,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1erV9MRrXyGWIGf,https://www.thenationalnews.com/world/mena/jordan-eases-coronavirus-lockdown-to-allow-residents-to-buy-food-1.996975 ; https://edition.cnn.com/2020/03/25/middleeast/jordan-lockdown-coronavirus-intl/index.html,CoronaNet (original),,2021-03-01,2021-03-01T21:57:41Z
R_2VBDJyHOPYCqCGHDg,9905096,new_entry,,,"","On April 21, 2020, the national government of Jordan announced that ""under amended curfew hours for the Holy month of Ramadan, people may move on foot from 8 am to 6 pm"" starting April 25 unless otherwise announced.",2020-04-21,2020-04-25,,The policy’s end date is unknown or unreported,Jordan,JOR,JO,National,1,,,,Curfew,No the curfew times are always the same regardless of the day of the week,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Jordan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3DkJt66Pn4WiR2Y,NA,CoronaNet (original),,2021-04-12,2021-04-12T16:33:57Z
