record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_2dEfxaNxpIsToItEa,6761663Ea,new_entry,correction,,,"Kosovo Government announces on the 11th March 2020 preventative measures for education institutions.

1. To close all schools, public and private, at primary, secondary and university level until March 27
",2020-03-11,2020-03-12,2020-03-27,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,57.7178408188101,53.9100078251615,50.3863591243291,127,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2021-04-16,2021-04-16T02:19:30Z
R_2dEfxaNxpIsToItFj,6761663Fj,new_entry,correction,,,"Kosovo Government announces on the 11th March 2020 preventative measures for education institutions.

1. To close all schools, public and private, at primary, secondary and university level until March 27
",2020-03-11,2020-03-12,2020-03-27,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,57.7178408188101,53.9100078251615,50.3863591243291,127,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2021-04-16,2021-04-16T02:19:30Z
R_2dEfxaNxpIsToItCe,6761663Ce,new_entry,correction,,,"Kosovo Government announces on the 11th March 2020 preventative measures for education institutions.

1. To close all schools, public and private, at primary, secondary and university level until March 27
",2020-03-11,2020-03-12,2020-03-27,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,57.7178408188101,53.9100078251615,50.3863591243291,127,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2021-04-16,2021-04-16T02:19:30Z
R_3gR5h9wQptJ6JskEa,6761663Ea,update,original,Change of Policy,Strengthening,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

 UPDATE: The original policy was set to last until March 27th. This has been extended indefinately.",2020-03-11,2020-03-12,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,57.7178408188101,53.9100078251615,50.3863591243291,127,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2021-04-16,2021-04-16T02:25:36Z
R_3gR5h9wQptJ6JskFj,6761663Fj,update,original,Change of Policy,Strengthening,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

 UPDATE: The original policy was set to last until March 27th. This has been extended indefinately.",2020-03-11,2020-03-12,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,57.7178408188101,53.9100078251615,50.3863591243291,127,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2021-04-16,2021-04-16T02:25:36Z
R_3gR5h9wQptJ6JskCe,6761663Ce,update,original,Change of Policy,Strengthening,"The measures, proposed by Koovo Minister of Health Arben Vitia, were approved at a meeting of the government held on Wednesday evening.

In full, the following measures were announced by the Kosovo Government: 

1. To close all schools, public and private, at primary, secondary and university level until March 27

 UPDATE: The original policy was set to last until March 27th. This has been extended indefinately.",2020-03-11,2020-03-12,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,57.7178408188101,53.9100078251615,50.3863591243291,127,https://prishtinainsight.com/further-measures-taken-by-kosovo-govt-to-tackle-coronavirus-pandemic/,2021-04-16,2021-04-16T02:25:36Z
R_1gcGlTxhSvZpsx0Dy,2578426Dy,new_entry,original,,,"Schools in Kosovo reopened on the 14th of September 2020, under a three stage plan.
Stage 1 involves: preschool level and grades 1,2,3,6 and 10 starts teaching on Monday, September 14 with school presence, while grades 4 and 5 start teaching in the same date,  with presence in school, or combined teaching, depending on the capacity of the school in accordance with the assessment of the task force at the level of MED and school.",2020-09-14,2020-09-14,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities allowed to open with no conditions,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,New (COVID-19 specific) Task Force",65.6562212349919,62.6467476845705,58.8616526723436,91,https://prishtinainsight.com/kosovo-schools-to-open-in-september/ ; https://gandhara.rferl.org/a/back-to-school-amid-the-covid-19-pandemic/30840488.html,2021-04-16,2021-04-16T02:39:08Z
R_1gcGlTxhSvZpsx0Ea,2578426Ea,new_entry,original,,,"Schools in Kosovo reopened on the 14th of September 2020, under a three stage plan.
Stage 1 involves: preschool level and grades 1,2,3,6 and 10 starts teaching on Monday, September 14 with school presence, while grades 4 and 5 start teaching in the same date,  with presence in school, or combined teaching, depending on the capacity of the school in accordance with the assessment of the task force at the level of MED and school.",2020-09-14,2020-09-14,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools allowed to open with conditions,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,New (COVID-19 specific) Task Force",65.6562212349919,62.6467476845705,58.8616526723436,91,https://prishtinainsight.com/kosovo-schools-to-open-in-september/ ; https://gandhara.rferl.org/a/back-to-school-amid-the-covid-19-pandemic/30840488.html,2021-04-16,2021-04-16T02:39:08Z
R_1gcGlTxhSvZpsx0Fj,2578426Fj,new_entry,original,,,"Schools in Kosovo reopened on the 14th of September 2020, under a three stage plan.
Stage 1 involves: preschool level and grades 1,2,3,6 and 10 starts teaching on Monday, September 14 with school presence, while grades 4 and 5 start teaching in the same date,  with presence in school, or combined teaching, depending on the capacity of the school in accordance with the assessment of the task force at the level of MED and school.",2020-09-14,2020-09-14,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education,New (COVID-19 specific) Task Force",65.6562212349919,62.6467476845705,58.8616526723436,91,https://prishtinainsight.com/kosovo-schools-to-open-in-september/ ; https://gandhara.rferl.org/a/back-to-school-amid-the-covid-19-pandemic/30840488.html,2021-04-16,2021-04-16T02:39:08Z
R_2WveHKc16onqB6EFj,4742244Fj,new_entry,original,,,"On September 21 Kosovo announces that stage 2 of schools openings can proceed.
Stage 2: Starts on September 21, which includes grades 7, 8, 9, 11 and 12, according to scenario B, ie two days in school and three days of online and distance learning.",2020-09-01,2020-09-21,,Kosovo,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools allowed to open with conditions,Kosovo,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",66.1640886439922,62.575267078412,58.7325566911838,92,https://prishtinainsight.com/kosovo-schools-to-open-in-september/ ; https://gandhara.rferl.org/a/back-to-school-amid-the-covid-19-pandemic/30840488.html,2021-04-16,2021-04-16T02:43:24Z
