record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_1Ffg288Xzz9hV3gNA,7136343,new_entry,,,"","On February 27th, 2020, the members of the Republican headquarters urged citizens to believe only official reports, and not speculation spread on social networks. (Kyrgyzstan) ""In addition, the members of the headquarters recommended that citizens, as far as possible, avoid crowded places, limit events with the participation of a large number of people, strictly observe the rules of personal hygiene, and conduct explanatory work with children,"" the statement said.",2021-02-27,2020-02-27,2020-02-28,The policy is a one-time measure (e.g. publication of guidelines),Kyrgyzstan,KGZ,KG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,New (COVID-19 specific) Task Force",39.9105235613352,35.6969479756589,31.3431447848952,126,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3MbeEDCOkl5TMsC,https://ru.sputnik.kg/society/20200227/1047203181/kyrgyzstan-rekomendaciya-koronavirus-situaciya.html,2021-04-23,2021-04-23T05:43:25Z
R_eg78AZBpjCf8dNLNA,381098,new_entry,,,"","On March 27, 2020, it was announced that the dissemination of false information regarding coronavirus provides for criminal liability within the framework of the law in Kyrgyzstan. Distributors of fake messages related to the situation around the coronavirus in Kyrgyzstan have been detained, the press service of the State Committee for National Security said. On March 26, employees of the department detained a 56-year-old resident of Batken region, who disseminated false information about the situation with COVID-19 in the region. The second detainee, a 36-year-old resident of the At-Bashi district of the Naryn region, claimed that at the sanitary post in the village of Kochkor of the district of the same name, police officers did not check documents and demanded 200 soms for travel. ""Preventive conversations were held with these persons, they repented of their deeds and asked forgiveness from the people. At present, measures are being taken to give a legal assessment of their actions,"" the State Committee for National Security said in a statement. Note that the department, together with law enforcement agencies, continue to work to identify individuals who spread rumors and fake information. Such cases bear criminal liability.",2020-03-27,2020-03-27,2020-03-27,The policy has a clear end date,Kyrgyzstan,KGZ,KG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",79.69359012445,76.4494450638851,73.3567234051879,127,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6RuICfpdLHPNn6p,https://ru.sputnik.kg/society/20200327/1047586016/gknb-fejk-koronavirus-karantin.html,2020-12-15,2020-12-15T08:21:52Z
R_1mVKFvlPWZBwYUkNA,1182689,new_entry,,,"","On April 3, 2020, on the behalf of the national government of Kyrgyzstan, it was  announced that the spreading of false information would be accompanied with a ""punishable with a fine of 5,500 soms ($67), the statement said."" This was part of an announcement of other punishments of corona-related violations.",2020-04-03,2020-04-03,,,Kyrgyzstan,KGZ,KG,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",Crackdown on the spread of false information.,,,"",No,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents +Foreign Residents),,,,Mandatory with Fines,National Government,85.4669650716056,83.2822038614025,80.3800133598483,134,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2YKcpbKHJXkkcu5,https://advance.lexis.com/api/permalink/cdf6d4d3-52a2-4bbc-9643-dac949a8d471/?context=1516831,2022-05-03,2022-05-03T18:52:11Z
R_3PB7BM52t1wD85mEl,2995606El,new_entry,,,"","Kyrgyzstan ""decided to quarantine all schools and higher education institutions of the countries for three weeks"" with the exception of kindergardens, starting March 12, 2020",2020-03-12,2020-03-16,2020-04-06,The policy has a clear end date,Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Kyrgyzstan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),54.794474139297,51.4091296468928,48.0932917524242,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DN2kBGCl1I5tyWR,https://akipress.com/news:637205:Kyrgyzstan_shuts_down_schools_for_quarantine/ ; https://akipress.com/news:637205:Kyrgyzstan_shuts_down_schools_for_quarantine/,2022-05-02,2022-05-02T17:50:18Z
R_3PB7BM52t1wD85mFv,2995606Fv,new_entry,,,"","Kyrgyzstan ""decided to quarantine all schools and higher education institutions of the countries for three weeks"" with the exception of kindergardens, starting March 12, 2020",2020-03-12,2020-03-16,2020-04-06,The policy has a clear end date,Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Kyrgyzstan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),54.794474139297,51.4091296468928,48.0932917524242,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DN2kBGCl1I5tyWR,https://akipress.com/news:637205:Kyrgyzstan_shuts_down_schools_for_quarantine/ ; https://akipress.com/news:637205:Kyrgyzstan_shuts_down_schools_for_quarantine/,2022-05-02,2022-05-02T17:50:18Z
R_3PB7BM52t1wD85mCd,2995606Cd,new_entry,,,"","Kyrgyzstan ""decided to quarantine all schools and higher education institutions of the countries for three weeks"" with the exception of kindergardens, starting March 12, 2020",2020-03-12,2020-03-16,2020-04-06,The policy has a clear end date,Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Kyrgyzstan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),54.794474139297,51.4091296468928,48.0932917524242,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DN2kBGCl1I5tyWR,https://akipress.com/news:637205:Kyrgyzstan_shuts_down_schools_for_quarantine/ ; https://akipress.com/news:637205:Kyrgyzstan_shuts_down_schools_for_quarantine/,2022-05-02,2022-05-02T17:50:18Z
R_sXO6bz7f80V1sNrFv,1123052Fv,new_entry,,,"","Starting on March 20, 2020, teachers in Kyrgyzstan will work remotely until April 8. In educational institutions, shifts will be organized to prepare 11th grade students for ORT. School and preschool institutions in Kyrgyzstan will not work until April 8, the press service of the Ministry of Education and Science said. This decision was made in order to combat the spread of the coronavirus. Teachers will work with students remotely. Despite the announced quarantine, shifts are being organized in educational institutions to prepare 11th grade students for nationwide testing.",2020-03-20,2020-03-20,2020-04-08,The policy has a clear end date,Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Special provisions exist for how teaching is done which applies to all teachers,Yes,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.3467677835974,55.516397442284,51.9986004226638,84,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IygfdqjlWkQC8U,https://ru.sputnik.kg/society/20200320/1047478530/obrazovanie-karantin-shkola-ucheniki-koronavirus-distancionka.html,2020-12-11,2020-12-11T10:21:14Z
R_2SJr745z99AQbUDEk,8128774Ek,new_entry,,,"","Starting March 20, 2020 ""Kyrgyzstan made the decision on temporary shutdown of preschool education institutions.""",2020-03-19,2020-03-20,,The policy’s end date is unknown or unreported,Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Kyrgyzstan,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",58.3467677835974,55.516397442284,51.9986004226638,84,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3dMHqBX9H7bOLzu,https://advance.lexis.com/api/document?collection=news&id=urn:contentItem:5YFW-SF81-JDJN-6037-00000-00&context=,2022-05-03,2022-05-03T19:34:05Z
R_2Y9wLUUARVdpfTPEl,2410766El,new_entry,,,"","In Kyrguzstan, strating from April 8, 2020. All school students will study online, and all the classes will be broadcasted from special education portals. This policy was announced by the Ministry of Education, and will last until end of 4th quarter.",2020-04-07,2020-04-08,2020-04-22,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,86.64702592195,84.0148689119142,81.2781623627749,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kZGgZGmCgOg7Eu,https://bilim.akipress.org/ru/news:1609026,2022-02-14,2022-02-14T16:37:17Z
R_2Y9wLUUARVdpfTPFv,2410766Fv,new_entry,,,"","In Kyrguzstan, strating from April 8, 2020. All school students will study online, and all the classes will be broadcasted from special education portals. This policy was announced by the Ministry of Education, and will last until end of 4th quarter.",2020-04-07,2020-04-08,2020-04-22,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,86.64702592195,84.0148689119142,81.2781623627749,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kZGgZGmCgOg7Eu,https://bilim.akipress.org/ru/news:1609026,2022-02-14,2022-02-14T16:37:17Z
R_PGuZY5cuOTQJ4RjFv,1550041Fv,new_entry,,,"","In Kyrgyzstan, on May 11, 2020, Ministry of Education announced that format of graduation exam attestations for 2020 will change for 9-11 grades, whcih will take place from 2-12 June. ORT national examle will be conducted later in the June.",2020-05-11,2020-05-11,2020-05-12,The policy is a one-time measure (e.g. publication of guidelines),Kyrgyzstan,KGZ,KG,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Kyrgyzstan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,82.3963160777996,79.5582989275474,76.6216713725892,130,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3lrxEiSDo8jZfbX,https://www.kp.kg/online/news/3867124/,2022-02-14,2022-02-14T16:57:03Z
