record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_ZspJxo31JwJyKC5Et,9271565Et,new_entry,,,"","From 13th March and two weeks forward, Libyan schools close.",2020-03-13,2020-03-13,2020-03-27,The policy has a clear end date,Libya,LBY,LY,Provincial,1,Banghazi,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Libya,,,Banghazi,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",41.1364214042593,36.0124954807065,30.6880318302335,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PXlkZsrPbsHyc3,https://www.reuters.com/article/us-health-coronavirus-libya/libya-closes-schools-over-coronavirus-idUSKBN2102VG,2020-04-04,2020-04-04T14:55:04Z
R_ZspJxo31JwJyKC5Gd,9271565Gd,new_entry,,,"","From 13th March and two weeks forward, Libyan schools close.",2020-03-13,2020-03-13,2020-03-27,The policy has a clear end date,Libya,LBY,LY,Provincial,1,Banghazi,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Libya,,,Banghazi,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",41.1364214042593,36.0124954807065,30.6880318302335,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PXlkZsrPbsHyc3,https://www.reuters.com/article/us-health-coronavirus-libya/libya-closes-schools-over-coronavirus-idUSKBN2102VG,2020-04-04,2020-04-04T14:55:04Z
R_ZspJxo31JwJyKC5Cr,9271565Cr,new_entry,,,"","From 13th March and two weeks forward, Libyan schools close.",2020-03-13,2020-03-13,2020-03-27,The policy has a clear end date,Libya,LBY,LY,Provincial,1,Banghazi,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Libya,,,Banghazi,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",41.1364214042593,36.0124954807065,30.6880318302335,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3PXlkZsrPbsHyc3,https://www.reuters.com/article/us-health-coronavirus-libya/libya-closes-schools-over-coronavirus-idUSKBN2102VG,2020-04-04,2020-04-04T14:55:04Z
R_3FVe97wlR8KMFbjEr,5661026Er,new_entry,,,"","December 27, 2020. Libya: The Minister of Health of the Libyan government and a member of the Supreme Committee to Combat Corona Epidemic, Dr.Saad Akoub, issued urgent directives to all directors of monitoring, investigation and rapid response in the municipalities to conduct and implement inspection field visits to all schools to ensure the implementation of precautionary measures, with students soon to return to study, starting tomorrow.

The Minister of Health also stressed in his directives the need to confirm the state of schools ’readiness to receive students, and to implement all the precautionary measures recommended by the Supreme and Advisory Committee, with the visiting team applying the form for examining the application of precautionary measures in schools, the data of which is entered into a monitoring and investigation program to analyze The results of the visits and the suitability of schools to receive students, by filling out the forms compared to the student density in each school.",2020-12-27,2020-12-28,2022-03-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Libya,LBY,LY,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Temperature Check,Yes,Libya,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,78.2500517577056,74.5402701972361,70.9534667220467,132,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tX4pW7nI51zSoXD,http://health-ministry.ly/2020/12/27/%d9%87%d8%a7%d9%85-%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d9%8a%d9%88%d8%ac%d9%87-%d9%85%d8%af%d9%8a%d8%b1%d9%8a-%d8%a7%d9%84%d8%b1%d8%b5%d8%af-%d9%88%d8%a7%d9%84%d8%aa%d9%82%d8%b5/,2021-05-24,2021-05-24T15:59:02Z
R_3FVe97wlR8KMFbjEt,5661026Et,new_entry,,,"","December 27, 2020. Libya: The Minister of Health of the Libyan government and a member of the Supreme Committee to Combat Corona Epidemic, Dr.Saad Akoub, issued urgent directives to all directors of monitoring, investigation and rapid response in the municipalities to conduct and implement inspection field visits to all schools to ensure the implementation of precautionary measures, with students soon to return to study, starting tomorrow.

The Minister of Health also stressed in his directives the need to confirm the state of schools ’readiness to receive students, and to implement all the precautionary measures recommended by the Supreme and Advisory Committee, with the visiting team applying the form for examining the application of precautionary measures in schools, the data of which is entered into a monitoring and investigation program to analyze The results of the visits and the suitability of schools to receive students, by filling out the forms compared to the student density in each school.",2020-12-27,2020-12-28,2022-03-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Libya,LBY,LY,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Temperature Check,Health Questionnaire",Yes,Libya,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,78.2500517577056,74.5402701972361,70.9534667220467,132,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tX4pW7nI51zSoXD,http://health-ministry.ly/2020/12/27/%d9%87%d8%a7%d9%85-%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d9%8a%d9%88%d8%ac%d9%87-%d9%85%d8%af%d9%8a%d8%b1%d9%8a-%d8%a7%d9%84%d8%b1%d8%b5%d8%af-%d9%88%d8%a7%d9%84%d8%aa%d9%82%d8%b5/,2021-05-24,2021-05-24T15:59:02Z
R_3FVe97wlR8KMFbjGd,5661026Gd,new_entry,,,"","December 27, 2020. Libya: The Minister of Health of the Libyan government and a member of the Supreme Committee to Combat Corona Epidemic, Dr.Saad Akoub, issued urgent directives to all directors of monitoring, investigation and rapid response in the municipalities to conduct and implement inspection field visits to all schools to ensure the implementation of precautionary measures, with students soon to return to study, starting tomorrow.

The Minister of Health also stressed in his directives the need to confirm the state of schools ’readiness to receive students, and to implement all the precautionary measures recommended by the Supreme and Advisory Committee, with the visiting team applying the form for examining the application of precautionary measures in schools, the data of which is entered into a monitoring and investigation program to analyze The results of the visits and the suitability of schools to receive students, by filling out the forms compared to the student density in each school.",2020-12-27,2020-12-28,2022-03-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Libya,LBY,LY,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Temperature Check,Health Questionnaire",Yes,Libya,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,78.2500517577056,74.5402701972361,70.9534667220467,132,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tX4pW7nI51zSoXD,http://health-ministry.ly/2020/12/27/%d9%87%d8%a7%d9%85-%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d9%8a%d9%88%d8%ac%d9%87-%d9%85%d8%af%d9%8a%d8%b1%d9%8a-%d8%a7%d9%84%d8%b1%d8%b5%d8%af-%d9%88%d8%a7%d9%84%d8%aa%d9%82%d8%b5/,2021-05-24,2021-05-24T15:59:02Z
R_3FVe97wlR8KMFbjCr,5661026Cr,new_entry,,,"","December 27, 2020. Libya: The Minister of Health of the Libyan government and a member of the Supreme Committee to Combat Corona Epidemic, Dr.Saad Akoub, issued urgent directives to all directors of monitoring, investigation and rapid response in the municipalities to conduct and implement inspection field visits to all schools to ensure the implementation of precautionary measures, with students soon to return to study, starting tomorrow.

The Minister of Health also stressed in his directives the need to confirm the state of schools ’readiness to receive students, and to implement all the precautionary measures recommended by the Supreme and Advisory Committee, with the visiting team applying the form for examining the application of precautionary measures in schools, the data of which is entered into a monitoring and investigation program to analyze The results of the visits and the suitability of schools to receive students, by filling out the forms compared to the student density in each school.",2020-12-27,2020-12-28,2022-03-01,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Libya,LBY,LY,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Temperature Check,Health Questionnaire",Yes,Libya,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,78.2500517577056,74.5402701972361,70.9534667220467,132,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tX4pW7nI51zSoXD,http://health-ministry.ly/2020/12/27/%d9%87%d8%a7%d9%85-%d9%88%d8%b2%d9%8a%d8%b1-%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d9%8a%d9%88%d8%ac%d9%87-%d9%85%d8%af%d9%8a%d8%b1%d9%8a-%d8%a7%d9%84%d8%b1%d8%b5%d8%af-%d9%88%d8%a7%d9%84%d8%aa%d9%82%d8%b5/,2021-05-24,2021-05-24T15:59:02Z
R_plAHDRxSTw48L85NA,194456,new_entry,,,"","6pm to 6am curfew set by government; 

adapted on March 30 to 2pm to 7am and work hours limited from 9.00-12.00",2020-03-29,2020-03-09,2020-04-16,The policy has a clear end date,Libya,LBY,LY,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Libya,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,32.310472299937,25.9226404241565,18.8418695668681,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0HxNNOA0dGmoKtj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tPAEf8g3nWycEp3,NA,2020-11-12,2020-11-12T09:27:22Z
R_BPTiJLqa4GiqLrrNA,194456,update,End of Policy,,"","6pm to 6am curfew set by government; 

Adapted on March 30 to 2pm to 7am and work hours limited from 9.00-12.00

Update: Ended on April 20, 2020 due to qualitative change in the policy (target population now includes everyone except fuel drivers. On April 20, it was announced by the Fuel Crisis Committee that drivers for fuel distribution centers and drivers of trucks delivering LPG bottled gas cylinders will be exempted from the curfew. UPDATE: Qualitative change policy due to change in target pop. Therefore this policy will be ended.",2020-03-29,2020-03-09,2020-04-20,The policy has a clear end date,Libya,LBY,LY,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Libya,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),Other population not specifed above,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,32.310472299937,25.9226404241565,18.8418695668681,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0HxNNOA0dGmoKtj ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_23fsrg9AVbOMZT6,NA ; https://www.libyaobserver.ly/inbrief/fuel-crisis-committee-allows-fuel-operations-those-exempt-curfew,2020-11-05,2020-11-05T10:03:32Z
R_30w7AeU2vFjE2iXNA,9538800,new_entry,,Strengthening,Volume of policy strengthening,"On March 22, 2020, Libya declared a country-wide curfew, which ""is from 6 pm until 6 am,"" closing ""all mosques at all prayer times, educational institutions, cafes, restaurants, events halls, clubs, entertainment centers, and commercial outlets"" during curfew hours.

The decree also states that ""curfew breakers will be liable to punishment under existing laws.""

On March 30, 2020, curfew hours were extended to be from 2 pm until 7 am.",2020-03-21,2020-03-21,,,Libya,LBY,LY,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Libya,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Provincial/State Government,61.4914257846514,57.0551670036374,52.3020361503348,82,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2eVXmMQy9X13hUn ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kEXvL4rnBcdUCq,NA ; https://www.libyaobserver.ly/news/curfew-hours-libya-extended-cross-country-travel-prohibited-amid-coronavirus-outbreak,2020-07-09,2020-07-09T17:27:00Z
