record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_31z5nEO2Ie96UqcEl,3360208El,new_entry,,,"","In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down until the Easter holidays.",2020-03-13,2020-03-16,2020-04-09,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Liechtenstein,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27EurvM8jsDlqcp,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2021-01-12,2021-01-12T06:44:24Z
R_31z5nEO2Ie96UqcEm,3360208Em,new_entry,,,"","In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down until the Easter holidays.",2020-03-13,2020-03-16,2020-04-09,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Liechtenstein,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27EurvM8jsDlqcp,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2021-01-12,2021-01-12T06:44:24Z
R_31z5nEO2Ie96UqcFw,3360208Fw,new_entry,,,"","In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down until the Easter holidays.",2020-03-13,2020-03-16,2020-04-09,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Liechtenstein,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27EurvM8jsDlqcp,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2021-01-12,2021-01-12T06:44:24Z
R_31z5nEO2Ie96UqcCe,3360208Ce,new_entry,,,"","In Liechtenstein, as of March 16, all schools, educational and childcare establishments will be shut down until the Easter holidays.",2020-03-13,2020-03-16,2020-04-09,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Liechtenstein,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27EurvM8jsDlqcp,https://www.regierung.li/media/attachments/115-corona-schliessung-bildungseinrichtungen-0313.pdf?t=637199612907342827,2021-01-12,2021-01-12T06:44:24Z
R_2azWYsJh06xuhV7El,7910859El,new_entry,,,"",Liechtenstein has decided to keep the schools closed until 08 May due to the current situation.,2020-04-17,2020-04-26,2020-05-10,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Liechtenstein,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2f1itWkpYKbBeZm,https://www.regierung.li/media/attachments/197-corona-regierung-orientiert-ueber-vorgehen-0417.pdf?t=637461218900071456,2021-01-13,2021-01-13T07:16:14Z
R_2azWYsJh06xuhV7Em,7910859Em,new_entry,,,"",Liechtenstein has decided to keep the schools closed until 08 May due to the current situation.,2020-04-17,2020-04-26,2020-05-10,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Liechtenstein,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2f1itWkpYKbBeZm,https://www.regierung.li/media/attachments/197-corona-regierung-orientiert-ueber-vorgehen-0417.pdf?t=637461218900071456,2021-01-13,2021-01-13T07:16:14Z
R_2azWYsJh06xuhV7Fw,7910859Fw,new_entry,,,"",Liechtenstein has decided to keep the schools closed until 08 May due to the current situation.,2020-04-17,2020-04-26,2020-05-10,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Liechtenstein,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2f1itWkpYKbBeZm,https://www.regierung.li/media/attachments/197-corona-regierung-orientiert-ueber-vorgehen-0417.pdf?t=637461218900071456,2021-01-13,2021-01-13T07:16:14Z
R_2azWYsJh06xuhV7Ce,7910859Ce,new_entry,,,"",Liechtenstein has decided to keep the schools closed until 08 May due to the current situation.,2020-04-17,2020-04-26,2020-05-10,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Liechtenstein,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2f1itWkpYKbBeZm,https://www.regierung.li/media/attachments/197-corona-regierung-orientiert-ueber-vorgehen-0417.pdf?t=637461218900071456,2021-01-13,2021-01-13T07:16:14Z
R_2txkHOUJbNvm1nREl,8988229El,new_entry,,,"","On May 4, the gov of Liechtenstein announced the framework under which schools, educational and childcare institutions are going to reopen from 11 May on. This encompasses age-appropriate hygiene measures and a combination of in-person and remote instructions for classes above class 5. In addition to this, classes are split into small groups.",2020-04-30,2020-05-11,2020-06-08,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Liechtenstein,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0wFNEJCMuS7IGRz,https://www.regierung.li/media/attachments/229-corona-massnahmen-0430.pdf?t=637292483624293392 ; https://www.regierung.li/media/attachments/238-corona-oeffnung-von-bildungseinrichtungen-0505.pdf?t=637292487118161331,2021-01-14,2021-01-14T07:50:08Z
R_2txkHOUJbNvm1nREm,8988229Em,new_entry,,,"","On May 4, the gov of Liechtenstein announced the framework under which schools, educational and childcare institutions are going to reopen from 11 May on. This encompasses age-appropriate hygiene measures and a combination of in-person and remote instructions for classes above class 5. In addition to this, classes are split into small groups.",2020-04-30,2020-05-11,2020-06-08,The policy has a clear end date,Liechtenstein,LIE,LI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,Special provisions for all students in a school (e.g. students in primary school do not have to social distance),Special provisions exist for some students in a school  (e.g. students living with essential workers can attend school while others must stay home),Other conditions not listed above (please provide detail in the text entry)",Yes,Liechtenstein,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0wFNEJCMuS7IGRz,https://www.regierung.li/media/attachments/229-corona-massnahmen-0430.pdf?t=637292483624293392 ; https://www.regierung.li/media/attachments/238-corona-oeffnung-von-bildungseinrichtungen-0505.pdf?t=637292487118161331,2021-01-14,2021-01-14T07:50:08Z
