record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_Oj3FCFmHz6fFvAlEl,7844El,new_entry,,,"","March 12, 2020, The Lithuanian government backed the State Emergency Situation Commission’s proposal to suspend activity of all educational establishments in the country.",2020-03-12,2020-03-12,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Lithuania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,48.1793915967473,44.3221013457002,40.2149153301162,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3P4ZEDlFHvKT6fe ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDcYWTvBHCF9Yfn,https://bnn-news.com/week-in-lithuania-coronavirus-menace-keeps-growing-storm-ravages-country-cooperation-with-cia-211378 ; https://www.themayor.eu/en/school-closures-and-travel-restrictions-in-lithuania-to-prevent-coronavirus-spread,2021-08-14,2021-08-14T06:14:30Z
R_Oj3FCFmHz6fFvAlEm,7844Em,new_entry,,,"","March 12, 2020, The Lithuanian government backed the State Emergency Situation Commission’s proposal to suspend activity of all educational establishments in the country.",2020-03-12,2020-03-12,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Lithuania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,48.1793915967473,44.3221013457002,40.2149153301162,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3P4ZEDlFHvKT6fe ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDcYWTvBHCF9Yfn,https://bnn-news.com/week-in-lithuania-coronavirus-menace-keeps-growing-storm-ravages-country-cooperation-with-cia-211378 ; https://www.themayor.eu/en/school-closures-and-travel-restrictions-in-lithuania-to-prevent-coronavirus-spread,2021-08-14,2021-08-14T06:14:30Z
R_Oj3FCFmHz6fFvAlFw,7844Fw,new_entry,,,"","March 12, 2020, The Lithuanian government backed the State Emergency Situation Commission’s proposal to suspend activity of all educational establishments in the country.",2020-03-12,2020-03-12,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Lithuania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,48.1793915967473,44.3221013457002,40.2149153301162,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3P4ZEDlFHvKT6fe ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDcYWTvBHCF9Yfn,https://bnn-news.com/week-in-lithuania-coronavirus-menace-keeps-growing-storm-ravages-country-cooperation-with-cia-211378 ; https://www.themayor.eu/en/school-closures-and-travel-restrictions-in-lithuania-to-prevent-coronavirus-spread,2021-08-14,2021-08-14T06:14:30Z
R_Oj3FCFmHz6fFvAlCe,7844Ce,new_entry,,,"","March 12, 2020, The Lithuanian government backed the State Emergency Situation Commission’s proposal to suspend activity of all educational establishments in the country.",2020-03-12,2020-03-12,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Lithuania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,48.1793915967473,44.3221013457002,40.2149153301162,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3P4ZEDlFHvKT6fe ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDcYWTvBHCF9Yfn,https://bnn-news.com/week-in-lithuania-coronavirus-menace-keeps-growing-storm-ravages-country-cooperation-with-cia-211378 ; https://www.themayor.eu/en/school-closures-and-travel-restrictions-in-lithuania-to-prevent-coronavirus-spread,2021-08-14,2021-08-14T06:14:30Z
R_2TTMAOmwNKS2Uu9NA,4833001,new_entry,,,"","On 26 February 2020, Lithuania has introduced a state emergency status to make preventive steps against the possible arrival and spread of the virus.",2020-02-26,2020-02-26,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Lithuania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,24.7113163992905,19.8175441770798,14.8213024690143,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_rf4clY1izT6kWRj,https://bnn-news.com/lithuania-introduces-state-of-emergency-to-prepare-for-possible-coronavirus-arrival-210825,2021-08-14,2021-08-14T06:19:30Z
R_3NVv6nqGVjqgJCCNA,1383200,new_entry,,,"",Lithuanian Foreign Ministry advises Lithuanian citizens against travelling to China until the spread of the coronavirus has been contained.,2020-01-27,2020-01-27,,The policy’s end date is unknown or unreported,Lithuania,LTU,LT,National,0,,,,External Border Restrictions,,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,"One or more countries, but not all countries",,,,,,Citizen Travelers,,Inbound/Outbound,Flights,Voluntary/Recommended but No Penalties,Ministry/Department of Health,16.7316942662239,12.0726314325634,8.22671553702705,23,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XoKZXWiU3C7CJHj,https://www.lrt.lt/en/news-in-english/19/1136978/coronavirus-health-specialists-on-standby-at-lithuanian-airports,2021-06-07,2021-06-07T13:05:49Z
R_2RVt5QUDxrKxIooGl,7528268,new_entry,,,"","March 12, People in Lithuania are banned from traveling to risk countries, including Italy, France, Germany Spain, China, Hong Kong, Iran, Japan, South Korea and Singapore.",2020-03-12,2020-03-12,2020-03-27,The policy has a clear end date,Lithuania,LTU,LT,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"China,France,Germany,Hong Kong,Iran,Italy,Japan,Singapore,South Korea,Spain","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents +Foreign Residents),,Outbound,All kinds of transport (all below except visa restrictions),Mandatory (Unspecified/Implied),National Government,48.1793915967473,44.3221013457002,40.2149153301162,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_C4c4WnBBnkVhhi9 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hGCClN3RqWgJn3,NA ; https://bnn-news.com/week-in-lithuania-coronavirus-menace-keeps-growing-storm-ravages-country-cooperation-with-cia-211378,2020-05-17,2020-05-17T08:00:01Z
R_1Q9h8WjDhgmU7YHGl,3983381,update,,,"","Lithuania's borders are closed from 16 March - 13 April, to both inbound and outbound persons, with exceptions for delivery trucks, diplomats, etc. UPDATE: Originally, Lithuania closed its borders from 13-30 March, but on 27 March it was announced that this policy would be extended until 13 April",2020-03-27,2020-03-13,2020-04-13,The policy has a clear end date,Lithuania,LTU,LT,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,Lithuania,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,51.4466957659757,47.4114362495315,43.7357993071205,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3CTwc4xtDGGPM7E,https://www.schengenvisainfo.com/news/lithuania-has-extended-border-control-until-april-13/,2020-04-03,2020-04-03T15:47:43Z
R_3Jru1lBb0EAVk0xGl,3983381,update,,,"","On 9 April it was announced that Lithuania has extended its border closure, now lasting from 13 March to 27 April. This means that all foreigners will be banned from entering the country unless they are crossing through to travel to their home countries. UPDATE: In Lithuania, the original quarantine was set to be from 16-30 March, then it was extended to 13 April, and now it's extended to 27 April.",2020-04-09,2020-03-13,2020-04-27,The policy has a clear end date,Lithuania,LTU,LT,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,Lithuania,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,51.4466957659757,47.4114362495315,43.7357993071205,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Ka6qXzcRnwp9Ol,https://www.schengenvisainfo.com/news/lithuania-extends-internal-border-controls-until-april-27/,2020-04-12,2020-04-12T20:56:38Z
R_2yf2I8oR8VVgZ10Gl,3983381,new_entry,,,"","From 16-30 March, Lithuania closes its borders to all people coming in and out, with exceptions for delivery drivers, diplomats, etc.",2020-03-14,2020-03-16,2020-03-30,The policy has a clear end date,Lithuania,LTU,LT,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,Lithuania,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,59.6457453240747,56.1809513916329,53.2928490010045,114,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1OwQMEzUyqOrAbX,http://lrv.lt/uploads/main/documents/files/DECLARING%20QUARANTINE%20ON%20THE%20TERRITORY%20OF%20THE%20REPUBLIC%20OF%20LITHUANIA(1).pdf,2020-04-02,2020-04-02T12:12:37Z
