record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_3gRXqIH0gAGbRsKNA,8248654,new_entry,,,"","The Maldives Commissioner of Police, Mohamed Hameed stated on April 20th, 2020 that legal action would be taken against those who spread false information regarding COVID-19, creating fear, and panic among the public. Legal action would be taken against those who harass or spread telltales regarding infected people.",2020-04-20,2020-04-20,,The policy’s end date is unknown or unreported,Maldives,MDV,MV,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"Police,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3saBxrFApgg55Ts,https://avas.mv/en/81603,CoronaNet (original),,2022-05-30,2022-05-30T23:59:59Z
R_2Tplyylttwp2E4FEq,6608847Eq,new_entry,,,"","Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2q3QDYVCVdopnBC,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,CoronaNet (original),,2020-06-23,2020-06-23T22:42:18Z
R_2Tplyylttwp2E4FEr,6608847Er,new_entry,,,"","Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2q3QDYVCVdopnBC,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,CoronaNet (original),,2020-06-23,2020-06-23T22:42:18Z
R_2Tplyylttwp2E4FGc,6608847Gc,new_entry,,,"","Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2q3QDYVCVdopnBC,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,CoronaNet (original),,2020-06-23,2020-06-23T22:42:18Z
R_2Tplyylttwp2E4FCf,6608847Cf,new_entry,,,"","Maldives requires that all academic institutions ""to temporarily suspend all activities in campus for 2 (two) weeks,"" effective March 14, 2020.",2020-03-14,2020-03-14,2020-03-28,The policy has a clear end date,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2q3QDYVCVdopnBC,https://covid19.health.gov.mv/wp-content/uploads/2020/03/notice-number-7-suspension-ofactivities-in-all-university.pdf,CoronaNet (original),,2020-06-23,2020-06-23T22:42:18Z
R_QaIPe72RT4gcFqNGc,464657Gc,new_entry,,,"","Schools reopen for high school students on COVID-free islands. The Maldives government has said that it will re-open schools for students in grade nine and above in all COVID-19 free islands starting July 1.Classes for students below grade nine will continue online, while students in quarantine and isolation facilities will have special classes arranged for them.",2020-06-16,2020-07-01,,The policy’s end date is unknown or unreported,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2EiPfsdvIsiuiXz,http://www.xinhuanet.com/english/2020-06/16/c_139144224.htm,CDC_ITF,CDC-ITF-MV-00041_1,2023-07-23,2023-07-23T18:16:45Z
R_2yq3mad181Eq4mLEq,7342369Eq,new_entry,,,"","As of November 7 2020 in Maldives,schools permitted to reopen.",2020-11-09,2020-11-07,,The policy’s end date is unknown or unreported,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_suOU37Q0JD73AtP,https://crisis24.garda.com/alerts/2020/11/maldives-authorities-shorten-greater-males-curfew-hours-and-ease-other-covid-19-measures-november-7-update-19,CDC_ITF,CDC_ITF_203142_1,2023-07-23,2023-07-23T18:53:29Z
R_2yq3mad181Eq4mLEr,7342369Er,new_entry,,,"","As of November 7 2020 in Maldives,schools permitted to reopen.",2020-11-09,2020-11-07,,The policy’s end date is unknown or unreported,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_suOU37Q0JD73AtP,https://crisis24.garda.com/alerts/2020/11/maldives-authorities-shorten-greater-males-curfew-hours-and-ease-other-covid-19-measures-november-7-update-19,CDC_ITF,CDC_ITF_203142_1,2023-07-23,2023-07-23T18:53:29Z
R_2yq3mad181Eq4mLGc,7342369Gc,new_entry,,,"","As of November 7 2020 in Maldives,schools permitted to reopen.",2020-11-09,2020-11-07,,The policy’s end date is unknown or unreported,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_suOU37Q0JD73AtP,https://crisis24.garda.com/alerts/2020/11/maldives-authorities-shorten-greater-males-curfew-hours-and-ease-other-covid-19-measures-november-7-update-19,CDC_ITF,CDC_ITF_203142_1,2023-07-23,2023-07-23T18:53:29Z
R_2yq3mad181Eq4mLCf,7342369Cf,new_entry,,,"","As of November 7 2020 in Maldives,schools permitted to reopen.",2020-11-09,2020-11-07,,The policy’s end date is unknown or unreported,Maldives,MDV,MV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Maldives,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_suOU37Q0JD73AtP,https://crisis24.garda.com/alerts/2020/11/maldives-authorities-shorten-greater-males-curfew-hours-and-ease-other-covid-19-measures-november-7-update-19,CDC_ITF,CDC_ITF_203142_1,2023-07-23,2023-07-23T18:53:29Z
