record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_3OpEtqWJjfDCJbEDy,4459722Dy,update,original,End of Policy,,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z
R_3OpEtqWJjfDCJbEEa,4459722Ea,update,original,End of Policy,,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z
R_3OpEtqWJjfDCJbEFj,4459722Fj,update,original,End of Policy,,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z
R_3OpEtqWJjfDCJbECe,4459722Ce,update,original,End of Policy,,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. On April 8th, the closure has been extended until May 9th. UPDATE: The original closure of school was set to last for three weeks until April 9, it has been extended on April 8 by the government to May 9 2020.",2020-03-17,2020-03-19,2020-05-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.sante.gov.ml/index.php/actualites/communiques/item/3455-communique-de-la-session-extraordinaire-du-conseil-superieur-de-la-defense-nationale-du-17-mars-2020 ; file:///C:/Users/bcvb/Downloads/UNICEF%20Mali%20COVID-19%20Situation%20Report%20No.%202%20-%209%20April%20-%2025%20April%202020.pdf ; https://niarela.net/societe/education-societe/covid-19-la-fermeture-des-ecoles-prolongee-jusquau-9-mai,2020-05-06,2020-05-06T07:52:28Z
R_1NqvI2tge1SYqgYDy,4459722Dy,new_entry,correction,,Relaxing,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th.",2020-06-02,2020-06-02,2020-04-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2021-04-22,2021-04-22T17:46:34Z
R_1NqvI2tge1SYqgYEa,4459722Ea,new_entry,correction,,Relaxing,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th.",2020-06-02,2020-06-02,2020-04-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2021-04-22,2021-04-22T17:46:34Z
R_1NqvI2tge1SYqgYFj,4459722Fj,new_entry,correction,,Relaxing,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th.",2020-06-02,2020-06-02,2020-04-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2021-04-22,2021-04-22T17:46:34Z
R_1NqvI2tge1SYqgYCe,4459722Ce,new_entry,correction,,Relaxing,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th.",2020-06-02,2020-06-02,2020-04-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA,2021-04-22,2021-04-22T17:46:34Z
R_3iOrSAA88PQ99y1Dy,4459722Dy,update,original,Change of Policy,Relaxing,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. UPDATE: In Mali, schools - originally closed from March 19 - reopened on June 2 for university students and final year students who face final exams. The partial resumption of classes was boycotted by public sector teachers over fears of inadequate protection against Covid-19.",2020-06-02,2020-06-02,2020-04-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.francetvinfo.fr/monde/afrique/societe-africaine/coronavirus-au-mali-la-reouverture-des-ecoles-immediatement-perturbee-par-une-greve-des-enseignants_3993201.html#xtor=AL-79-[article]-[connexe] ; https://ml.usembassy.gov/health-alert-u-s-embassy-bamako-mali-08062020/ ; https://www.businesslive.co.za/bd/world/africa/2020-06-02-mali-teachers-strike-over-covid-19-fears-as-schools-reopen/ ; https://maliactu.info/societe/education-societe/reouverture-des-ecoles-dans-les-regions,2020-08-20,2020-08-20T11:47:50Z
R_3iOrSAA88PQ99y1Ea,4459722Ea,update,original,Change of Policy,Relaxing,"On March 17th, the government of Mali announced that schools will be closed for 3 weeks, starting on March 19th. UPDATE: In Mali, schools - originally closed from March 19 - reopened on June 2 for university students and final year students who face final exams. The partial resumption of classes was boycotted by public sector teachers over fears of inadequate protection against Covid-19.",2020-06-02,2020-06-02,2020-04-09,Mali,MLI,ML,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Mali,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; https://www.francetvinfo.fr/monde/afrique/societe-africaine/coronavirus-au-mali-la-reouverture-des-ecoles-immediatement-perturbee-par-une-greve-des-enseignants_3993201.html#xtor=AL-79-[article]-[connexe] ; https://ml.usembassy.gov/health-alert-u-s-embassy-bamako-mali-08062020/ ; https://www.businesslive.co.za/bd/world/africa/2020-06-02-mali-teachers-strike-over-covid-19-fears-as-schools-reopen/ ; https://maliactu.info/societe/education-societe/reouverture-des-ecoles-dans-les-regions,2020-08-20,2020-08-20T11:47:50Z
