record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z
R_3EF5j06AuqbuDFNNA,9765438,new_entry,,,"","The Secretary of Health in Durango Mexico,  on August 27, 2020, urged the population to avoid panic purchases, shortages of some pre-established treatments. The SSD determined that the sale and administration of pharmaceutical products for the management of outpatients with the COVID-19 virus should be carried out only with the corresponding medical prescription, issued by the treating physician and retained by the establishment that supplies it.",2020-08-27,2020-08-27,2020-08-29,The policy is a one-time measure (e.g. publication of guidelines),Mexico,MEX,MX,Provincial,1,Durango,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mexico,One or more provinces within one or more countries,,Durango,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,69.150482441808,66.018858828841,62.5023580305486,100,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qPeUynvwEg7TrCp,https://www.durango.gob.mx/exhorta-ssd-a-evitar-automedicacion-por-covid/,CoronaNet (original),,2021-08-04,2021-08-04T19:19:28Z
R_3Jlq3wF8YwtJizdEs,7190595Es,new_entry,,,"","On March 17th 2020, the government of Nuevo Leon in Mexico suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,The policy’s end date is unknown or unreported,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Nuevo Leon,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,33.3182782572673,28.0292014130887,22.8166337492397,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2S8iIXVS5ztBwaX,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,CoronaNet (original),,2021-04-30,2021-04-30T23:47:08Z
R_3Jlq3wF8YwtJizdEt,7190595Et,new_entry,,,"","On March 17th 2020, the government of Nuevo Leon in Mexico suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,The policy’s end date is unknown or unreported,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Nuevo Leon,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,33.3182782572673,28.0292014130887,22.8166337492397,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2S8iIXVS5ztBwaX,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,CoronaNet (original),,2021-04-30,2021-04-30T23:47:08Z
R_3Jlq3wF8YwtJizdGe,7190595Ge,new_entry,,,"","On March 17th 2020, the government of Nuevo Leon in Mexico suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,The policy’s end date is unknown or unreported,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Nuevo Leon,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,33.3182782572673,28.0292014130887,22.8166337492397,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2S8iIXVS5ztBwaX,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,CoronaNet (original),,2021-04-30,2021-04-30T23:47:08Z
R_3Jlq3wF8YwtJizdCf,7190595Cf,new_entry,,,"","On March 17th 2020, the government of Nuevo Leon in Mexico suspended all schooling in response to the coronavirus epidemic.

Lectures were subsequently moved online.",2020-03-16,2020-03-17,,The policy’s end date is unknown or unreported,Mexico,MEX,MX,Provincial,1,Nuevo Leon,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Nuevo Leon,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,33.3182782572673,28.0292014130887,22.8166337492397,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2S8iIXVS5ztBwaX,https://www.eleconomista.com.mx/estados/Nuevo-Leon-adelanta-suspension-de-clases-en-todos-los-niveles-por-coronavirus--20200316-0019.html,CoronaNet (original),,2021-04-30,2021-04-30T23:47:08Z
R_2RRnJ7yjR3F8wvGEs,4233904Es,new_entry,,,"","Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,The policy has a clear end date,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Baja California,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,35.1795647799229,29.5768773863777,24.5896886172921,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tLSOKTzLRWhZ8D,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,CoronaNet (original),,2020-08-05,2020-08-05T21:31:09Z
R_2RRnJ7yjR3F8wvGEt,4233904Et,new_entry,,,"","Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,The policy has a clear end date,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Baja California,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,35.1795647799229,29.5768773863777,24.5896886172921,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tLSOKTzLRWhZ8D,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,CoronaNet (original),,2020-08-05,2020-08-05T21:31:09Z
R_2RRnJ7yjR3F8wvGGe,4233904Ge,new_entry,,,"","Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,The policy has a clear end date,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Baja California,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,35.1795647799229,29.5768773863777,24.5896886172921,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tLSOKTzLRWhZ8D,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,CoronaNet (original),,2020-08-05,2020-08-05T21:31:09Z
R_2RRnJ7yjR3F8wvGCf,4233904Cf,new_entry,,,"","Baja California, Mexico has suspended schools at all educational levels for all students from March 18th through April 17th.",2020-03-18,2020-03-18,2020-04-17,The policy has a clear end date,Mexico,MEX,MX,Provincial,1,Baja California,CA,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Mexico,One or more provinces within one or more countries,,Baja California,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,35.1795647799229,29.5768773863777,24.5896886172921,11,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tLSOKTzLRWhZ8D,https://www.newsbreak.com/news/1530158188306/mexicali-briefs-education-classes-suspended-starting-wednesday ; http://www.bajainsider.com/article/daily-updates-covid-19-baja,CoronaNet (original),,2020-08-05,2020-08-05T21:31:09Z
