record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_1qa3cCotzNC2s2WNA,967704,new_entry,,,"","The movement of citizens through the town of Sângerei, Moldova, will be restricted, in particular after 10pm between March 21 and April 1.",2020-03-21,2020-03-21,2020-04-01,The policy has a clear end date,Moldova,MDA,MD,Municipal,1,Singerei,MD-SI,Singerei,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,One or more cities within one or more countries,,Singerei,Singerei,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"Military,Municipal Government,Police",58.8607770433688,55.2004473188505,51.8255329735505,71,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_NURSw383taBe00h,https://www.ipn.md/en/print/sangerei-town-placed-under-quarantine--7967_1072353.html,2020-05-15,2020-05-15T19:34:54Z
R_Qi7SWLtt39fvsNbNA,2911622,new_entry,,,"","On March 16, The Parliament of Moldova declared a State of Emergency allowing the government to impose additional border controls, limit movement, prohibit large gatherings, manage food supplies, and coordinate media messaging about the pandemic. It will end in 60 days.
",2020-03-16,2020-03-16,2020-05-15,The policy has a clear end date,Moldova,MDA,MD,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,53.6191101947075,50.0647371329577,46.4150444558291,88,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ck2uyKnx2bGeLol,https://md.usembassy.gov/moldovan-government-has-declared-a-state-of-emergency-in-response-to-the-covid-19/,2020-04-01,2020-04-01T15:03:44Z
R_29ssZVWyAoE9AxqNA,2431564,new_entry,,,"",A state of emergency was declared in the Transnistrian region of Moldova. It will last from March 17 until April 5.,2020-03-17,2020-03-17,2020-04-05,The policy has a clear end date,Moldova,MDA,MD,Provincial,1,Transnistria,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,Transnistria,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,53.9852047885487,50.6440433775985,47.2808144342257,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FmJW2QOIC7Moem,https://www.ipn.md/en/print/state-of-emergency-amid-covid-19-pandemic-declared-in-transnistria--7967_1072252.html,2020-05-15,2020-05-15T18:53:43Z
R_33k9SWAG5WnhCn0NA,2431564,update,Change of Policy,Strengthening,timing of policy strengthening,"A state of emergency was declared in the Transnistrian region of Moldova. It will last from March 17 until April 5. On March 30, it was extended until May 1. UPDATE: The state of emergency declared in the Transnistrian region for the period between March 17 and April 5 was extended until May 1.",2020-03-17,2020-03-17,2020-05-01,The policy has a clear end date,Moldova,MDA,MD,Provincial,1,Transnistria,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,Transnistria,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,53.9852047885487,50.6440433775985,47.2808144342257,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FmJW2QOIC7Moem ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IF75oEUFkNChHD,NA ; https://www.ipn.md/en/state-of-emergency-extended-in-transnistrian-region-7967_1072554.html,2020-05-15,2020-05-15T20:32:22Z
R_2Vec170YF6Js4adNA,2431564,update,Change of Policy,Strengthening,timing of policy strengthening,A state of emergency was declared in the Transnistrian region of Moldova. It will last from March 17 until April 5. It is extended on April 24 until May 15. UPDATE: The state of emergency declared in the Transnistrian region for the period between March 17 and April 5 was originally extended until May 1. It is extended for a second time until May 15.,2020-03-17,2020-03-17,2020-05-15,The policy has a clear end date,Moldova,MDA,MD,Provincial,1,Transnistria,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Moldova,,,Transnistria,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,53.9852047885487,50.6440433775985,47.2808144342257,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1FmJW2QOIC7Moem ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_10PJcgzdAXK5Mr0,NA ; https://www.ipn.md/en/print/state-of-emergency-in-transnistrian-region-extended--7967_1073097.html,2020-05-16,2020-05-16T09:43:11Z
R_23WS4EILtSkfY7QNA,2142027,update,Change of Policy,Strengthening,timing of policy strengthening,"The National Extraordinary Commission for Public Health in Moldova will declare a public health emergency on May 15. Through the platform of this commission, the sanitary-epidemiological rules will be further adjusted.

On July 24 the Commission extended the state of public health emergency to August 31. UPDATE: The original state of public health emergency was set to last until June 30, since that time the National Extraordinary Public Health Committee has extended this state of emergency twice, as of the committee's decree of July 24, 2020 the state of emergency will remain in place until August 31",2020-05-13,2020-05-15,2020-08-31,The policy has a clear end date,Moldova,MDA,MD,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",76.8469236459159,73.5193230008934,69.8857368327626,102,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KOYgIbFIx93l1j ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3lzzMZIL34Jhrg8,NA ; https://www.moldova.org/en/the-state-of-public-health-emergency-was-again-prolonged-in-moldova/ ; https://gov.md/sites/default/files/postanovlenie_nchkoz_no_21_ot_24.07.2020_1.pdf,2020-08-19,2020-08-19T06:03:56Z
R_OjRgVtUOJQiSNmFNA,2142027,update,Change of Policy,Strengthening,timing of policy strengthening,"The National Extraordinary Commission for Public Health in Moldova will declare a public health emergency on May 15. Through the platform of this commission, the sanitary-epidemiological rules will be further adjusted.

The public health emergency has again been extended to September 15, 2020 by the National Extraordinary Commission for Public Health in Moldova. UPDATE: Moldova's state of public health emergency has been extended to September 15, 2020",2020-05-13,2020-05-15,2020-08-31,The policy has a clear end date,Moldova,MDA,MD,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",76.8469236459159,73.5193230008934,69.8857368327626,102,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KOYgIbFIx93l1j ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_VW1RBykBYhzsWo9,NA ; https://newsmaker.md/rus/novosti/v-moldove-prodlili-rezhim-chrezvychaynogo-polozheniya-v-zdravoohranenii/,2020-08-30,2020-08-30T01:32:21Z
R_1HbOYC7XVOcIkluNA,2142027,update,Change of Policy,Strengthening,timing of policy strengthening,"The National Extraordinary Commission for Public Health in Moldova will declare a public health emergency on May 15. Through the platform of this commission, the sanitary-epidemiological rules will be further adjusted.

This state of Public health emergency will now continue to remain in effect until September 30 UPDATE: The state of national health emergency has been extended to September 30 by the National Extraordinary Commission on Public Heath.",2020-05-13,2020-05-15,2020-08-31,The policy has a clear end date,Moldova,MDA,MD,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",76.8469236459159,73.5193230008934,69.8857368327626,102,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KOYgIbFIx93l1j ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AiyfA3hgv4L6Z69,NA ; https://gov.md/sites/default/files/postanovlenie_nchkoz_no_30_ot_11.09.2020.pdf,2020-09-22,2020-09-22T06:15:14Z
R_3qQnBFJ65SCiLDoNA,2142027,update,Change of Policy,Strengthening,timing of policy strengthening,"The National Extraordinary Commission for Public Health in Moldova will declare a public health emergency between May 16 and June 30. Through the platform of this commission, the sanitary-epidemiological rules will be further adjusted. UPDATE: The period of the public health emergency was officially set between May 16 and June 30.",2020-05-13,2020-05-16,2020-06-30,The policy has a clear end date,Moldova,MDA,MD,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",75.7716812491018,72.6519627165645,69.3438096546847,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KOYgIbFIx93l1j ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ityvQvxJDB3Zsc,NA ; https://www.ipn.md/en/print/public-health-emergency-declared-in-moldova-until-june-30--7967_1073563.html,2020-05-16,2020-05-16T10:23:14Z
R_3LgL06zBiaQ4yaSDq,5554984,new_entry,,,"",Moldova suspends air traffic with Italy as of March 12. The measure is valid until March 31.,2020-03-11,2020-03-12,2020-03-31,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,Italy,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",50.4528417282198,46.9732184937954,42.5380837147551,106,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31nDtalCBSTcDGJ,https://www.ipn.md/en/authorities-suspend-air-traffic-with-italy-7967_1072096.html,2020-05-15,2020-05-15T15:53:40Z
R_bdCVoR6bEq0VIClDq,5650891,update,End of Policy,,"","The air operators on Moldova are obliged not to allow travellers from Italy, China, Iran and South Korea from March 12.

The National Extraordinary Commission on Public Health eased restrictions by decree on 15 May, 2020 to allow passengers of any nationality transit through Moldovan territory on repatriation journeys organized by their home countries. As of May 25, 2020 The National Extraordinary Commission on Public Health have fully lifted all restrictions on passengers transiting Moldova. UPDATE: Restrictions on foreign passengers transiting Moldovan territory were fully lifted May 25, 2020 by decree of the National Extraordinary Committee on Public Health.",2020-03-11,2020-03-12,2020-05-25,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,"China,Iran,Italy,South Korea","One or more countries, but not all countries",,,,,,Foreign Travelers,,Inbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",50.4528417282198,46.9732184937954,42.5380837147551,106,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IuCcjfwgJwVxp1 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28Ce3u91YZKjnaX,NA ; https://gov.md/sites/default/files/postanovlenie_no_11_ot_15.05.2020_g._nacionalnoy_chrezvychaynoy_komissii_obshchestvennogo_zdorovya.pdf ; https://gov.md/sites/default/files/postanovlenie_no12_ot_25.05.2020_g._nacionalnoy_chrezvychaynoy_komissii_obshchestvennogo_zdorovya.pdf,2020-08-29,2020-08-29T19:20:57Z
R_295ONz8wkTN3mqRDq,2318865,new_entry,,,"","Air operators are banned from carrying persons of other nationalities than Moldovan to Moldova from March 13, except for stateless persons and foreigners with residence, domicile or with permit of stay in Moldova.",2020-03-13,2020-03-13,2020-03-31,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,Foreign Travelers,,Inbound,Flights,Mandatory (Unspecified/Implied),National Government,51.4747805312556,48.0069551441525,44.1000473287961,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hy644S96LfF2aN,https://www.ipn.md/en/print/covid-19-nationwide-red-alert--7967_1072167.html,2020-05-15,2020-05-15T17:07:04Z
R_yPJQmXAEcK2j2rnDq,3325323,update,End of Policy,,"","The Republic of Moldova closes its airspace for the regular flights from Spain and France as of March 13. The Chisinau-Barcelona and Chisinau-Paris flights are also annulled.

Flights to and from all destinations are permitted to resume from June 15, 2020. UPDATE: All commercial flights in and out of Moldova to all destinations were resumed as of June 15, 2020",2020-03-13,2020-03-13,2020-06-15,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,"France,Spain","One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,51.4747805312556,48.0069551441525,44.1000473287961,105,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3G8TvczVBLdrTsG ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jizHkAJ7Y7MXGx,NA ; https://www.moldova.org/en/new-restrictions-to-be-lifted-in-moldova-regular-charter-flights-and-passenger-flights-will-be-resumed/,2020-08-21,2020-08-21T07:02:56Z
R_3ekM7ApMaDw9VriGl,496541,new_entry,,,"","Moldova stopped flights at the Chisinau Airport from March 17 until May 15, at the earliest. This suspends all inbound and outbund flights from the country.",2020-03-16,2020-03-17,2020-05-15,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,"Flights,Trains",Mandatory (Unspecified/Implied),"National Government,Military,Police",53.9852047885487,50.6440433775985,47.2808144342257,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zJ5yRU7Y3VIme2,https://www.osac.gov/Content/Report/f9092f27-ae82-4d2d-b52a-183644ecde91 ; https://md.usembassy.gov/u-s-citizen-services/covid-19-information/,2020-06-18,2020-06-18T08:53:10Z
R_29sIMp7EG0lTXkdDq,8460369,new_entry,,,"","Citizens of the de facto Transnistria holding residence permits issued after June 3, 2020 who live in territory claimed by Transnistria, but currently under the administration of the Moldovan Government at Chisinau, must receive special permission to cross into Transnistrian territory from the Transnistrian Ministry of Internal Affairs' Operational Headquarters for the Prevention and Prevention of the Spread of Viral Infection. The areas subject to this requirement are:  the village of Varnitsa; the village of Kopanka, Slobodzeya region; the villages of Novaya Molovata, Kociery, Pogrebea, Dorotskoe , Koshnitsa, Pyryta, Dubossary region.",2020-09-17,2020-09-17,,,Moldova,MDA,MD,Provincial,0,Transnistria,,,External Border Restrictions,Other External Border Restriction,,"",,,,,,"","","","","","","","","","","",,,,"",No,Moldova,One or more cities within one or more countries,,Transnistria,"Varnitsa (Transnistria); Kopanka (Transnistria), Slobodzeya and area (Transnistria); Novaya Molovata (Transnistria); Kociery (Transnistria); Pogrebea (Transnistria); Dorotskoe (Transnistria); Koshnitsa (Transnistria); Pyryta (Transnistria); Dubossary and area (Transnistria)",,,Citizen Travelers,No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"Provincial/State Government,New (COVID-19 specific) Task Force",54.3813392463352,51.3943862620336,47.8761290159791,43,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1fjapMusStLzgGE,https://mvdpmr.org/novosti/resheniya-opershtaba/32657-reshenie-operativnogo-shtaba-ot-17-sentyabrya-2020-goda.html,2020-09-30,2020-09-30T06:36:09Z
R_6lpyxmY1aBxmsSJCq,8412186,new_entry,,,"","Medical face masks, gloves and medical disinfectants cannot be exported from Moldova until April 15, as dictated by a Government decision approved on March 11.",2020-03-11,2020-03-11,2020-04-15,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,Health Resources,Masks,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Health-Related Supplies,,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qXjKMjvYUUjFJEB,https://www.ipn.md/en/government-introduces-temporary-restrictions-on-export-of-medical-masks-7966_1072105.html,2020-05-15,2020-05-15T16:12:25Z
R_6lpyxmY1aBxmsSJEh,8412186,new_entry,,,"","Medical face masks, gloves and medical disinfectants cannot be exported from Moldova until April 15, as dictated by a Government decision approved on March 11.",2020-03-11,2020-03-11,2020-04-15,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,Health Resources,Personal Protective Equipment,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Health-Related Supplies,,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qXjKMjvYUUjFJEB,https://www.ipn.md/en/government-introduces-temporary-restrictions-on-export-of-medical-masks-7966_1072105.html,2020-05-15,2020-05-15T16:12:25Z
R_6lpyxmY1aBxmsSJBx,8412186,new_entry,,,"","Medical face masks, gloves and medical disinfectants cannot be exported from Moldova until April 15, as dictated by a Government decision approved on March 11.",2020-03-11,2020-03-11,2020-04-15,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,Health Resources,Hand Sanitizer,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Health-Related Supplies,,Outbound,Not Applicable,Mandatory (Unspecified/Implied),National Government,49.0725481262973,45.0062263572397,40.5450231360368,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qXjKMjvYUUjFJEB,https://www.ipn.md/en/government-introduces-temporary-restrictions-on-export-of-medical-masks-7966_1072105.html,2020-05-15,2020-05-15T16:12:25Z
R_3p0iZbnF0KySvMJGi,1213218,update,End of Policy,,"","On March 12 2020, Moldova will receive 1,000 COVID-19 tests from the World Health Organization. UPDATE: President Dodon said tests are also transmitted to the Transnistrian region and the taken samples are brought to laboratories in Chisinau.",2020-03-11,2020-03-12,2020-03-13,The policy is a one-time measure (e.g. publication of guidelines),Moldova,MDA,MD,National,0,,,,Health Resources,Test Kits,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,50.4528417282198,46.9732184937954,42.5380837147551,106,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yO98iprBityuym5,https://www.ipn.md/en/all-persons-who-return-from-infection-risk-zones-could-be-7967_1072099.html,2021-06-05,2021-06-05T09:45:51Z
R_eQC4wCxefC1xCApCq,8839521,new_entry,,,"","The Ministry of Justice of Moldova donated 45,000 protective masks to the Chisinau Emergency Medicine Institute on March 19.",2020-03-19,2020-03-19,2020-03-19,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,Health Resources,Masks,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,55.2683211624401,51.9832024327916,48.8960304425903,67,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2drLhJzZDhnCkkL,https://www.ipn.md/en/print/masks-made-at-penitentiary-donated-to-emergency-medicine-institute--7967_1072313.html,2020-05-15,2020-05-15T19:19:07Z
R_3JldcpBffJbBMOHCq,9732858,update,End of Policy,,"","The National Medical Insurance Company in Moldova announced on March 19 2020 that it will provide 2,000,000 lei for the purchase of 640,000 medical gloves and 250,000 medical masks. UPDATE: This will be executed as a one-time policy.",2020-03-19,2020-03-19,2020-04-02,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Moldova,MDA,MD,National,0,,,,Health Resources,Masks,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,55.2683211624401,51.9832024327916,48.8960304425903,67,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yWRmhwPfRlcHFKx,https://stiri.md/article/social/cnam-va-aloca-2-000-000-de-lei-pentru-masti-si-manusi-medicale,2021-06-05,2021-06-05T09:53:11Z
R_3JldcpBffJbBMOHEh,9732858,update,End of Policy,,"","The National Medical Insurance Company in Moldova announced on March 19 2020 that it will provide 2,000,000 lei for the purchase of 640,000 medical gloves and 250,000 medical masks. UPDATE: This will be executed as a one-time policy.",2020-03-19,2020-03-19,2020-04-02,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Moldova,MDA,MD,National,0,,,,Health Resources,Personal Protective Equipment,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,55.2683211624401,51.9832024327916,48.8960304425903,67,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yWRmhwPfRlcHFKx,https://stiri.md/article/social/cnam-va-aloca-2-000-000-de-lei-pentru-masti-si-manusi-medicale,2021-06-05,2021-06-05T09:53:11Z
R_rcMlCuHNMWmTBZLGi,5590493,new_entry,,,"","Moldova received on March 24 another 1,000 COVID-19 test kits from WHO.",2020-03-24,2020-03-24,2020-03-24,The policy has a clear end date,Moldova,MDA,MD,National,0,,,,Health Resources,Test Kits,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Moldova,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,69.0611964910246,65.8523176879416,62.5342724070888,98,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_qUiBY4FPhwmjrep,https://www.ipn.md/en/print/who-offers-another-1000-test-kits-for-covid-19--7967_1072410.html,2020-05-15,2020-05-15T19:52:16Z
R_0dr8sPqikfIWHfjCq,5673546,new_entry,,,"","Doctors and medical assistants from ten districts in Moldova will receive masks, around 100,000 gloves and 760 liters of disinfectant from the Swiss Cooperation Office in the country on between March 25 and March 31.",2020-03-25,2020-03-25,2020-03-31,The policy has a clear end date,Moldova,MDA,MD,Provincial,0,,,,Health Resources,Masks,,"",,,,,,"","","","","","","","","","","",,,,"",No,Moldova,One or more provinces within one or more countries,,Fălești; Ungheni; Ștefan Vodă; Cahul; Orhei; Criuleni; Taraclia; Vulcănești; Edineț; Briceni,,,,Health Staff,,,Not Applicable,Mandatory (Unspecified/Implied),Ministry/Department of Health,72.2376978433629,68.7416437932876,65.2553878618187,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1OP07eA5JGTnVIk,https://www.ipn.md/en/print/health-centers-receive-donation-of-masks-gloves-and-disinfectants--7967_1072451.html,2020-05-15,2020-05-15T20:06:43Z
R_0dr8sPqikfIWHfjEh,5673546,new_entry,,,"","Doctors and medical assistants from ten districts in Moldova will receive masks, around 100,000 gloves and 760 liters of disinfectant from the Swiss Cooperation Office in the country on between March 25 and March 31.",2020-03-25,2020-03-25,2020-03-31,The policy has a clear end date,Moldova,MDA,MD,Provincial,0,,,,Health Resources,Personal Protective Equipment,,"",,,,,,"","","","","","","","","","","",,,,"",No,Moldova,One or more provinces within one or more countries,,Fălești; Ungheni; Ștefan Vodă; Cahul; Orhei; Criuleni; Taraclia; Vulcănești; Edineț; Briceni,,,,Health Staff,,,Not Applicable,Mandatory (Unspecified/Implied),Ministry/Department of Health,72.2376978433629,68.7416437932876,65.2553878618187,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1OP07eA5JGTnVIk,https://www.ipn.md/en/print/health-centers-receive-donation-of-masks-gloves-and-disinfectants--7967_1072451.html,2020-05-15,2020-05-15T20:06:43Z
