record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_20OkMrmLv8KVq1VNA,1873063,new_entry,,,"","Mongolia is now imposing criminal penalties for spreading ‘false news’ about coronavirus that causes social distress and potential economic damage. Under the Criminal Law, anyone who deliberately spreads fake news will face fines from MNT 450,000 to MNT 1,300,000 or face 240-720 hours of social work and imprisonment of 1-3 months.",2020-03-30,2020-03-30,,The policy’s end date is unknown or unreported,Mongolia,MNG,MN,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mongolia,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Other; please list other enforcement mechanisms in the text entry)","National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oSHtfoYmsn7faB,https://news.mn/en/791544/,2021-05-14,2021-05-14T11:20:33Z
R_2uBxjaJaq1C98iTEk,8288816Ek,update,Change of Policy,Strengthening,timing of policy strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tVxoofFiyDZEKLD,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z
R_2uBxjaJaq1C98iTEl,8288816El,update,Change of Policy,Strengthening,timing of policy strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tVxoofFiyDZEKLD,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z
R_2uBxjaJaq1C98iTFv,8288816Fv,update,Change of Policy,Strengthening,timing of policy strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tVxoofFiyDZEKLD,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z
R_2uBxjaJaq1C98iTCd,8288816Cd,update,Change of Policy,Strengthening,timing of policy strengthening,"On April 14, 2020, the Mongolian State Emergency Commission (SEC) convened a meeting and decided to extend closures of all schools, universities and educational institutions until September 1, 2020.",2020-04-14,2020-01-26,2020-09-01,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_tVxoofFiyDZEKLD,NA ; https://montsame.mn/en/read/222247,2020-06-29,2020-06-29T11:27:16Z
R_1H8qjxdLsL8GvpnEk,8288816Ek,new_entry,,,"","On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-03-02,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z
R_1H8qjxdLsL8GvpnEl,8288816El,new_entry,,,"","On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-03-02,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z
R_1H8qjxdLsL8GvpnFv,8288816Fv,new_entry,,,"","On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-03-02,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z
R_1H8qjxdLsL8GvpnCd,8288816Cd,new_entry,,,"","On January 26, 2020, the Mongolian government decided to close all schools in the country from January 27 to March 2.",2020-01-26,2020-01-27,2020-03-02,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx,https://montsame.mn/en/read/213965,2020-03-31,2020-03-31T05:38:44Z
R_1dKer1ZNUvSpHMvEk,8288816Ek,update,Change of Policy,Strengthening,timing of policy strengthening,"The Mongolian government decided to extend the closure of schools from the original end date, March 2nd, to April 30th. UPDATE: The original school closure from January 27 to March 2 has been extended to April 30th.",2020-02-19,2020-02-19,2020-04-30,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2cnMdrM6UjQUDgU,NA ; https://mongolia.gov.mn/news/view/24702,2022-07-05,2022-07-05T12:22:52Z
R_1dKer1ZNUvSpHMvEl,8288816El,update,Change of Policy,Strengthening,timing of policy strengthening,"The Mongolian government decided to extend the closure of schools from the original end date, March 2nd, to April 30th. UPDATE: The original school closure from January 27 to March 2 has been extended to April 30th.",2020-02-19,2020-02-19,2020-04-30,The policy has a clear end date,Mongolia,MNG,MN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mongolia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_beaqHWWNoqcJBKx ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2cnMdrM6UjQUDgU,NA ; https://mongolia.gov.mn/news/view/24702,2022-07-05,2022-07-05T12:22:52Z
