record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2wNM8K6kEA8OGT3NA,7741732,new_entry,,,"",On June 11th the Moroccan Ministry of Health made an announcement to combat disinformation about its future plans by denying it has published an official document entitled 'Plan to lift lockdown'. The misinformation had been spreading on social media. The ministry condemns the spread of this false information and any other actions that may hinder the country's ability to tackle the pandemic.,2020-06-11,2020-06-11,2020-06-12,The policy is a one-time measure (e.g. publication of guidelines),Morocco,MAR,MA,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Morocco,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,69.2102371115175,65.7653797155023,62.4449050940753,89,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Ocf9JK9YHQ1wa8,https://www.maroc.ma/en/news/ministry-health-denies-publication-any-plan-lift-lockdown,2022-01-26,2022-01-26T21:45:50Z
R_xfKWDApZo6BJ86REl,4834338El,new_entry,,,"",Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.,2020-03-13,2020-03-16,,,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Morocco,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,58.8099196932612,55.1014886796844,51.6446989132233,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_C77o0XxTkKxzOF3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1NsuEcP6XERiyhp,NA ; https://www.medias24.com/coronavirus-suspension-des-cours-au-maroc-a-partir-du-lundi-16-mars-8322.html ; https://fr.le360.ma/societe/coronavirus-suspension-des-cours-au-maroc-a-partir-du-16-mars-jusqua-nouvel-ordre-210709 ; https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/,2020-11-22,2020-11-22T11:38:34Z
R_xfKWDApZo6BJ86REm,4834338Em,new_entry,,,"",Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.,2020-03-13,2020-03-16,,,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Morocco,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,58.8099196932612,55.1014886796844,51.6446989132233,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_C77o0XxTkKxzOF3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1NsuEcP6XERiyhp,NA ; https://www.medias24.com/coronavirus-suspension-des-cours-au-maroc-a-partir-du-lundi-16-mars-8322.html ; https://fr.le360.ma/societe/coronavirus-suspension-des-cours-au-maroc-a-partir-du-16-mars-jusqua-nouvel-ordre-210709 ; https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/,2020-11-22,2020-11-22T11:38:34Z
R_xfKWDApZo6BJ86RFw,4834338Fw,new_entry,,,"",Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.,2020-03-13,2020-03-16,,,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Morocco,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,58.8099196932612,55.1014886796844,51.6446989132233,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_C77o0XxTkKxzOF3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1NsuEcP6XERiyhp,NA ; https://www.medias24.com/coronavirus-suspension-des-cours-au-maroc-a-partir-du-lundi-16-mars-8322.html ; https://fr.le360.ma/societe/coronavirus-suspension-des-cours-au-maroc-a-partir-du-16-mars-jusqua-nouvel-ordre-210709 ; https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/,2020-11-22,2020-11-22T11:38:34Z
R_xfKWDApZo6BJ86RCe,4834338Ce,new_entry,,,"",Morocco's Ministry of Education suspends all in-person school activities and foreign education institutes after March 16 until further notice.,2020-03-13,2020-03-16,,,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Morocco,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),National Government,58.8099196932612,55.1014886796844,51.6446989132233,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_C77o0XxTkKxzOF3 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1NsuEcP6XERiyhp,NA ; https://www.medias24.com/coronavirus-suspension-des-cours-au-maroc-a-partir-du-lundi-16-mars-8322.html ; https://fr.le360.ma/societe/coronavirus-suspension-des-cours-au-maroc-a-partir-du-16-mars-jusqua-nouvel-ordre-210709 ; https://www.moroccoworldnews.com/2020/03/296119/morocco-suspends-school-amid-coronavirus-fears/,2020-11-22,2020-11-22T11:38:34Z
R_2AEjNLG2DOLa292Em,918361Em,new_entry,,,"","On 16th March Morocco's Ministry of Education launches the transition to distance learning using a nation-wide online portal ""TelmidTICE"" (https://telmidtice.men.gov.ma/). Access to the portal is made available on Monday 16th March at 10am local time. The portal includes hundreds of pre-recorded lessons across a range of subjects and levels of study, and the database will be continue to be updated. In addition, distance learning is made available through the ""Athaqafia"" (culture) TV channel.",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Morocco,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,58.8099196932612,55.1014886796844,51.6446989132233,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TBpSBESlzxCE7k,https://www.maroc.ma/fr/actualites/lancement-de-loperation-denseignement-distance-le-portail-electronique-telmidtice-et-sur ; https://www.moroccoworldnews.com/2020/03/297270/more-moroccan-tv-channels-to-broadcast-remote-classes,2022-03-04,2022-03-04T20:24:08Z
R_2AEjNLG2DOLa292Fw,918361Fw,new_entry,,,"","On 16th March Morocco's Ministry of Education launches the transition to distance learning using a nation-wide online portal ""TelmidTICE"" (https://telmidtice.men.gov.ma/). Access to the portal is made available on Monday 16th March at 10am local time. The portal includes hundreds of pre-recorded lessons across a range of subjects and levels of study, and the database will be continue to be updated. In addition, distance learning is made available through the ""Athaqafia"" (culture) TV channel.",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Morocco,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Voluntary/Recommended but No Penalties,Ministry/Department of Education,58.8099196932612,55.1014886796844,51.6446989132233,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TBpSBESlzxCE7k,https://www.maroc.ma/fr/actualites/lancement-de-loperation-denseignement-distance-le-portail-electronique-telmidtice-et-sur ; https://www.moroccoworldnews.com/2020/03/297270/more-moroccan-tv-channels-to-broadcast-remote-classes,2022-03-04,2022-03-04T20:24:08Z
R_bOstqDMgnvxaSkxEm,2000061Em,new_entry,,,"",Morocco's Ministry of Education announces on March 29th that it will be postponing the spring break that was due to begin on this day. This is done to avoid disruption to distance education and to allow students to continue with remote classes.,2020-03-29,2020-03-29,,The policy’s end date is unknown or unreported,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Morocco,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",74.0311664952914,70.4475204175487,66.9423711692359,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BSpWDg6zANMQduV,https://www.moroccoworldnews.com/2020/03/297978/ministry-of-education-postpones-spring-break-for-all-moroccan-students ; https://www.maroc.ma/en/news/ministry-national-education-announces-postponement-spring-holidays-continued-distance-learning,2022-03-10,2022-03-10T21:31:48Z
R_bOstqDMgnvxaSkxFw,2000061Fw,new_entry,,,"",Morocco's Ministry of Education announces on March 29th that it will be postponing the spring break that was due to begin on this day. This is done to avoid disruption to distance education and to allow students to continue with remote classes.,2020-03-29,2020-03-29,,The policy’s end date is unknown or unreported,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Morocco,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",74.0311664952914,70.4475204175487,66.9423711692359,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BSpWDg6zANMQduV,https://www.moroccoworldnews.com/2020/03/297978/ministry-of-education-postpones-spring-break-for-all-moroccan-students ; https://www.maroc.ma/en/news/ministry-national-education-announces-postponement-spring-holidays-continued-distance-learning,2022-03-10,2022-03-10T21:31:48Z
R_bOstqDMgnvxaSkxCe,2000061Ce,new_entry,,,"",Morocco's Ministry of Education announces on March 29th that it will be postponing the spring break that was due to begin on this day. This is done to avoid disruption to distance education and to allow students to continue with remote classes.,2020-03-29,2020-03-29,,The policy’s end date is unknown or unreported,Morocco,MAR,MA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Morocco,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Education,Other (Please specify in the text box)",74.0311664952914,70.4475204175487,66.9423711692359,108,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BSpWDg6zANMQduV,https://www.moroccoworldnews.com/2020/03/297978/ministry-of-education-postpones-spring-break-for-all-moroccan-students ; https://www.maroc.ma/en/news/ministry-national-education-announces-postponement-spring-holidays-continued-distance-learning,2022-03-10,2022-03-10T21:31:48Z
