record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_1NfVnKJzvNNjFUkNA,8412857,new_entry,,,"","Myanmar authorities will ""investigate and prosecute those who spread false news about the coronavirus to cause fear and panic among the public"" with the exception of those who do so unintentionally.",2020-03-13,2020-03-13,,The policy’s end date is unknown or unreported,Myanmar,MMR,MM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Myanmar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Exceptions (Please list exceptions in the text entry),"Ministry/Department of Health,Other (Please specify in the text box)",46.6783044892409,42.7055540974384,37.7401934386788,72,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6MxZgDcbCYyOFfr,https://www.rfa.org/english/news/myanmar/fake-news-03272020181905.html ; https://mohs.gov.mm/Main/content/publication/2019-ncov,2022-10-16,2022-10-16T23:59:59Z
R_3oLp47n254L7Je2NA,9866569,new_entry,,,"","On March 20, the Kachin state government (Myanmar) announces that spreading fake news among the public is strictly prohibited.",2020-03-20,2020-03-20,2020-03-21,The policy is a one-time measure (e.g. publication of guidelines),Myanmar,MMR,MM,Provincial,1,Kachin,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Myanmar,One or more provinces within one or more countries,,Kachin,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,53.7993202257833,50.0585935295515,46.6228866884597,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_28UTTVHSJS3xlso,https://www.irrawaddy.com/specials/myanmar-covid-19/myanmars-states-issue-heavy-restrictions-movement-ahead-thingyan-curb-covid-19.html,2022-10-16,2022-10-16T23:59:59Z
R_3OrDxaWpdhldOkwNA,1075316,new_entry,,,"","On March 28, the Mon State (Myanmar) Government declares that residents are prohibited from spreading fake news that could cause panic among the public.",2020-03-28,2020-03-28,2020-03-29,The policy is a one-time measure (e.g. publication of guidelines),Myanmar,MMR,MM,Provincial,1,Mon,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Myanmar,One or more provinces within one or more countries,,Mon,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,54.6458211949247,51.0804499912789,46.938304976758,19,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1pLkf4NLUsLwnlE,https://www.irrawaddy.com/specials/myanmar-covid-19/myanmars-states-issue-heavy-restrictions-movement-ahead-thingyan-curb-covid-19.html,2022-10-16,2022-10-16T23:59:59Z
R_1QJZR3XsonFjckENA,5216351,new_entry,,,"",Myanmar's transport and communications ministry issued orders to Myanmar’s four mobile phone operators in the last two weeks of March to block access to a total of 221 sites on the grounds that they were spreading “fake news”. The ministry’s concern was “fake news” about Covid-19.,2020-04-03,2020-04-03,2020-04-04,The policy is a one-time measure (e.g. publication of guidelines),Myanmar,MMR,MM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Myanmar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),61.3022799644802,57.6985757668511,54.0668541093777,25,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3dWdV7tidkcXW6H,https://rsf.org/en/news/mid-coronavirus-crisis-myanmar-blocks-221-sites-fake-news,2022-10-16,2022-10-16T23:59:59Z
R_3Hk5oxODOytGANuNA,5884396,new_entry,,,"",The Myanmar government has begun to take legal action against people who spread “fake news” and rumors related to the coronavirus. Anyone who spreads misinformation about a disaster with the aim of sparking dread among the public shall be punished with a maximum of one year in prison and a fine. They also warned that those who refuse to follow rules and regulations imposed to combat the coronavirus could face lawsuits under the 2013 Natural Disaster Management Law,2020-04-06,2020-04-06,2022-10-25,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Myanmar,MMR,MM,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Myanmar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,64.7957211221673,61.5060662038908,58.260012588207,32,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bBZZcVjmPd4eUM1,https://www.google.com/url?q=https://www.irrawaddy.com/specials/myanmar-covid-19/myanmar-govt-cracks-fake-covid-19-news.html&sa=D&source=editors&ust=1629035342395764&usg=AOvVaw1im5q74GGvuTDlSZ4gO9IJ,2021-08-15,2021-08-15T12:51:02Z
R_2rIUTOsPpu72BzjEl,627116El,new_entry,,,"",Myanmar orders closure of pre-schools and nurseries starting 16th of March.,2020-03-15,2020-03-16,2020-04-30,The policy has a clear end date,Myanmar,MMR,MM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Myanmar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.1558704447535,48.4839200850689,44.0445433705975,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DNKq9jAKK1NzMdP,https://www.mmtimes.com/news/myanmar-orders-closures-preschools-fight-against-covid-19.html,2020-04-02,2020-04-02T01:23:37Z
R_0PTp7VsbyNf0zS1El,627116El,update,Change of Policy,Strengthening,timing of policy strengthening,Myanmar orders closure of pre-schools and nurseries starting 16th of March. UPDATE: Myanmar extends closure of preschools to June 30th after extending the closure several times.,2020-03-15,2020-03-16,2020-06-30,The policy has a clear end date,Myanmar,MMR,MM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Myanmar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.1558704447535,48.4839200850689,44.0445433705975,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DNKq9jAKK1NzMdP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1CaakxeNUED0YbR,NA ; https://www.mmtimes.com/news/myanmar-extends-closure-preschools-june-30.html,2020-06-15,2020-06-15T18:39:50Z
R_1i2MYVZ1pAAgsk0El,627116El,update,Change of Policy,Strengthening,timing of policy strengthening,"Myanmar orders closure of pre-schools and nurseries starting 16th of March.  This closure was extended several times, and this update documents the closure extension to July 15. UPDATE: Myanmar extends preschool closure to July 15.",2020-03-15,2020-03-16,2020-07-15,The policy has a clear end date,Myanmar,MMR,MM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Myanmar,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",52.1558704447535,48.4839200850689,44.0445433705975,83,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_DNKq9jAKK1NzMdP ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1EWEAQDbMmNqMcr,NA ; https://www.mmtimes.com/news/myanmar-keeps-preschools-closed-until-july-15.html,2020-06-29,2020-06-29T15:46:03Z
R_12kXCxn24sYISSVNA,1321302NA,new_entry,,,"","On March 20, the Kachin State government (Myanmar) states that all private schools have been closed temporarily.",2020-03-20,2020-03-20,,The policy’s end date is unknown or unreported,Myanmar,MMR,MM,Provincial,1,Kachin,,,Closure and Regulation of Schools,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Myanmar,One or more provinces within one or more countries,,Kachin,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Provincial/State Government,53.7993202257833,50.0585935295515,46.6228866884597,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1I4rLiDbslx46xM,https://www.irrawaddy.com/specials/myanmar-covid-19/myanmars-states-issue-heavy-restrictions-movement-ahead-thingyan-curb-covid-19.html,2022-09-26,2022-09-26T23:59:59Z
R_aa6OPYttI4anUvDCe,2531090Ce,new_entry,,,"","On March 24th, all universities in Myanmar were closed.",2020-03-24,2020-03-24,,The policy’s end date is unknown or unreported,Myanmar,MMR,MM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Myanmar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,54.3372391710084,50.4373785440707,46.5671415063893,32,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Eor54gZAAHoxZy,https://www.mmtimes.com/news/no-timeframe-reopening-myanmar-universities.html,2022-09-26,2022-09-26T23:59:59Z
