record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3dFISGnSRD8by0nEl,6264438El,new_entry,,,"","In Nicaragua, on April 21, 2020, Schools were ordered to stay open. Nicaragua ordered its more than 1.8 million students back to class Monday, in spite of concerns about spreading the novel coronavirus that have led other countries in the region to try to keep education on track through remote learning. Government education adviser Salvador Vanegas told the government website El 19 Monday that Health Ministry protocols about hand-washing hand been implemented.",2020-04-21,2020-04-21,2020-04-22,The policy is a one-time measure (e.g. publication of guidelines),Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",13.4045814423764,11.1971645537067,9.21395795047284,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2E4ediUSMJtRB36,https://abcnews.go.com/International/wireStory/nicaragua-sends-students-back-school-virus-fears-70254189,2022-06-16,2022-06-16T07:07:21Z
R_3dFISGnSRD8by0nEm,6264438Em,new_entry,,,"","In Nicaragua, on April 21, 2020, Schools were ordered to stay open. Nicaragua ordered its more than 1.8 million students back to class Monday, in spite of concerns about spreading the novel coronavirus that have led other countries in the region to try to keep education on track through remote learning. Government education adviser Salvador Vanegas told the government website El 19 Monday that Health Ministry protocols about hand-washing hand been implemented.",2020-04-21,2020-04-21,2020-04-22,The policy is a one-time measure (e.g. publication of guidelines),Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",13.4045814423764,11.1971645537067,9.21395795047284,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2E4ediUSMJtRB36,https://abcnews.go.com/International/wireStory/nicaragua-sends-students-back-school-virus-fears-70254189,2022-06-16,2022-06-16T07:07:21Z
R_3dFISGnSRD8by0nFw,6264438Fw,new_entry,,,"","In Nicaragua, on April 21, 2020, Schools were ordered to stay open. Nicaragua ordered its more than 1.8 million students back to class Monday, in spite of concerns about spreading the novel coronavirus that have led other countries in the region to try to keep education on track through remote learning. Government education adviser Salvador Vanegas told the government website El 19 Monday that Health Ministry protocols about hand-washing hand been implemented.",2020-04-21,2020-04-21,2020-04-22,The policy is a one-time measure (e.g. publication of guidelines),Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with no conditions,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",13.4045814423764,11.1971645537067,9.21395795047284,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2E4ediUSMJtRB36,https://abcnews.go.com/International/wireStory/nicaragua-sends-students-back-school-virus-fears-70254189,2022-06-16,2022-06-16T07:07:21Z
R_3dFISGnSRD8by0nCe,6264438Ce,new_entry,,,"","In Nicaragua, on April 21, 2020, Schools were ordered to stay open. Nicaragua ordered its more than 1.8 million students back to class Monday, in spite of concerns about spreading the novel coronavirus that have led other countries in the region to try to keep education on track through remote learning. Government education adviser Salvador Vanegas told the government website El 19 Monday that Health Ministry protocols about hand-washing hand been implemented.",2020-04-21,2020-04-21,2020-04-22,The policy is a one-time measure (e.g. publication of guidelines),Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with no conditions,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",13.4045814423764,11.1971645537067,9.21395795047284,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2E4ediUSMJtRB36,https://abcnews.go.com/International/wireStory/nicaragua-sends-students-back-school-virus-fears-70254189,2022-06-16,2022-06-16T07:07:21Z
R_27C28so6bJ1Gf9LCe,1393279Ce,new_entry,,,"","National universities in Nicaragua have moved to a rotating class meeting schedule to reduce crowding on campuses. Starting at least on June 17, 2020.",2020-06-17,2020-06-17,,The policy’s end date is unknown or unreported,Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",13.995078041123,11.3386865130688,9.40813599251981,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Zga9MeeWe7f6akx,https://nacla.org/news/2020/06/17/nicaragua-tepid-covid-response,2022-06-17,2022-06-17T10:08:10Z
R_1rNuoeTiV9SY4CpEm,8607172Em,new_entry,,,"","National Nicaragua-The Nicaraguan Ministry for Education is realising distance learning-teleclasses for the first time in the country for primary and secondary students from public schools. These teleclasses will take place from the 1st July to the 21st July 2020 (three weeks) through Channel 6, Channel 15, Radio Nicaragua and on several social media sites.It is expected that the Nicaraguan Ministry of Education turns to the presential format from the 22st July.",2020-06-22,2020-07-01,2020-07-21,The policy has a clear end date,Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),13.9928234035755,11.3222961262097,9.37279729403557,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kHUmYeVDy19M2y,https://www.laprensa.com.ni/2020/07/05/nacionales/2692980-teleclases-son-una-aberracion-en-calidad-educativa-segun-especialistas ; https://www.laprensa.com.ni/2020/07/01/nacionales/2691684-ministra-de-educacion-admite-que-hay-maestros-infectados-pero-que-no-hacen-drama-del-covid-19 ; https://www.mined.gob.ni/ ; https://www.el19digital.com/galerias/ver/titulo:1841-teleclases-un-hito-en-la-historia-de-la-educacion-en-nicaragua,2020-07-06,2020-07-06T17:40:18Z
R_1rNuoeTiV9SY4CpFw,8607172Fw,new_entry,,,"","National Nicaragua-The Nicaraguan Ministry for Education is realising distance learning-teleclasses for the first time in the country for primary and secondary students from public schools. These teleclasses will take place from the 1st July to the 21st July 2020 (three weeks) through Channel 6, Channel 15, Radio Nicaragua and on several social media sites.It is expected that the Nicaraguan Ministry of Education turns to the presential format from the 22st July.",2020-06-22,2020-07-01,2020-07-21,The policy has a clear end date,Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),13.9928234035755,11.3222961262097,9.37279729403557,1,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kHUmYeVDy19M2y,https://www.laprensa.com.ni/2020/07/05/nacionales/2692980-teleclases-son-una-aberracion-en-calidad-educativa-segun-especialistas ; https://www.laprensa.com.ni/2020/07/01/nacionales/2691684-ministra-de-educacion-admite-que-hay-maestros-infectados-pero-que-no-hacen-drama-del-covid-19 ; https://www.mined.gob.ni/ ; https://www.el19digital.com/galerias/ver/titulo:1841-teleclases-un-hito-en-la-historia-de-la-educacion-en-nicaragua,2020-07-06,2020-07-06T17:40:18Z
R_cAMQZfCV1J0IeHfEm,7961427Em,new_entry,,,"",The Nicaraguan public schools reopened presential classes the 21th July 2020 in order to begin the second educational semester after 20 days of teleclasses.,2020-07-21,2020-07-21,,The policy’s end date is unknown or unreported,Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),14.0922207641756,11.3641746525888,9.42932399239196,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TzpctRLBrxvnrb,https://www.mined.gob.ni/estudiantes-retornan-a-las-aulas-de-clases-con-fe-y-esperanza/,2021-12-08,2021-12-08T04:49:09Z
R_cAMQZfCV1J0IeHfFw,7961427Fw,new_entry,,,"",The Nicaraguan public schools reopened presential classes the 21th July 2020 in order to begin the second educational semester after 20 days of teleclasses.,2020-07-21,2020-07-21,,The policy’s end date is unknown or unreported,Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),14.0922207641756,11.3641746525888,9.42932399239196,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2TzpctRLBrxvnrb,https://www.mined.gob.ni/estudiantes-retornan-a-las-aulas-de-clases-con-fe-y-esperanza/,2021-12-08,2021-12-08T04:49:09Z
R_w6IuIpHGWkfdzihEl,5773617El,new_entry,,,"","On September 28,2020, World bank posted Nicaragua’s application for a COVID-19 funding to support the Ministry of education’s COVID-19 national response plan.    The plan’s objectives are to support Ministry of education’s COVID-19 response programs conducive to reducing learning gaps; and develop socioemotional skills for vulnerable groups.",2020-09-28,2020-09-28,2020-10-12,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Nicaragua,NIC,NI,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Nicaragua,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",13.5978681286699,11.3565125358012,9.36231912777543,2,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_XNaCahOQ20bUL9D,https://web.archive.org/web/20201122084222/https://www.globalpartnership.org/sites/default/files/document/file/2020-11-application-program-document-covid-19-accelerated-funding-nicaragua.pdf,2022-06-16,2022-06-16T07:20:18Z
