record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_rrTnSUEbUyDWUUxDy,6158396Dy,new_entry,original,,,Niger closed all schools for at least two weeks starting from March 20th,2020-03-19,2020-03-20,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,http://www.anp.ne/?q=article/le-niger-enregistre-son-premier-cas-de-coronavirus-officiel,2020-04-02,2020-04-02T17:58:13Z
R_rrTnSUEbUyDWUUxEa,6158396Ea,new_entry,original,,,Niger closed all schools for at least two weeks starting from March 20th,2020-03-19,2020-03-20,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,http://www.anp.ne/?q=article/le-niger-enregistre-son-premier-cas-de-coronavirus-officiel,2020-04-02,2020-04-02T17:58:13Z
R_rrTnSUEbUyDWUUxFj,6158396Fj,new_entry,original,,,Niger closed all schools for at least two weeks starting from March 20th,2020-03-19,2020-03-20,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,http://www.anp.ne/?q=article/le-niger-enregistre-son-premier-cas-de-coronavirus-officiel,2020-04-02,2020-04-02T17:58:13Z
R_rrTnSUEbUyDWUUxCe,6158396Ce,new_entry,original,,,Niger closed all schools for at least two weeks starting from March 20th,2020-03-19,2020-03-20,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,http://www.anp.ne/?q=article/le-niger-enregistre-son-premier-cas-de-coronavirus-officiel,2020-04-02,2020-04-02T17:58:13Z
R_3PzCTzW6rWkALYKDy,6158396Dy,update,original,Change of Policy,Relaxing,Niger opens schools on 1 June UPDATE: Reopening of schools and resumption of classes on 1 June,2020-05-12,2020-06-01,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,NA ; https://www.lesahel.org/index.php/2020/05/12/point-de-presse-du-ministre-de-lenseignement-superieur-de-la-recherche-et-de-linnovation-reouverture-des-etablissements-scolaires-et-reprise-des-cours-le-1er-juin-sur-l/,2020-05-12,2020-05-12T11:43:55Z
R_3PzCTzW6rWkALYKEa,6158396Ea,update,original,Change of Policy,Relaxing,Niger opens schools on 1 June UPDATE: Reopening of schools and resumption of classes on 1 June,2020-05-12,2020-06-01,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,NA ; https://www.lesahel.org/index.php/2020/05/12/point-de-presse-du-ministre-de-lenseignement-superieur-de-la-recherche-et-de-linnovation-reouverture-des-etablissements-scolaires-et-reprise-des-cours-le-1er-juin-sur-l/,2020-05-12,2020-05-12T11:43:55Z
R_3PzCTzW6rWkALYKFj,6158396Fj,update,original,Change of Policy,Relaxing,Niger opens schools on 1 June UPDATE: Reopening of schools and resumption of classes on 1 June,2020-05-12,2020-06-01,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,NA ; https://www.lesahel.org/index.php/2020/05/12/point-de-presse-du-ministre-de-lenseignement-superieur-de-la-recherche-et-de-linnovation-reouverture-des-etablissements-scolaires-et-reprise-des-cours-le-1er-juin-sur-l/,2020-05-12,2020-05-12T11:43:55Z
R_3PzCTzW6rWkALYKCe,6158396Ce,update,original,Change of Policy,Relaxing,Niger opens schools on 1 June UPDATE: Reopening of schools and resumption of classes on 1 June,2020-05-12,2020-06-01,,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,NA ; https://www.lesahel.org/index.php/2020/05/12/point-de-presse-du-ministre-de-lenseignement-superieur-de-la-recherche-et-de-linnovation-reouverture-des-etablissements-scolaires-et-reprise-des-cours-le-1er-juin-sur-l/,2020-05-12,2020-05-12T11:43:55Z
R_2xDBTfHztRIlrFJDy,6158396Dy,update,original,Change of Policy,Strengthening,"Niger will close public schools from December 17 to January 1, 2021, with all workshops and seminars being banned during this period. UPDATE: The original policy was that in Niger all schools were closed for at least two weeks starting from March 20th. This was updated to Niger opening schools on 1 June and then Niger reopening schools and resuming classes on June 1. Public schools will now close from December 17 through January 1, 2021 with all workshops and seminars being banned.",2020-12-14,2020-12-17,2021-01-01,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,NA ; https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/,2020-12-16,2020-12-16T23:28:12Z
R_2xDBTfHztRIlrFJEa,6158396Ea,update,original,Change of Policy,Strengthening,"Niger will close public schools from December 17 to January 1, 2021, with all workshops and seminars being banned during this period. UPDATE: The original policy was that in Niger all schools were closed for at least two weeks starting from March 20th. This was updated to Niger opening schools on 1 June and then Niger reopening schools and resuming classes on June 1. Public schools will now close from December 17 through January 1, 2021 with all workshops and seminars being banned.",2020-12-14,2020-12-17,2021-01-01,Niger,NER,NE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Niger,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,,,,,NA ; https://ne.usembassy.gov/u-s-citizen-services/covid-19-information/,2020-12-16,2020-12-16T23:28:12Z
