record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z
R_1P5Fxoc9IeFbj0JEq,568479Eq,new_entry,,,"","In National Capital Region in Philippines, all schools are closed from March 10 to March 14, 2020 in response to COVID-19.",2020-03-10,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1gO9ZZ2gHazDyZ6,https://www.pna.gov.ph/articles/1096052,ACAPS,ACAPS_2267,2022-06-21,2022-06-21T08:32:09Z
R_1P5Fxoc9IeFbj0JEr,568479Er,new_entry,,,"","In National Capital Region in Philippines, all schools are closed from March 10 to March 14, 2020 in response to COVID-19.",2020-03-10,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1gO9ZZ2gHazDyZ6,https://www.pna.gov.ph/articles/1096052,ACAPS,ACAPS_2267,2022-06-21,2022-06-21T08:32:09Z
R_1P5Fxoc9IeFbj0JGc,568479Gc,new_entry,,,"","In National Capital Region in Philippines, all schools are closed from March 10 to March 14, 2020 in response to COVID-19.",2020-03-10,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1gO9ZZ2gHazDyZ6,https://www.pna.gov.ph/articles/1096052,ACAPS,ACAPS_2267,2022-06-21,2022-06-21T08:32:09Z
R_1P5Fxoc9IeFbj0JCf,568479Cf,new_entry,,,"","In National Capital Region in Philippines, all schools are closed from March 10 to March 14, 2020 in response to COVID-19.",2020-03-10,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1gO9ZZ2gHazDyZ6,https://www.pna.gov.ph/articles/1096052,ACAPS,ACAPS_2267,2022-06-21,2022-06-21T08:32:09Z
R_3FUVHKQi8KBv44YEq,4673259Eq,new_entry,,,"","Classes in all levels in Metro Manila will be suspended from Tuesday, March 10, to Saturday, March 14, President Rodrigo Duterte announced Monday night, March 9.",2020-03-09,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Obkyg0AKDiM1g2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2urIlKFk5kFnwDo,https://www.rappler.com/nation/253912-walang-pasok-duterte-declares-class-suspensions-metro-manila-coronavirus-threat-march-10-14-2020,CoronaNet (original),,2022-06-22,2022-06-22T08:48:17Z
R_3FUVHKQi8KBv44YEr,4673259Er,new_entry,,,"","Classes in all levels in Metro Manila will be suspended from Tuesday, March 10, to Saturday, March 14, President Rodrigo Duterte announced Monday night, March 9.",2020-03-09,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Obkyg0AKDiM1g2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2urIlKFk5kFnwDo,https://www.rappler.com/nation/253912-walang-pasok-duterte-declares-class-suspensions-metro-manila-coronavirus-threat-march-10-14-2020,CoronaNet (original),,2022-06-22,2022-06-22T08:48:17Z
R_3FUVHKQi8KBv44YGc,4673259Gc,new_entry,,,"","Classes in all levels in Metro Manila will be suspended from Tuesday, March 10, to Saturday, March 14, President Rodrigo Duterte announced Monday night, March 9.",2020-03-09,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Obkyg0AKDiM1g2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2urIlKFk5kFnwDo,https://www.rappler.com/nation/253912-walang-pasok-duterte-declares-class-suspensions-metro-manila-coronavirus-threat-march-10-14-2020,CoronaNet (original),,2022-06-22,2022-06-22T08:48:17Z
R_3FUVHKQi8KBv44YCf,4673259Cf,new_entry,,,"","Classes in all levels in Metro Manila will be suspended from Tuesday, March 10, to Saturday, March 14, President Rodrigo Duterte announced Monday night, March 9.",2020-03-09,2020-03-10,2020-03-14,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Philippines,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3Obkyg0AKDiM1g2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2urIlKFk5kFnwDo,https://www.rappler.com/nation/253912-walang-pasok-duterte-declares-class-suspensions-metro-manila-coronavirus-threat-march-10-14-2020,CoronaNet (original),,2022-06-22,2022-06-22T08:48:17Z
R_3gNSojc1ofbBNxYEq,7956164Eq,new_entry,,,"",Duterte suspends classes in Metro Manila until April 12. (announced on Mar. 12 and effective on Mar. 15),2020-03-12,2020-03-15,2020-04-12,The policy has a clear end date,Philippines,PHL,PH,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Philippines,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_vxkU7sRAqR8CRCV,https://www.rappler.com/nation/254278-duterte-suspends-classes-government-offices-metro-manila-until-april-12-2020-coronavirus-threat,CoronaNet (original),,2020-04-04,2020-04-04T05:54:31Z
