record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_1LUMHChPSjPtwZ5Be,141874,new_entry,,,"","On April 7, New Zealand government announced the country will enter into transit arrangements with a range of countries to make it easier for each other’s citizens to get home.",2020-04-07,2020-04-07,,The policy’s end date is unknown or unreported,"Argentina,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,China,Croatia,Czechia,Denmark,Ecuador,Finland,France,Germany,Italy,Japan,Malaysia,Mexico,Netherlands,North Macedonia,Norway,Philippines,Poland,Qatar,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,United Kingdom,United States,Uruguay","One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1K88XO2d5rw6LMP,https://www.immigration.govt.nz/about-us/covid-19/coronavirus-update-inz-response,CoronaNet (original),,2022-07-11,2022-07-11T23:59:59Z
R_1JOCn4rPFrahUoUEr,2310976Er,update,End of Policy,,"","On March 31, The Ministry of Education and Higher Education (MOEHE) of Qatar issued a distance learning plan for academic subjects for the 2019-2020 academic year for grades 1 to 12.

The Education Affairs Sector of MOEHE prepared a distance learning plan according to the study time schedule, which includes seven weeks for each semester, with the name of the field and the unit specified. Each chapter has a detailed explanation of the unit of study and the materials that fall under it, as well as the number of classes for each lesson, with the specified page numbers determined, in order to facilitate the educational process for all students.

Students can also follow their educational lessons remotely on Qatar TV via Badr 4, Frequency: 12169, Polarisation: Vertical, Error Correction: 3/4; Symbol Rate: 22000.

The ministry explained that through the distance learning plan, the weekly evaluation will be after the end of the last session of a subject according to the weekly schedule, while giving the student a week to answer. UPDATE: The MOEHE announced this policy would end on May 7.",2020-03-31,2020-03-31,2020-05-07,The policy has a clear end date,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3aqFJGaEQoyULBQ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2rAYDzOyUlTz6QG,NA ; https://portal.www.gov.qa/wps/portal/media-center/news/news-details/moeheannouncestheendofdistancelearningonsevenmay,CoronaNet (original),,2020-08-02,2020-08-02T08:30:08Z
R_1JOCn4rPFrahUoUGc,2310976Gc,update,End of Policy,,"","On March 31, The Ministry of Education and Higher Education (MOEHE) of Qatar issued a distance learning plan for academic subjects for the 2019-2020 academic year for grades 1 to 12.

The Education Affairs Sector of MOEHE prepared a distance learning plan according to the study time schedule, which includes seven weeks for each semester, with the name of the field and the unit specified. Each chapter has a detailed explanation of the unit of study and the materials that fall under it, as well as the number of classes for each lesson, with the specified page numbers determined, in order to facilitate the educational process for all students.

Students can also follow their educational lessons remotely on Qatar TV via Badr 4, Frequency: 12169, Polarisation: Vertical, Error Correction: 3/4; Symbol Rate: 22000.

The ministry explained that through the distance learning plan, the weekly evaluation will be after the end of the last session of a subject according to the weekly schedule, while giving the student a week to answer. UPDATE: The MOEHE announced this policy would end on May 7.",2020-03-31,2020-03-31,2020-05-07,The policy has a clear end date,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3aqFJGaEQoyULBQ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2rAYDzOyUlTz6QG,NA ; https://portal.www.gov.qa/wps/portal/media-center/news/news-details/moeheannouncestheendofdistancelearningonsevenmay,CoronaNet (original),,2020-08-02,2020-08-02T08:30:08Z
R_5mxiiSoQERYQi2JEr,2279293Er,new_entry,,,"","Qatar will apply a blended learning plan for its return to in-person education during the first semester of the 2020-2021 academic year. Beginning 1 September 2020, students will attend school premises at a maximum of 30% of school capacity per day and in classrooms of more than 15. Distance learning will take place on other days. Exams will be administered in-person. Phase 2 will increase attendance to 50% and Phase 3 to 100% from 20 September 2020.",2020-08-04,2020-09-01,2020-09-20,The policy has a clear end date,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Partial remote/distance learning  (e.g. Teachers with certain health conditions can tele-teach)",Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qWAvLwtqRoKxHn,https://thepeninsulaqatar.com/article/04/08/2020/Schools-urged-to-get-ready-for-back-to-school-plan,CoronaNet (original),,2021-12-31,2021-12-31T05:11:51Z
R_5mxiiSoQERYQi2JGc,2279293Gc,new_entry,,,"","Qatar will apply a blended learning plan for its return to in-person education during the first semester of the 2020-2021 academic year. Beginning 1 September 2020, students will attend school premises at a maximum of 30% of school capacity per day and in classrooms of more than 15. Distance learning will take place on other days. Exams will be administered in-person. Phase 2 will increase attendance to 50% and Phase 3 to 100% from 20 September 2020.",2020-08-04,2020-09-01,2020-09-20,The policy has a clear end date,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Partial remote/distance learning  (e.g. Teachers with certain health conditions can tele-teach)",Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qWAvLwtqRoKxHn,https://thepeninsulaqatar.com/article/04/08/2020/Schools-urged-to-get-ready-for-back-to-school-plan,CoronaNet (original),,2021-12-31,2021-12-31T05:11:51Z
R_5mxiiSoQERYQi2JCf,2279293Cf,new_entry,,,"","Qatar will apply a blended learning plan for its return to in-person education during the first semester of the 2020-2021 academic year. Beginning 1 September 2020, students will attend school premises at a maximum of 30% of school capacity per day and in classrooms of more than 15. Distance learning will take place on other days. Exams will be administered in-person. Phase 2 will increase attendance to 50% and Phase 3 to 100% from 20 September 2020.",2020-08-04,2020-09-01,2020-09-20,The policy has a clear end date,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Partial remote/distance learning  (e.g. Teachers with certain health conditions can tele-teach)",Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1qWAvLwtqRoKxHn,https://thepeninsulaqatar.com/article/04/08/2020/Schools-urged-to-get-ready-for-back-to-school-plan,CoronaNet (original),,2021-12-31,2021-12-31T05:11:51Z
R_31zIQ0J6esgk5nJEr,4267459Er,new_entry,,,"","During the second semester of the 2020-2021 school year in Qatar, beginning 3 January, students will be divided into two groups for alternating attendance. 50% of a given school will attend class for one week and have distance learning the next week. Students must observe 1.5 metre social distance and wear a face mask as well.",2021-01-03,2021-01-03,,The policy’s end date is unknown or unreported,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Physical classroom hours or meeting times reduced (e.g. classes only meet in the morning; classes meet every other day)",Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_YYszv3P05nHzZPH,https://gulfnews.com/world/gulf/qatar/covid-19-students-partially-return-to-schools-in-qatar-1.76245331,CDC_ITF,CDC_ITF_631375_1,2022-01-21,2022-01-21T18:24:02Z
R_31zIQ0J6esgk5nJGc,4267459Gc,new_entry,,,"","During the second semester of the 2020-2021 school year in Qatar, beginning 3 January, students will be divided into two groups for alternating attendance. 50% of a given school will attend class for one week and have distance learning the next week. Students must observe 1.5 metre social distance and wear a face mask as well.",2021-01-03,2021-01-03,,The policy’s end date is unknown or unreported,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_YYszv3P05nHzZPH,https://gulfnews.com/world/gulf/qatar/covid-19-students-partially-return-to-schools-in-qatar-1.76245331,CDC_ITF,CDC_ITF_631375_1,2022-01-21,2022-01-21T18:24:02Z
R_31zIQ0J6esgk5nJCf,4267459Cf,new_entry,,,"","During the second semester of the 2020-2021 school year in Qatar, beginning 3 January, students will be divided into two groups for alternating attendance. 50% of a given school will attend class for one week and have distance learning the next week. Students must observe 1.5 metre social distance and wear a face mask as well.",2021-01-03,2021-01-03,,The policy’s end date is unknown or unreported,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"Students,Teachers",,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_YYszv3P05nHzZPH,https://gulfnews.com/world/gulf/qatar/covid-19-students-partially-return-to-schools-in-qatar-1.76245331,CDC_ITF,CDC_ITF_631375_1,2022-01-21,2022-01-21T18:24:02Z
R_2bHnno9oZ63SHgYEq,9894679Eq,new_entry,,,"","As part of the ""Controlled Re-escalation of COVID-19 Restrictions in Qatar"" amidst a rise in cases all nurseries and childcare centers will be limited to thirty percent capacity starting 4 February 2021.",2021-02-04,2021-02-04,,The policy’s end date is unknown or unreported,Qatar,QAT,QA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Yes,Qatar,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Education",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_a98ZQISzG34UUil,https://qa.usembassy.gov/mascot-message-controlled-re-escalation-of-covid-19-restrictions-in-qatar/,CoronaNet (original),,2021-12-31,2021-12-31T23:34:04Z
