record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3jViRRqz4K3yCxZEl,9653278El,new_entry,,,"",Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,The policy has a clear end date,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Saint Lucia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aDflcExAtFwSEC,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z
R_3jViRRqz4K3yCxZEm,9653278Em,new_entry,,,"",Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,The policy has a clear end date,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Saint Lucia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aDflcExAtFwSEC,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z
R_3jViRRqz4K3yCxZFw,9653278Fw,new_entry,,,"",Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,The policy has a clear end date,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Saint Lucia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aDflcExAtFwSEC,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z
R_3jViRRqz4K3yCxZCe,9653278Ce,new_entry,,,"",Coronavirus pandemic forces closure of schools in St Lucia from March 16 to April 13.,2020-03-14,2020-03-16,2020-04-13,The policy has a clear end date,Saint Lucia,LCA,LC,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Saint Lucia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory (Unspecified/Implied),Voluntary/Recommended but No Penalties",National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aDflcExAtFwSEC,http://www.loopslu.com/content/all-saint-lucian-schools-closed-monday-march-16,2020-04-11,2020-04-11T10:31:02Z
R_3jfcQrgwRoRWPidNA,2916901,new_entry,,,"",St. Lucia introduces nation-wide curfew.,2020-03-23,2020-03-23,2020-04-05,The policy has a clear end date,Saint Lucia,LCA,LC,National,1,,,,Curfew,,,"",,,,,,"","","","","","","","","","","",,,,"",,Saint Lucia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CfQSqJhPwD0tvl,https://www.loopnewsbarbados.com/content/two-men-arrested-gros-islet-breaching-curfew-order-0,2020-04-11,2020-04-11T11:47:49Z
R_BLiMQu3KGJnmLNTNA,2150351,new_entry,,,"","The Prime Minister of Saint Lucia declared state of emergency on March 23, which would last till April 5.",2020-03-23,2020-03-23,2020-04-05,The policy has a clear end date,Saint Lucia,LCA,LC,National,1,,,,Declaration of Emergency,,,"",,,,,,"","","","","","","","","","","",,,,"",,Saint Lucia,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Police",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3irQt0DEKXz2qUE,http://www.loopnewsbarbados.com/content/state-emergency-declared-saint-lucia-2 ; https://menafn.com/1099901394/St-Lucia-parliament-to-approve-COVID-19-emergency-powers,2020-04-11,2020-04-11T11:55:33Z
R_xchw8J5wlvKf5UlGl,1762242,new_entry,,,"","The government of Saint Lucia will not allow any non-national with a travel history within the last 14 days from Mainland China, (whether in- transit or originating), to enter any local port as of 12 a.m. on Feb. 4, 2020.",2020-02-04,2020-02-04,,The policy’s end date is unknown or unreported,Saint Lucia,LCA,LC,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,"One or more countries, but not all countries",,,,,,Foreign Residents (Foreign Nationals Residing in the Country),,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33jS1ARntGhGzmE,http://www.govt.lc/news/saint-lucia-imposes-travel-restrictions-on-travellers-from-china,2022-05-16,2022-05-16T16:00:05Z
R_1FsUL35rgtqpihONA,7712421,new_entry,,,"",Saint Lucia imposes travel restrictions on travellers from China.,2020-02-04,2020-02-04,,The policy’s end date is unknown or unreported,Saint Lucia,LCA,LC,National,0,,,,External Border Restrictions,,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,"One or more countries, but not all countries",,,,,,Foreign Travelers,,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_cGtJS2XNbDW4514,http://www.govt.lc/news/saint-lucia-imposes-travel-restrictions-on-travellers-from-china,2022-09-26,2022-09-26T15:39:26Z
R_2ZUoE4jGhPL9eZNGl,460209,new_entry,,,"","The government of Saint Lucia will not allow any non-national with a travel history within the last 14 days from Hong Kong, Italy, Japan, Singapore, Republic of Korea, (whether in- transit or originating), to enter any local port as of 12 a.m. on Feb. 26, 2020.",2020-02-25,2020-02-26,,,Saint Lucia,LCA,LC,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Hong Kong,Italy,Japan,Singapore,South Korea","One or more countries, but not all countries",,,,,,Foreign Travelers,No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2DOEuYGekaOwIjK,http://www.govt.lc/news/saint-lucia-extends-travel-restrictions,2022-05-09,2022-05-09T14:49:22Z
R_3JfVElz1U1PP6HwGl,5524291,new_entry,,,"","The government of Saint Lucia will not allow any non-national with a travel history within the last 14 days from Hong Kong, Republic of Korea, Japan, Italy, and Singapore, (whether in- transit or originating), to enter any local port as of 12 a.m. on Feb. 26, 2020.",2020-02-25,2020-02-26,,The policy’s end date is unknown or unreported,Saint Lucia,LCA,LC,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Hong Kong,Italy,Japan,Singapore,South Korea","One or more countries, but not all countries",,,,,,Foreign Residents (Foreign Nationals Residing in the Country),,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_8JjKVvAL4l5kxJY,http://www.govt.lc/news/saint-lucia-extends-travel-restrictions,2022-09-26,2022-09-26T15:41:05Z
