record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_Ce3sNIqyBHguVnbEs,1603220Es,new_entry,,,"","On March 20 2020, Samoa closes all schools until further notice.",2020-03-20,2020-03-21,,The policy’s end date is unknown or unreported,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,CoronaNet (original),,2021-10-27,2021-10-27T15:49:01Z
R_Ce3sNIqyBHguVnbEt,1603220Et,new_entry,,,"","On March 20 2020, Samoa closes all schools until further notice.",2020-03-20,2020-03-21,,The policy’s end date is unknown or unreported,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,CoronaNet (original),,2021-10-27,2021-10-27T15:49:01Z
R_Ce3sNIqyBHguVnbGe,1603220Ge,new_entry,,,"","On March 20 2020, Samoa closes all schools until further notice.",2020-03-20,2020-03-21,,The policy’s end date is unknown or unreported,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,CoronaNet (original),,2021-10-27,2021-10-27T15:49:01Z
R_Ce3sNIqyBHguVnbCf,1603220Cf,new_entry,,,"","On March 20 2020, Samoa closes all schools until further notice.",2020-03-20,2020-03-21,,The policy’s end date is unknown or unreported,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z,http://www.samoagovt.ws/2020/03/state-of-emergency-declared/,CoronaNet (original),,2021-10-27,2021-10-27T15:49:01Z
R_3kCeE3r035Vxjj8Es,1603220Es,update,End of Policy,,"",Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,The policy has a clear end date,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oE3vX7ZhJq61A,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,CoronaNet (original),,2020-09-10,2020-09-10T12:05:04Z
R_3kCeE3r035Vxjj8Et,1603220Et,update,End of Policy,,"",Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,The policy has a clear end date,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oE3vX7ZhJq61A,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,CoronaNet (original),,2020-09-10,2020-09-10T12:05:04Z
R_3kCeE3r035Vxjj8Ge,1603220Ge,update,End of Policy,,"",Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,The policy has a clear end date,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oE3vX7ZhJq61A,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,CoronaNet (original),,2020-09-10,2020-09-10T12:05:04Z
R_3kCeE3r035Vxjj8Cf,1603220Cf,update,End of Policy,,"",Samoa closes all schools until further notice after March 20. UPDATE: Schools will reopen on May 4,2020-03-20,2020-03-21,2020-05-04,The policy has a clear end date,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Samoa,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1251x5TpFXzUT7z ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29oE3vX7ZhJq61A,NA ; https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,CoronaNet (original),,2020-09-10,2020-09-10T12:05:04Z
R_8H4O6BMq1mkfG6dEs,6575171Es,new_entry,,,"","On May 4 2020, Samoa will reopen schools that have been closed since March 20.",2020-05-01,2020-05-04,,The policy’s end date is unknown or unreported,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with no conditions,"",Yes,Samoa,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0cF83cVj2h7WBP3,https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,CoronaNet (original),,2021-10-27,2021-10-27T16:09:39Z
R_8H4O6BMq1mkfG6dEt,6575171Et,new_entry,,,"","On May 4 2020, Samoa will reopen schools that have been closed since March 20.",2020-05-01,2020-05-04,,The policy’s end date is unknown or unreported,Samoa,WSM,WS,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with no conditions,"",Yes,Samoa,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_0cF83cVj2h7WBP3,https://www.samoagovt.ws/2020/05/amended-state-of-emergency-orders-for-coronavirus-covid-19-1-may-2020/,CoronaNet (original),,2021-10-27,2021-10-27T16:09:39Z
