record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_emly1qD5TGguRDrEl,9346157El,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",33.8181622508051,28.9911963333937,24.7229567875173,126,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,2020-09-08,2020-09-08T13:10:27Z
R_emly1qD5TGguRDrEm,9346157Em,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",33.8181622508051,28.9911963333937,24.7229567875173,126,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,2020-09-08,2020-09-08T13:10:27Z
R_emly1qD5TGguRDrFw,9346157Fw,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",33.8181622508051,28.9911963333937,24.7229567875173,126,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,2020-09-08,2020-09-08T13:10:27Z
R_emly1qD5TGguRDrCe,9346157Ce,new_entry,,,"",San Marino closes all schools of every kind and grade from February 23rd until March 1.,2020-02-23,2020-02-23,2020-03-01,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health,Police",33.8181622508051,28.9911963333937,24.7229567875173,126,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33lN32K5IXzYtfR,https://www.gov.sm/dam/jcr:554bf8af-5dc8-4dd1-b3fc-59b45a90a08f/Ordinanza%20Sanita%20n.2-2020-fto.pdf,2020-09-08,2020-09-08T13:10:27Z
R_1q278GVaziM3oYcEl,9346157El,update,,,"",San Marino extends closure of schools to March 8th.,2020-03-05,2020-03-05,,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Municipal Government,Police",43.6270990366096,39.812217769182,36.0646344146618,116,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,https://www.gov.sm/dam/jcr:a16b04d3-e00a-40f0-9f73-5729d4f835c9/Ordinanza%20Sanita%20n.3-2020%20fto.pdf,2020-08-31,2020-08-31T00:25:55Z
R_1q278GVaziM3oYcEm,9346157Em,update,,,"",San Marino extends closure of schools to March 8th.,2020-03-05,2020-03-05,,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Municipal Government,Police",43.6270990366096,39.812217769182,36.0646344146618,116,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,https://www.gov.sm/dam/jcr:a16b04d3-e00a-40f0-9f73-5729d4f835c9/Ordinanza%20Sanita%20n.3-2020%20fto.pdf,2020-08-31,2020-08-31T00:25:55Z
R_1q278GVaziM3oYcFw,9346157Fw,update,,,"",San Marino extends closure of schools to March 8th.,2020-03-05,2020-03-05,,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Municipal Government,Police",43.6270990366096,39.812217769182,36.0646344146618,116,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,https://www.gov.sm/dam/jcr:a16b04d3-e00a-40f0-9f73-5729d4f835c9/Ordinanza%20Sanita%20n.3-2020%20fto.pdf,2020-08-31,2020-08-31T00:25:55Z
R_1q278GVaziM3oYcCe,9346157Ce,update,,,"",San Marino extends closure of schools to March 8th.,2020-03-05,2020-03-05,,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Municipal Government,Police",43.6270990366096,39.812217769182,36.0646344146618,116,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr,https://www.gov.sm/dam/jcr:a16b04d3-e00a-40f0-9f73-5729d4f835c9/Ordinanza%20Sanita%20n.3-2020%20fto.pdf,2020-08-31,2020-08-31T00:25:55Z
R_1dyTsTpNOxYFwSSEl,9346157El,update,,,"",The original policy for schools closing in San Marino started February 23 and was set to last indefinitely. Schools will begin to reopen starting June 8 with varying levels of openness depending on the school level.,2020-03-05,2020-03-05,,The policy has a clear end date,San Marino,SMR,SM,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,San Marino,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Municipal Government,Police",43.6270990366096,39.812217769182,36.0646344146618,116,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9Np71WlaKusspTr ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IQ8LEdjaU3PMpQ,NA ; https://www.gov.sm/articoli/Decreto-Legge-96-del-31-maggio-2020--ULTERIORI-DISPOSIZIONI-PER-UN-GRADUALE-ALLENTAMENTO-DELLE-MISURE-RESTRITTIVE-CONSEGUENTI-ALL%E2%80%99EMERGENZA-SANITARIA-DA-COVID-19-.html,2020-08-31,2020-08-31T00:33:08Z
