record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_26i5vsPrDs1HNU8El,8282627El,new_entry,,,"",Sierra Leone is indefinitely closing schools and all other learning institutions as of 31st March after the recording of the country's first case of the Coronavirus. UPDATE: Sierra Leone has decided to reopen schools as follows: Pre-primary schools will reopen on 15 September 2020 and Primary and Secondary schools will reopen on 5 October 2020.,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/,2021-09-18,2021-09-18T07:49:44Z
R_26i5vsPrDs1HNU8Em,8282627Em,new_entry,,,"",Sierra Leone is indefinitely closing schools and all other learning institutions as of 31st March after the recording of the country's first case of the Coronavirus. UPDATE: Sierra Leone has decided to reopen schools as follows: Pre-primary schools will reopen on 15 September 2020 and Primary and Secondary schools will reopen on 5 October 2020.,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/,2021-09-18,2021-09-18T07:49:44Z
R_26i5vsPrDs1HNU8Fw,8282627Fw,new_entry,,,"",Sierra Leone is indefinitely closing schools and all other learning institutions as of 31st March after the recording of the country's first case of the Coronavirus. UPDATE: Sierra Leone has decided to reopen schools as follows: Pre-primary schools will reopen on 15 September 2020 and Primary and Secondary schools will reopen on 5 October 2020.,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/,2021-09-18,2021-09-18T07:49:44Z
R_26i5vsPrDs1HNU8Ce,8282627Ce,new_entry,,,"",Sierra Leone is indefinitely closing schools and all other learning institutions as of 31st March after the recording of the country's first case of the Coronavirus. UPDATE: Sierra Leone has decided to reopen schools as follows: Pre-primary schools will reopen on 15 September 2020 and Primary and Secondary schools will reopen on 5 October 2020.,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,https://www.africanews.com/2020/03/31/virus-free-sierra-leone-records-covid-19-scuffles-over-quarantine-at-airport/,2021-09-18,2021-09-18T07:49:44Z
R_128Zfj9XaUmpVXmEl,8282627El,update,End of Policy,,"",Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus. UPDATE: pre primary reopen 15th september UPDATE: the pre school reopen 15th sptember,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,NA ; https://theorganiser.net/sierra-leone/1753-schools-are-scheduled-to-re-open-on-sept-15-and-oct-5-2020-in-sierra-leone-post-covid-19 ; https://africa.cgtn.com/2020/10/05/sierra-leone-schools-reopen-six-months-after-virus-shutdown/,2021-04-30,2021-04-30T17:58:18Z
R_128Zfj9XaUmpVXmEm,8282627Em,update,End of Policy,,"",Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus. UPDATE: pre primary reopen 15th september UPDATE: the pre school reopen 15th sptember,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,NA ; https://theorganiser.net/sierra-leone/1753-schools-are-scheduled-to-re-open-on-sept-15-and-oct-5-2020-in-sierra-leone-post-covid-19 ; https://africa.cgtn.com/2020/10/05/sierra-leone-schools-reopen-six-months-after-virus-shutdown/,2021-04-30,2021-04-30T17:58:18Z
R_128Zfj9XaUmpVXmFw,8282627Fw,update,End of Policy,,"",Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus. UPDATE: pre primary reopen 15th september UPDATE: the pre school reopen 15th sptember,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,NA ; https://theorganiser.net/sierra-leone/1753-schools-are-scheduled-to-re-open-on-sept-15-and-oct-5-2020-in-sierra-leone-post-covid-19 ; https://africa.cgtn.com/2020/10/05/sierra-leone-schools-reopen-six-months-after-virus-shutdown/,2021-04-30,2021-04-30T17:58:18Z
R_128Zfj9XaUmpVXmCe,8282627Ce,update,End of Policy,,"",Sierre Leone is indefinitely closing schools and all other learning institutions as of 31st March after recording of the country's first case of the Coronavirus. UPDATE: pre primary reopen 15th september UPDATE: the pre school reopen 15th sptember,2020-03-31,2020-03-31,2020-09-15,The policy has a clear end date,Sierra Leone,SLE,SL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Sierra Leone,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_pQMKnBIQd1c3mOR ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QLRAXQf1mp4RNd,NA ; https://theorganiser.net/sierra-leone/1753-schools-are-scheduled-to-re-open-on-sept-15-and-oct-5-2020-in-sierra-leone-post-covid-19 ; https://africa.cgtn.com/2020/10/05/sierra-leone-schools-reopen-six-months-after-virus-shutdown/,2021-04-30,2021-04-30T17:58:18Z
R_AyBt11jnHFxeJRDAh,101255,new_entry,,,"","On March 12, 2021, the president of Sierra Leone announced that through a ceremony with health workers and politicians, the vaccination process will begin on March 15, 2021, with a prioritization of citizens 60 or older.",2021-03-12,2021-03-15,,The policy’s end date is unknown or unreported,Sierra Leone,SLE,SL,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,Unspecified Vaccines,This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,1,Vaccine is free for the individual,National government entity,All medical institutions allowed to administer vaccines,"","","","",296,thousands,doses,0,,,,"",Yes,Sierra Leone,"One or more countries, but not all countries",,,,,,,Priority Group 1: People of a certain age,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nTKpPOtTC4xFGH,https://web.archive.org/web/20210322170743/https://statehouse.gov.sl/sierra-leones-president-julius-maada-bio-engages-development-partners-diplomatic-community-on-covid-19-vaccination-rollout-strategies/,2022-03-24,2022-03-24T15:43:46Z
R_qK3msPcfSmX5IZPAh,7463885,new_entry,,,"","On August 23, 2021, in Sierra Leone, the Ministry of Health and Sanitation announced that any citizen over 30 years old could get a vaccine.",2021-08-23,2021-08-23,,The policy’s end date is unknown or unreported,Sierra Leone,SLE,SL,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,Unspecified Vaccines,This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,1,Vaccine is free for the individual,National government entity,All medical institutions allowed to administer vaccines,"","","","","","","","",,,,"",Yes,Sierra Leone,"One or more countries, but not all countries",,,,,,,Priority Group 1: People of a certain age,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1IF19co0nBDF7d0,https://web.archive.org/web/20210823234247/https://dhse.gov.sl/anyone-over-the-age-of-30-is-now-eligible-to-receive-the-covid-19-vaccine-and-additional-vaccination/,2022-03-24,2022-03-24T16:04:07Z
