record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_ah3SEFyJJk2p3UZNA,1081483,new_entry,correction,,,"The Republic of South Africa enforces anti-disinformation measures relating to the COVID-19 Pandemic in the Government Gazette on March 18, 2020. Any persons who publishes ""any statement through any medium, including social media with intention to deceive any other person about COVID-19; the infection status of any person; any measure taken by the Government to address COVID019"" is committing an offence.",2020-03-18,2020-03-18,2020-03-19,South Africa,ZAF,ZA,National,1,,,,Anti-Disinformation Measures,,,,South Africa,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,54.6028355480433,51.2029155743217,48.0185283176512,74,https://www.gov.za/sites/default/files/gcis_document/202003/regulations.pdf,2021-02-03,2021-02-03T12:28:25Z
R_2cjycDIe9ES3iozNA,3710342,new_entry,correction,,,"The Republic of South Africa enforces measures against any ""person who publishes any statement, through any medium, including social media, with the intention to deceive"" surrounding COVID-19, one's infection status and the government measures against COVID-19 on March 18 2020.",2020-03-18,2020-03-18,,South Africa,ZAF,ZA,National,1,,,,Anti-Disinformation Measures,,"measures against ""publishing with the intention to deceive""",,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Police,54.6028355480433,51.2029155743217,48.0185283176512,74,https://www.satsa.com/wp-content/uploads/43107_18-3_COGTA.pdf,2021-02-16,2021-02-16T15:26:04Z
R_3fZrGfPf9HtxbOODy,938528Dy,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-15,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.6028355480433,51.2029155743217,48.0185283176512,74,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_3fZrGfPf9HtxbOOEa,938528Ea,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-15,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.6028355480433,51.2029155743217,48.0185283176512,74,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_3fZrGfPf9HtxbOOFj,938528Fj,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-15,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.6028355480433,51.2029155743217,48.0185283176512,74,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_3fZrGfPf9HtxbOOCe,938528Ce,new_entry,original,,,"The Republic of South Africa is enforcing a four-week closure of ""Schools and partial care facilities""  from March 18 2020 until April 15 2020",2020-03-18,2020-03-18,2020-04-15,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,54.6028355480433,51.2029155743217,48.0185283176512,74,http://www.gpwonline.co.za/Gazettes/Gazettes/43107_18-3_COGTA.pdf,2020-04-03,2020-04-03T18:28:36Z
R_2CfUgfQH3SxWXUJDy,938528Dy,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020. UPDATE: The original closure of schools was set to last until April 15, it has been extended to April 30 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,69.2511215485453,66.6186006314285,63.7108472515096,51,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_2CfUgfQH3SxWXUJEa,938528Ea,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020. UPDATE: The original closure of schools was set to last until April 15, it has been extended to April 30 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,69.2511215485453,66.6186006314285,63.7108472515096,51,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_2CfUgfQH3SxWXUJFj,938528Fj,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020. UPDATE: The original closure of schools was set to last until April 15, it has been extended to April 30 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,69.2511215485453,66.6186006314285,63.7108472515096,51,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_2CfUgfQH3SxWXUJCe,938528Ce,update,original,,Strengthening,"The Republic of South Africa has announced that ""Schools and partial care facilities must be closed by 18 March 2020 until 30 April 2020, which period may be extended by way of directions by the Cabinet member responsible"" on April 16 2020. UPDATE: The original closure of schools was set to last until April 15, it has been extended to April 30 2020.",2020-04-16,2020-04-16,2020-04-30,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,South Africa,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,69.2511215485453,66.6186006314285,63.7108472515096,51,http://www.cogta.gov.za/cgta_2016/wp-content/uploads/2020/04/43232_16-04_Cogta_Regulations_compressed-1.pdf,2020-04-16,2020-04-16T17:49:20Z
R_11clyijjuIDAKc1Dy,5453491Dy,new_entry,original,,,"On the18 April 2020, the Department of Basic Education in South Africa announces postponement of the May/June Amended Senior Certificate (old matric) and National Senior Certificate Examination which were scheduled to start from 04 May 2020 to 26 June 2020. The exams will be  merged with the November 2020 examination.",2020-04-18,2020-04-18,2020-04-19,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,South Africa,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,69.7057317367096,66.8654960475776,63.9800502485339,52,https://kfmulaudzi.files.wordpress.com/2020/04/basic-education-department-postpones-may-june-rewrite-matric-examinations.pdf,2021-01-24,2021-01-24T14:16:39Z
R_11clyijjuIDAKc1Ea,5453491Ea,new_entry,original,,,"On the18 April 2020, the Department of Basic Education in South Africa announces postponement of the May/June Amended Senior Certificate (old matric) and National Senior Certificate Examination which were scheduled to start from 04 May 2020 to 26 June 2020. The exams will be  merged with the November 2020 examination.",2020-04-18,2020-04-18,2020-04-19,South Africa,ZAF,ZA,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,South Africa,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Education,69.7057317367096,66.8654960475776,63.9800502485339,52,https://kfmulaudzi.files.wordpress.com/2020/04/basic-education-department-postpones-may-june-rewrite-matric-examinations.pdf,2021-01-24,2021-01-24T14:16:39Z
