record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_10H66Ms0caP5jwJNA,3291678,new_entry,,,"","""Since the beginning of the [Covid-19] crisis, a communication team from the Ministry of Health has carried out an intense effort to disseminate informative content based on videos and infographics of public service and professional nature.""",2019-12-31,2019-12-31,,,Spain,ESP,ES,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Spain,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3O7bRc3uJ3lsPzg,https://www.mscbs.gob.es/gabinete/notasPrensa.do?metodo=detalle&id=4869 ; https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/situacionActual.htm,2020-12-22,2020-12-22T20:31:23Z
R_1k0K6Ndjnr0VUSmNA,5567339,new_entry,,,"","On March, 20, 2020, the government of Ceuta makes available to citizens a telephone line to have information about covid 19",2020-03-20,2020-03-20,2020-03-21,The policy is a one-time measure (e.g. publication of guidelines),Spain,ESP,ES,Provincial,1,Ceuta,ES-CE,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Spain,One or more provinces within one or more countries,,Ceuta,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Provincial/State Government,65.7804418861448,62.6103523556024,59.3965359509105,110,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3RmTYKjbjOaD5Zq,https://www.ceuta.es/gobiernodeceuta/index.php/noticia/11-asuntos-sociales/11099-el-centro-del-mayor-pone-en-marcha-medidas-especiales-ante-la-situacion-generada-por-el-covid-19,2021-07-24,2021-07-24T15:50:14Z
R_1dGPFWda1vrK6UNEl,3832197El,new_entry,,,"","In Spain, La Rioja's health ministry made the decision on March 3, 2020 to shut down all schools and universities for 15 days.",2020-03-03,2020-03-03,2020-03-18,The policy has a clear end date,Spain,ESP,ES,Provincial,1,La Rioja,ES-RI,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",No,Spain,One or more cities within one or more countries,,La Rioja,Alfaro (La Rioja): Arnedo (La Rioja); Autol (La Rioja); Calahorra (La Rioja); Haro (La Rioja); Lardero (La Rioja); Logroño (La Rioja); Nájera (La Rioja); Santo Domingo de la Calzada (La Rioja); Villamediana de Iregua (La Rioja),,,All Residents (Citizen Residents +Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",33.2627908779464,28.0711844367487,23.1545865702856,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1cXQKawqVDGAUcM,https://www.latimes.com/world-nation/story/2020-03-12/spain-wire-rioja-coronavirus,2021-06-12,2021-06-12T21:54:18Z
R_1dGPFWda1vrK6UNEm,3832197Em,new_entry,,,"","In Spain, La Rioja's health ministry made the decision on March 3, 2020 to shut down all schools and universities for 15 days.",2020-03-03,2020-03-03,2020-03-18,The policy has a clear end date,Spain,ESP,ES,Provincial,1,La Rioja,ES-RI,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",No,Spain,One or more cities within one or more countries,,La Rioja,Alfaro (La Rioja): Arnedo (La Rioja); Autol (La Rioja); Calahorra (La Rioja); Haro (La Rioja); Lardero (La Rioja); Logroño (La Rioja); Nájera (La Rioja); Santo Domingo de la Calzada (La Rioja); Villamediana de Iregua (La Rioja),,,All Residents (Citizen Residents +Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",33.2627908779464,28.0711844367487,23.1545865702856,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1cXQKawqVDGAUcM,https://www.latimes.com/world-nation/story/2020-03-12/spain-wire-rioja-coronavirus,2021-06-12,2021-06-12T21:54:18Z
R_1dGPFWda1vrK6UNFw,3832197Fw,new_entry,,,"","In Spain, La Rioja's health ministry made the decision on March 3, 2020 to shut down all schools and universities for 15 days.",2020-03-03,2020-03-03,2020-03-18,The policy has a clear end date,Spain,ESP,ES,Provincial,1,La Rioja,ES-RI,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",No,Spain,One or more cities within one or more countries,,La Rioja,Alfaro (La Rioja): Arnedo (La Rioja); Autol (La Rioja); Calahorra (La Rioja); Haro (La Rioja); Lardero (La Rioja); Logroño (La Rioja); Nájera (La Rioja); Santo Domingo de la Calzada (La Rioja); Villamediana de Iregua (La Rioja),,,All Residents (Citizen Residents +Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",33.2627908779464,28.0711844367487,23.1545865702856,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1cXQKawqVDGAUcM,https://www.latimes.com/world-nation/story/2020-03-12/spain-wire-rioja-coronavirus,2021-06-12,2021-06-12T21:54:18Z
R_1dGPFWda1vrK6UNCe,3832197Ce,new_entry,,,"","In Spain, La Rioja's health ministry made the decision on March 3, 2020 to shut down all schools and universities for 15 days.",2020-03-03,2020-03-03,2020-03-18,The policy has a clear end date,Spain,ESP,ES,Provincial,1,La Rioja,ES-RI,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",No,Spain,One or more cities within one or more countries,,La Rioja,Alfaro (La Rioja): Arnedo (La Rioja); Autol (La Rioja); Calahorra (La Rioja); Haro (La Rioja); Lardero (La Rioja); Logroño (La Rioja); Nájera (La Rioja); Santo Domingo de la Calzada (La Rioja); Villamediana de Iregua (La Rioja),,,All Residents (Citizen Residents +Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Provincial/State Government",33.2627908779464,28.0711844367487,23.1545865702856,96,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1cXQKawqVDGAUcM,https://www.latimes.com/world-nation/story/2020-03-12/spain-wire-rioja-coronavirus,2021-06-12,2021-06-12T21:54:18Z
R_3IttxxoWLdMx0KREl,8075864El,new_entry,,,"","Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),46.9594714384454,43.091079984231,39.0740233786819,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zJ6c1qjWbdDkWD,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_3IttxxoWLdMx0KREm,8075864Em,new_entry,,,"","Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),46.9594714384454,43.091079984231,39.0740233786819,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zJ6c1qjWbdDkWD,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_3IttxxoWLdMx0KRFw,8075864Fw,new_entry,,,"","Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),46.9594714384454,43.091079984231,39.0740233786819,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zJ6c1qjWbdDkWD,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
R_3IttxxoWLdMx0KRCe,8075864Ce,new_entry,,,"","Spain (significant community transmission phase, in the moment Madrid, city of Vitoria and the town of Labastida) suspends teaching activities at all educational levels (Universities, High School, Secondary Education, Primary and Infant Education, Nursery Schools, Vocational Training and others) additionall Suspension of complementary educational activities on march 9",2020-03-09,2020-03-09,,,Spain,ESP,ES,Municipal,1,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Spain,,,,"Risk areas, on March 9th: Comunidad de Madrid, Vitoria, Labastida",,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),46.9594714384454,43.091079984231,39.0740233786819,112,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2zJ6c1qjWbdDkWD,https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=4806,2020-08-11,2020-08-11T09:44:25Z
