record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_xl3bYOQlEZS2PTzBe,7552320,new_entry,,,"","September 14, 2020: With Bulletin N. 262, the Italian Ministry of Health announced that the Italian Minister of Health, Roberto Speranza, has attended the 70th session of the WHO Regional Committee for Europe (RC70), organised by the WHO Regional Office for Europe, on September 14 and 15, 2020. Representatives of 53 countries in the WHO European Region have attended. Representatives of WHO partners such as United Nations agencies and other intergovernmental organisations and regional networks, were also present. Non-State actors (NSAs) in official relations with WHO and regional NSAs accredited by the Regional Committee, have followed the webstream and had the opportunity to submit video and written statements in advance. The key health issues and future plans have been discussed, particularly on themes regarding the response to the COVID-19 pandemic and lessons learned from the pandemic, both globally and regionally.",2020-09-14,2020-09-14,2020-09-15,The policy has a clear end date,"Albania,Andorra,Armenia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Tajikistan,Turkey,Turkmenistan,Ukraine,United Kingdom,Uzbekistan",,,National,1,,,,"New Task Force, Bureau or Administrative Configuration",Cooperation among different jurisdictional entities (e.g. treaties or agreements among countries or provinces),Sharing information,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Italy,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_SNuQoepgbNRNX0t,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioComunicatiNuovoCoronavirus.jsp?lingua=italiano&menu=salastampa&p=comunicatistampa&id=5646 ; https://www.euro.who.int/en/about-us/governance/regional-committee-for-europe/70th-session/on-the-agenda,2021-04-11,2021-04-11T10:32:02Z
R_1ezzN5JjbQZpZPxNA,4946857,new_entry,,,"","On March 7, 2020, ""the Interior Ministry of Tajikistan has promised to find and bring to account individuals involved in the circulation of rumours about the coronavirus.""",2020-03-07,2020-03-07,,The policy’s end date is unknown or unreported,Tajikistan,TJK,TJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",Punishment for spreading rumors about the coronavirus,,,"",No,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents +Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"Police,Other (Please specify in the text box)",19.1844891422236,15.1114928772333,11.4343899334625,4,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1hLJQ1q4RsUyWyJ,https://advance.lexis.com/api/permalink/0ece7d44-5077-49a9-8ae8-d915e524657c/?context=1516831,2021-12-14,2021-12-14T16:03:23Z
R_2pWym2oH4Fjgy9LNA,8859598,new_entry,,,"","Tajikistan's Ministry of Health calls on people not to believe rumors about coronavirus on April 6, 2020.",2020-04-06,2020-04-06,2022-11-17,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Tajikistan,TJK,TJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","","The Ministry of Health asks public to not spread and not to believe rumors and misinformation, commenting on trues cause of a quarantined man in Tajikistan",,,"",No,Tajikistan,"One or more countries, but not all countries",,,,,,All Citizens (Citizen Residents + Citizen Travelers),No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",29.3267346556033,24.4012050120933,19.449042364796,4,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2SDMvznZFsOTJ98,http://avesta.tj/2020/04/06/minzdrav-prizyvaet-naselenie-ne-verit-sluham-o-koronaviruse-i-zayavlyaet-covid-19-v-tadzhikistane-net/,2021-12-14,2021-12-14T17:27:11Z
R_1j7ztT7nSShk683NA,7619852,new_entry,,,"","On June 26, 2020, the upper house of the Tajikistan Parliament approved controversial changes to the Code of Administrative Offenses, which provide for a fine for knowingly false information about the coronavirus pandemic in the media and social networks.",2020-06-26,2020-06-26,2022-11-17,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Tajikistan,TJK,TJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,National Government,67.848469012022,65.1266443925401,62.1591083100011,87,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3spIk2IGkqPcIMh,https://rus.ozodi.org/a/30691969.html,2021-12-14,2021-12-14T16:38:04Z
R_3LcDyQGedT7XfqeEl,4857325El,new_entry,,,"","On March 5th, 2020: Mirhamuddin Kamolzoda, Deputy Minister of Health and Social Protection of the Republic of Tajikistan, informed that the Ministry of Health and Social Protection of the Republic of Tajikistan regularly conducts medical examinations of students and schoolchildren. If a person has a fever or complaint of an acute respiratory illness, he or she should not go to classes and consult with a local doctor. In all educational institutions, at different levels, there are anti-epidemic measures taking place. These activities were informed to be carried out in such a way that there is no need to close educational institutions.",2020-03-05,2020-03-05,,The policy’s end date is unknown or unreported,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Temperature Check",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Not specified,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",18.9829919915339,14.7567769967431,10.9073132332082,4,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Ftw5dgI0ALVwZA,http://avesta.tj/2020/03/05/minzdrav-v-tadzhikistane-na-5-marta-sluchaev-zarazheniya-koronavirsuom-ne-zaregistrirovano/,2022-02-07,2022-02-07T09:26:55Z
R_3LcDyQGedT7XfqeEm,4857325Em,new_entry,,,"","On March 5th, 2020: Mirhamuddin Kamolzoda, Deputy Minister of Health and Social Protection of the Republic of Tajikistan, informed that the Ministry of Health and Social Protection of the Republic of Tajikistan regularly conducts medical examinations of students and schoolchildren. If a person has a fever or complaint of an acute respiratory illness, he or she should not go to classes and consult with a local doctor. In all educational institutions, at different levels, there are anti-epidemic measures taking place. These activities were informed to be carried out in such a way that there is no need to close educational institutions.",2020-03-05,2020-03-05,,The policy’s end date is unknown or unreported,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,Temperature Check",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",18.9829919915339,14.7567769967431,10.9073132332082,4,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Ftw5dgI0ALVwZA,http://avesta.tj/2020/03/05/minzdrav-v-tadzhikistane-na-5-marta-sluchaev-zarazheniya-koronavirsuom-ne-zaregistrirovano/,2022-02-07,2022-02-07T09:26:55Z
R_3LcDyQGedT7XfqeFw,4857325Fw,new_entry,,,"","On March 5th, 2020: Mirhamuddin Kamolzoda, Deputy Minister of Health and Social Protection of the Republic of Tajikistan, informed that the Ministry of Health and Social Protection of the Republic of Tajikistan regularly conducts medical examinations of students and schoolchildren. If a person has a fever or complaint of an acute respiratory illness, he or she should not go to classes and consult with a local doctor. In all educational institutions, at different levels, there are anti-epidemic measures taking place. These activities were informed to be carried out in such a way that there is no need to close educational institutions.",2020-03-05,2020-03-05,,The policy’s end date is unknown or unreported,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,Temperature Check",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",18.9829919915339,14.7567769967431,10.9073132332082,4,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Ftw5dgI0ALVwZA,http://avesta.tj/2020/03/05/minzdrav-v-tadzhikistane-na-5-marta-sluchaev-zarazheniya-koronavirsuom-ne-zaregistrirovano/,2022-02-07,2022-02-07T09:26:55Z
R_3LcDyQGedT7XfqeCe,4857325Ce,new_entry,,,"","On March 5th, 2020: Mirhamuddin Kamolzoda, Deputy Minister of Health and Social Protection of the Republic of Tajikistan, informed that the Ministry of Health and Social Protection of the Republic of Tajikistan regularly conducts medical examinations of students and schoolchildren. If a person has a fever or complaint of an acute respiratory illness, he or she should not go to classes and consult with a local doctor. In all educational institutions, at different levels, there are anti-epidemic measures taking place. These activities were informed to be carried out in such a way that there is no need to close educational institutions.",2020-03-05,2020-03-05,,The policy’s end date is unknown or unreported,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,Temperature Check",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Students,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Ministry/Department of Education",18.9829919915339,14.7567769967431,10.9073132332082,4,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1Ftw5dgI0ALVwZA,http://avesta.tj/2020/03/05/minzdrav-v-tadzhikistane-na-5-marta-sluchaev-zarazheniya-koronavirsuom-ne-zaregistrirovano/,2022-02-07,2022-02-07T09:26:55Z
R_3MutoYkPcNA1rk0Em,8698590Em,new_entry,,,"","On 25th April, 2020, schools were closed by the government of Tajikistan for two weeks. The schools closed are primary and secondary.",2020-04-25,2020-04-25,2020-05-09,The policy has a clear end date,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,47.2440384830439,43.8266386044861,40.4452357945923,7,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_enUTqzFSwA4U3a9,https://www.rferl.org/a/russia-covid-19-coronavirus-yakushev/30588477.html,2022-06-21,2022-06-21T09:30:42Z
R_3MutoYkPcNA1rk0Fw,8698590Fw,new_entry,,,"","On 25th April, 2020, schools were closed by the government of Tajikistan for two weeks. The schools closed are primary and secondary.",2020-04-25,2020-04-25,2020-05-09,The policy has a clear end date,Tajikistan,TJK,TJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Tajikistan,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,47.2440384830439,43.8266386044861,40.4452357945923,7,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_enUTqzFSwA4U3a9,https://www.rferl.org/a/russia-covid-19-coronavirus-yakushev/30588477.html,2022-06-21,2022-06-21T09:30:42Z
