record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_3rGQkxPFvZCXVIENA,815450,new_entry,,,"",In Tanzania IMA World Health has been able to work quickly with Tanzania's Ministry of Health to set up a call center that will provide essential health information about COVID-19 as well as counter misinformation about the coronavirus on March 30.,2020-03-30,2020-03-30,2023-06-29,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Tanzania,TZA,TZ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3imX7OHMMWsngGk,https://reliefweb.int/report/united-republic-tanzania/ima-world-health-launches-coronavirus-health-information-initiative,CoronaNet (original),,2021-11-22,2021-11-22T14:42:30Z
R_1CIVY4SqMLDWgSHEs,3536772Es,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2020-04-02,2020-04-02T18:19:16Z
R_1CIVY4SqMLDWgSHEt,3536772Et,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2020-04-02,2020-04-02T18:19:16Z
R_1CIVY4SqMLDWgSHGe,3536772Ge,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2020-04-02,2020-04-02T18:19:16Z
R_1CIVY4SqMLDWgSHCf,3536772Cf,new_entry,,,"",Tanzanian Prime Minister Kassim Majaliwa announced the closure of all schools (extending this to universities the following day) on March 17.,2020-03-17,2020-03-17,,,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2qfSjYPbQAj4m2O,https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2020-04-02,2020-04-02T18:19:16Z
R_9GN3Ski9NuJZGF3Es,6605799Es,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools (extending this to universities the following day) from 17 March, 2020, for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9mC42uSsRfUpwj4,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2023-02-15,2023-02-15T02:12:24Z
R_9GN3Ski9NuJZGF3Et,6605799Et,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools (extending this to universities the following day) from 17 March, 2020, for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9mC42uSsRfUpwj4,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2023-02-15,2023-02-15T02:12:24Z
R_9GN3Ski9NuJZGF3Ge,6605799Ge,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools (extending this to universities the following day) from 17 March, 2020, for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9mC42uSsRfUpwj4,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2023-02-15,2023-02-15T02:12:24Z
R_9GN3Ski9NuJZGF3Cf,6605799Cf,new_entry,,,"","""On 16 March, 2020, Tanzanian Prime Minister Kassim Majaliwa announced the shutting down of all nursery, primary and secondary schools (extending this to universities the following day) from 17 March, 2020, for 30 days following an outbreak of COVID-19 in Tanzania.""",2020-03-16,2020-03-17,2020-04-15,The policy has a clear end date,Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Tanzania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9mC42uSsRfUpwj4,http://www.xinhuanet.com/english/2020-03/17/c_138888678.htm ; https://www.thenewhumanitarian.org/news/2020/03/24/coronavirus-tanzania-africa,CoronaNet (original),,2023-02-15,2023-02-15T02:12:24Z
R_28An6iDte7G2z73Es,9077371Es,new_entry,,,"","On 14th April, 2020, Tanzanian Prime Minister Kassim Majaliwa extended the closure of all nursery, primary, secondary schools and universities initially due to end on 15th April 2020, for an indefinite period.
",2020-04-14,2020-04-15,2023-06-29,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Tanzania,TZA,TZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Tanzania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3oNtTr6UOJGO4zk,http://web.archive.org/web/20200527121224/https://allafrica.com/stories/202004150730.html,OxCGRT,OXCGRT_Tanzania_20200414_school,2023-02-14,2023-02-14T05:07:47Z
