record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3pg3fz2DUvFkur4NA,3746259,new_entry,,,"","The Timor-Leste's Ministry of Health and the United Nations Children's Fund (UNICEF) launched on June 4 the country's first telephone line dedicated to mental health, as part of actions related to covid-19.",2020-06-04,2020-06-04,,,Timor Leste,TLS,TL,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),People with certain health conditions (please note which health conditions in the text entry),,,Voluntary/Recommended but No Penalties,"Ministry/Department of Health,Other (Please specify in the text box)",44.9534143743008,40.7208995688216,36.04024938679,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3nNTFQE4uVuowmx,https://www.lusa.pt/article/T6CmF_3tKmBAlY1bnJKksjMSZM5iuSI1,2020-06-05,2020-06-05T12:35:30Z
R_3R3DI60g1AGrUJHEl,2203320El,new_entry,,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",55.8074983520372,50.9110753401255,46.5194513841859,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_3R3DI60g1AGrUJHEm,2203320Em,new_entry,,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",55.8074983520372,50.9110753401255,46.5194513841859,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_3R3DI60g1AGrUJHFw,2203320Fw,new_entry,,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",55.8074983520372,50.9110753401255,46.5194513841859,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_3R3DI60g1AGrUJHCe,2203320Ce,new_entry,,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period",2020-03-28,2020-03-28,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",55.8074983520372,50.9110753401255,46.5194513841859,17,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ,http://timor-leste.gov.tl/?p=23931&lang=en,2020-04-20,2020-04-20T23:30:18Z
R_2aWQ4ruG3w8sZ40El,2203320El,update,End of Policy,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",47.0201949888884,43.1664876824527,38.5532715872155,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LUnznrDDokEBVl,NA ; http://timor-leste.gov.tl/?cat=10&lang=en,2020-05-29,2020-05-29T16:17:47Z
R_2aWQ4ruG3w8sZ40Em,2203320Em,update,End of Policy,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",47.0201949888884,43.1664876824527,38.5532715872155,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LUnznrDDokEBVl,NA ; http://timor-leste.gov.tl/?cat=10&lang=en,2020-05-29,2020-05-29T16:17:47Z
R_2aWQ4ruG3w8sZ40Fw,2203320Fw,update,End of Policy,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",47.0201949888884,43.1664876824527,38.5532715872155,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LUnznrDDokEBVl,NA ; http://timor-leste.gov.tl/?cat=10&lang=en,2020-05-29,2020-05-29T16:17:47Z
R_2aWQ4ruG3w8sZ40Ce,2203320Ce,update,End of Policy,,"","During the state of emergency (28 March-26 April), all school activities are suspended on a face-to-face basis and the facilities of educational, education and vocational training establishments are closed, and teachers and students are prohibited from staying in the premises. Distance learning should be promoted through the means of information and communication in this period UPDATE: Pre-school, primary education, secondary education, higher education and vocational or technical-vocational training institutions can now carry out school activities on a face-to-face basis, provided that they meet the technical criteria to be approved by the Ministry of Health, Ministry of Education, Youth and Sport and the Ministry of Higher Education, Science and Culture.",2020-05-29,2020-05-29,2020-04-26,The policy has a clear end date,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Timor Leste,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",47.0201949888884,43.1664876824527,38.5532715872155,5,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31R7jp6csPipGRZ ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1LUnznrDDokEBVl,NA ; http://timor-leste.gov.tl/?cat=10&lang=en,2020-05-29,2020-05-29T16:17:47Z
R_3jZf75Fx8y839RpEl,9959317El,new_entry,,,"","Schools and universities in Timor-Leste reopened on June 15 after being closed for more than two months due to the Covid-19 coronavirus (SARS-CoV-2) pandemic. 

Students have to wear a mask. Each school has to prepare hand-washing facilities and ensure physical distancing

Youth and sports minister, Dulce de Jesus Soares, said more than 940 elementary and junior high schools needed masks and that the ministry was trying to address the shortfall.",2020-06-12,2020-06-15,,,Timor Leste,TLS,TL,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,"Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class) ,Other conditions not listed above (please provide detail in the text entry)",Yes,Timor Leste,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",45.1861772808485,40.4394158434918,35.7093591528725,9,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UWxei9x9IF8R2K,http://www.examiner.org.hk/2020/06/12/schools-to-reopen-in-timor-leste/news/asia-news/region/,2020-07-25,2020-07-25T03:14:42Z
