record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_ac2Si9nWts2gS0VCf,539360Cf,new_entry,,,"","On May 6, the Congregatio de Institutione Catolica announced that Ecclesiastical Universities should finish the year using videoconferencing and other distance learning technologies.",2020-05-06,2020-05-06,,The policy’s end date is unknown or unreported,Vatican,VAT,VA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Full remote distance learning,Special provisions exist for how teaching is done which applies to all teachers,Other conditions not listed above (please provide detail in the text entry)",Yes,Vatican,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1F9AbwR939WZcJw,http://www.educatio.va/content/dam/cec/Documenti/Norme%20transitorie%206%20maggio%202020%20EN.pdf,CoronaNet (original),,2022-01-12,2022-01-12T12:52:35Z
R_2sQQmKw6LwOnmRaCf,539360Cf,update,End of Policy,,"","On June 15, the Congregation for Catholic Education instructed Ecclesiastical Universities to return to in person instruction for the upcoming school year. UPDATE: While Universities were put largely online through the Spring 2020 semester, schools are now instructed to reopen and hold classes in person as much as possible.",2020-06-15,2020-06-15,,The policy’s end date is unknown or unreported,Vatican,VAT,VA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Full remote distance learning,Special provisions exist for how teaching is done which applies to all teachers,Other conditions not listed above (please provide detail in the text entry)",Yes,Vatican,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1F9AbwR939WZcJw ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2CeNiw9wYIFL3ee,http://www.educatio.va/content/dam/cec/Documenti/Norme%20transitorie%206%20maggio%202020%20EN.pdf,CoronaNet (original),,2021-06-04,2021-06-04T16:01:18Z
R_BVeLoiKax022DiFNA,2483870,new_entry,,,"","May 23, 2020, the Vatican announced  that all visitors to the Vatican museums will be subject to temperature checks. ""A medical and health team from Italy’s Misericordie volunteer group and the Vatican’s Health and Hygiene Department will ensure every need during the opening hours.""",2020-05-23,2020-06-01,,The policy’s end date is unknown or unreported,Vatican,VAT,VA,National,0,,,,Health Monitoring,,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound,Not Applicable,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_211ANlKlukoXqAo,https://www.vaticannews.va/en/vatican-city/news/2020-05/vatican-museums-reopen-june1-castel-gandolfo-coronavirus-restric.html,CoronaNet (original),,2021-04-30,2021-04-30T18:12:35Z
R_3npicjSEvcLwXCNHe,1173396,new_entry,,,"","On June 26, 2020, the Vatican donated 35 ventilators to 13 different countries. Four for Haiti, two for the Dominican Republic, two for Bolivia, four for Brazil, three for Colombia, two for Ecuador and three for Honduras, three were sent to Mexico, four to Venezuela, two to Cameroon, two to Bangladesh, two to Ukraine and two to Zimbabwe (through the local Episcopal Conference).",2020-06-26,2020-06-26,2020-06-27,The policy has a clear end date,Vatican,VAT,VA,National,0,,,,Health Resources,Ventilators,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Bangladesh,Bolivia,Brazil,Cameroon,Colombia,Dominican Republic,Ecuador,Haiti,Honduras,Mexico,Ukraine,Venezuela,Zimbabwe",One or more countries and one or more regional groupings,,,,,,Health-Related Supplies,No special population targeted,,Not Applicable,Mandatory (Unspecified/Implied),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_bxYVOkACFoDsLg5,https://www.vaticannews.va/en/pope/news/2020-06/covid-19-pope-franciss-many-gestures-of-closeness.html,CoronaNet (original),,2021-05-01,2021-05-01T06:57:52Z
R_R9JZxmPhowaWH6hDz,5285636,new_entry,,,"","On June 3, the Dicastery for the Promotion of Integral Human Development announced that Pope Francis ""has donated 25,000 Euros to the World Food Programme (WFP)."" ""It is 'an immediate expression of the Holy Father’s closeness' to people affected by the pandemic and those 'engaged in essential services in favour of the poor.""",2020-07-03,2020-07-03,2020-07-05,The policy is a one-time measure (e.g. publication of guidelines),Vatican,VAT,VA,National,0,,,,Health Resources,Other Health Materials,,"",,,,,,"","","","","","","","","","","",,,,"",No,,An international organization (e.g. World Health Organization),,,,World Food Programme,,All (Travelers + Residents),No special population targeted,,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_UKm6rolgggbtYjv,https://www.vaticannews.va/en/pope/news/2020-07/covid-19-pope-francis-continues-his-gestures-of-closeness.html,CoronaNet (original),,2022-05-09,2022-05-09T14:58:03Z
R_31uVVPvc9250AwrDz,5285636,update,End of Policy,,"","On June 3, the Dicastery for the Promotion of Integral Human Development announced that Pope Francis ""has donated 25,000 Euros to the World Food Programme (WFP)."" This was a one time donation. UPDATE: As it was a one time donation, the policy is now complete.",2020-07-03,2020-07-03,2020-07-04,The policy has a clear end date,Vatican,VAT,VA,National,0,,,,Health Resources,Other Health Materials,,"",,,,,,"","","","","","","","","","","",,,,"",No,,An international organization (e.g. World Health Organization),,,,World Food Programme,,All (Travelers + Residents),No special population targeted,,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_UKm6rolgggbtYjv ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kXigYT7F1BFHK9,NA ; https://www.catholicnewsagency.com/news/pope-francis-makes-donation-to-world-food-programme-as-pandemic-causes-rising-hunger-45271,CoronaNet (original),,2020-08-14,2020-08-14T18:11:47Z
R_pxSFShgGj291RPXNA,8951340,new_entry,,,"","The Vatican announced on August 3 that ""Vatican employees and workers who have contact with the public are being tested for the antibodies for COVID-19.""",2020-08-03,2020-08-03,,The policy’s end date is unknown or unreported,Vatican,VAT,VA,National,0,,,,Health Testing,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Vatican,"One or more countries, but not all countries",,,,,,,No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NDFVCCvUjPg4FT,https://cruxnow.com/vatican/2020/08/vatican-workers-who-meet-public-tested-for-covid-19-antibodies/,CoronaNet (original),,2021-05-01,2021-05-01T07:37:56Z
R_6YIEblkPYGSciopDe,5743126,new_entry,,,"","March 30, 2020, the Dicastery for Promoting Integral Human Development at the direction of Pope Francis ""has established a Vatican COVID-19 Commission to take up the Pope’s concern through the activities of five Working Groups, which are: acting now for the future; looking to the future with creativity; communicating hope; seeking common dialogue and reflections; supporting to care.""",2020-03-20,2020-03-20,2020-03-22,The policy is a one-time measure (e.g. publication of guidelines),Vatican,VAT,VA,National,1,,,,"New Task Force, Bureau or Administrative Configuration",New Task Force or Bureau (i.e. establishment of a temporary body),,"",,,,,,"","","","","","","","","","","",,,,"",,Vatican,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2D2cX4SSq7dU3Eh,http://www.humandevelopment.va/en/vatican-covid-19.html,CoronaNet (original),,2021-05-01,2021-05-01T07:05:43Z
R_1CjQzKFBwOZuImvGl,9598640Gl,new_entry,,,"","As of March 10 in Vatican City ""the pharmacy and the Annona supermarket remain open, but with restricted entry."" 
At the pharmacy, entrance is limited and shields have been put up to protect employees and shoppers. Similar measures have been put in place at the supermarket. ""These measures will remain in force, unless further indications are given, until 3 April 2020.""",2020-03-10,2020-03-10,2020-04-03,The policy has a clear end date,Vatican,VAT,VA,National,1,,,,Restriction and Regulation of Businesses,Supermarkets/grocery stores,,"",,,,,,"","","","","","","","","","","",,Essential Businesses,"This type of business  (""Supermarkets/grocery stores"") is allowed to open with conditions","Hygiene and sanitation measures required,Restriction of number of customers",Yes,Vatican,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KljEsvg0GS42Xz,http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html ; https://www.vaticannews.va/it/vaticano/news/2020-03/cov19-un-solo-caso-in-vaticano.html,CoronaNet (original),,2020-05-28,2020-05-28T14:51:38Z
R_1CjQzKFBwOZuImvEp,9598640Ep,new_entry,,,"","As of March 10 in Vatican City ""the pharmacy and the Annona supermarket remain open, but with restricted entry."" 
At the pharmacy, entrance is limited and shields have been put up to protect employees and shoppers. Similar measures have been put in place at the supermarket. ""These measures will remain in force, unless further indications are given, until 3 April 2020.""",2020-03-10,2020-03-10,2020-04-03,The policy has a clear end date,Vatican,VAT,VA,National,1,,,,Restriction and Regulation of Businesses,Pharmacies,,"",,,,,,"","","","","","","","","","","",,Essential Businesses,"This type of business  (""Pharmacies"") is allowed to open with conditions","Hygiene and sanitation measures required,Restriction of number of customers",Yes,Vatican,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1KljEsvg0GS42Xz,http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html ; https://www.vaticannews.va/it/vaticano/news/2020-03/cov19-un-solo-caso-in-vaticano.html,CoronaNet (original),,2020-05-28,2020-05-28T14:51:38Z
