record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_26gOdUsti2WfsvMNA,2759970,new_entry,,,"",Vietnam issues punishment of up to 9 years for transmitting false news about COVID-19,2021-09-16,2021-09-16,2023-11-12,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Vietnam,VNM,VN,Municipal,1,Hanoi,,Hanoi,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Vietnam,One or more cities within one or more countries,,Hanoi,Hanoi,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory (Unspecified/Implied)",Municipal Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1iq8T05jTA8qBTv,https://www.qdnd.vn/xa-hoi/tin-tuc/dua-tin-gia-ve-covid-19-tren-mang-co-the-bi-phat-tu-7-nam-671455,CoronaNet (original),,2022-01-30,2022-01-30T19:07:31Z
R_37ZrihKc9IDp1x7NA,7223082,new_entry,,,"",Vietnam issues punishment of up to 9 years for transmitting false news about COVID-19,2021-09-16,2021-09-16,2023-11-12,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Vietnam,VNM,VN,Municipal,1,Hanoi,,Hanoi,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Vietnam,One or more cities within one or more countries,,Hanoi,Hanoi,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Municipal Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1OB86O13123Rjc7,https://www.qdnd.vn/xa-hoi/tin-tuc/dua-tin-gia-ve-covid-19-tren-mang-co-the-bi-phat-tu-7-nam-671455,CoronaNet (original),,2022-01-31,2022-01-31T19:04:18Z
R_29cheIy8jxQreJ9Ep,6509101Ep,new_entry,,,"","In Vietnam: ""At the end of the ten-day Lunar New Year holiday on January 31—and with only five confirmed in-country cases—the government mandated that all schools nationwide remain closed.""",2020-01-31,2020-01-31,,The policy’s end date is unknown or unreported,Vietnam,VNM,VN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Vietnam,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27O2eazffKwGXjm,https://ourworldindata.org/covid-exemplar-vietnam,John Hopkins HIT-COVID dataset,"JHU_6597_nursery_school,6597_primary_school,6597_sec_school,6597_post_school",2023-01-16,2023-01-16T16:24:14Z
R_29cheIy8jxQreJ9Eq,6509101Eq,new_entry,,,"","In Vietnam: ""At the end of the ten-day Lunar New Year holiday on January 31—and with only five confirmed in-country cases—the government mandated that all schools nationwide remain closed.""",2020-01-31,2020-01-31,,The policy’s end date is unknown or unreported,Vietnam,VNM,VN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Vietnam,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27O2eazffKwGXjm,https://ourworldindata.org/covid-exemplar-vietnam,John Hopkins HIT-COVID dataset,"JHU_6597_nursery_school,6597_primary_school,6597_sec_school,6597_post_school",2023-01-16,2023-01-16T16:24:14Z
R_29cheIy8jxQreJ9Gb,6509101Gb,new_entry,,,"","In Vietnam: ""At the end of the ten-day Lunar New Year holiday on January 31—and with only five confirmed in-country cases—the government mandated that all schools nationwide remain closed.""",2020-01-31,2020-01-31,,The policy’s end date is unknown or unreported,Vietnam,VNM,VN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Vietnam,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27O2eazffKwGXjm,https://ourworldindata.org/covid-exemplar-vietnam,John Hopkins HIT-COVID dataset,"JHU_6597_nursery_school,6597_primary_school,6597_sec_school,6597_post_school",2023-01-16,2023-01-16T16:24:14Z
R_29cheIy8jxQreJ9Ce,6509101Ce,new_entry,,,"","In Vietnam: ""At the end of the ten-day Lunar New Year holiday on January 31—and with only five confirmed in-country cases—the government mandated that all schools nationwide remain closed.""",2020-01-31,2020-01-31,,The policy’s end date is unknown or unreported,Vietnam,VNM,VN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Vietnam,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27O2eazffKwGXjm,https://ourworldindata.org/covid-exemplar-vietnam,John Hopkins HIT-COVID dataset,"JHU_6597_nursery_school,6597_primary_school,6597_sec_school,6597_post_school",2023-01-16,2023-01-16T16:24:14Z
R_2awTPl1Ik7r5djkEp,7502563Ep,new_entry,,,"","On February 3, 2020, 50 out of 63 provinces and cities in Vietnam ""postpone school reopening for fear of novel Coronavirus"". 
",2020-02-03,2020-02-03,2020-02-07,The policy has a clear end date,Vietnam,VNM,VN,Provincial,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Vietnam,One or more provinces within one or more countries,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Bu1xlFP7KYAyK0,NA,CoronaNet (original),,2021-02-06,2021-02-06T03:50:21Z
R_2awTPl1Ik7r5djkEq,7502563Eq,new_entry,,,"","On February 3, 2020, 50 out of 63 provinces and cities in Vietnam ""postpone school reopening for fear of novel Coronavirus"". 
",2020-02-03,2020-02-03,2020-02-07,The policy has a clear end date,Vietnam,VNM,VN,Provincial,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Vietnam,One or more provinces within one or more countries,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Bu1xlFP7KYAyK0,NA,CoronaNet (original),,2021-02-06,2021-02-06T03:50:21Z
R_2awTPl1Ik7r5djkGb,7502563Gb,new_entry,,,"","On February 3, 2020, 50 out of 63 provinces and cities in Vietnam ""postpone school reopening for fear of novel Coronavirus"". 
",2020-02-03,2020-02-03,2020-02-07,The policy has a clear end date,Vietnam,VNM,VN,Provincial,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Vietnam,One or more provinces within one or more countries,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Bu1xlFP7KYAyK0,NA,CoronaNet (original),,2021-02-06,2021-02-06T03:50:21Z
R_2awTPl1Ik7r5djkCe,7502563Ce,new_entry,,,"","On February 3, 2020, 50 out of 63 provinces and cities in Vietnam ""postpone school reopening for fear of novel Coronavirus"". 
",2020-02-03,2020-02-03,2020-02-07,The policy has a clear end date,Vietnam,VNM,VN,Provincial,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Vietnam,One or more provinces within one or more countries,,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Ministry/Department of Education,Provincial/State Government,Municipal Government",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Bu1xlFP7KYAyK0,NA,CoronaNet (original),,2021-02-06,2021-02-06T03:50:21Z
R_1Cpe71qgpFKBg7HEp,3687210Ep,new_entry,,,"","In Vietnam, as of February 5, 2020, ""61 localities delay school reopening.""",2020-02-05,2020-02-05,2020-02-12,The policy has a clear end date,Vietnam,VNM,VN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Vietnam,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Provincial/State Government,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_22mfhvYJeULBgY2,https://en.baochinhphu.vn/ncov-update-61-localities-delay-school-reopening-11137311.htm,OxCGRT,OXCGRT_Vietnam_20200205_school,2023-01-16,2023-01-16T16:50:51Z
