record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,collab,collab_id,date_updated,recorded_date
R_zVzLfbVNdkofxzHNA,3410898,new_entry,,,"","On March 16, The Yemeni Higher Committee for Epidemiology decided to take strict legal measures against any person who publishes rumors and false news and cause panic among citizens about the COVID-19.",2020-03-16,2020-03-16,,The policy’s end date is unknown or unreported,Yemen,YEM,YE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"Ministry/Department of Justice,New (COVID-19 specific) Task Force",39.6017267129929,34.0839820048713,28.8696500861084,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3KDAQIUzIYHqEiK,https://www.mot.gov.ye/the-higher-committee-for-epidemiology-approves-closing-land-ports-and-suspending-examinations/?lang=en,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_ePcGvYrtIyKf6MhCf,7162927Cf,new_entry,,,"","The Yemeni Ministry of Higher Education and Scientific Research announced the suspension of study in government and private institutions of higher education for a period of one month, as off Monday, March 16, 2020.",2020-03-16,2020-03-16,2020-04-16,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",39.6017267129929,34.0839820048713,28.8696500861084,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_xbcnayzMYeiJOb7,https://www.saba.ye/en/news3090975.htm,CoronaNet (original),,2020-08-30,2020-08-30T22:04:26Z
R_1msEmMTxpeyIsnuEt,3321891Et,new_entry,,,"","Yemen's Houthi militia authorities decided to end the school year ahead of schedule in cities under their control starting March 16th, and for all classes to have their final exams on March 21st.",2020-03-14,2020-03-16,2020-03-18,The policy is a one-time measure (e.g. publication of guidelines),Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),39.6017267129929,34.0839820048713,28.8696500861084,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc,https://almasdaronline.com/articles/179041,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_1msEmMTxpeyIsnuGe,3321891Ge,new_entry,,,"","Yemen's Houthi militia authorities decided to end the school year ahead of schedule in cities under their control starting March 16th, and for all classes to have their final exams on March 21st.",2020-03-14,2020-03-16,2020-03-18,The policy is a one-time measure (e.g. publication of guidelines),Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),39.6017267129929,34.0839820048713,28.8696500861084,21,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc,https://almasdaronline.com/articles/179041,CoronaNet (original),,2022-08-29,2022-08-29T23:59:59Z
R_2VgcG3g4shdL7iVEt,3321891Et,update,Change of Policy,Strengthening,timing of policy strengthening,"The government in Yemen has extended the closure of schools till March 29th. It originally was supposed to last only one week starting March 15th. UPDATE: The government in Yemen has extended the closure of schools till March 29th. It originally was supposed to last only one week, thus ending on March 22nd.",2020-03-21,2020-03-22,2020-03-29,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),48.3124446798282,44.2799873018445,40.0250610657086,20,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2E3F63o7KPBQSBS,NA ; https://www.arabnews.com/node/1644896/middle-east,CoronaNet (original),,2020-09-01,2020-09-01T13:01:53Z
R_2VgcG3g4shdL7iVGe,3321891Ge,update,Change of Policy,Strengthening,timing of policy strengthening,"The government in Yemen has extended the closure of schools till March 29th. It originally was supposed to last only one week starting March 15th. UPDATE: The government in Yemen has extended the closure of schools till March 29th. It originally was supposed to last only one week, thus ending on March 22nd.",2020-03-21,2020-03-22,2020-03-29,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),48.3124446798282,44.2799873018445,40.0250610657086,20,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2E3F63o7KPBQSBS,NA ; https://www.arabnews.com/node/1644896/middle-east,CoronaNet (original),,2020-09-01,2020-09-01T13:01:53Z
R_9AbBHjRcU5PdAvTEt,3321891Et,update,Change of Policy,Strengthening,timing of policy strengthening,"The Yemeni government has extended the closure of schools for the third time until May 30th, 2020.
 UPDATE: The latest extension of the closure of schools was until March 29th. It has been extended to May 30th.",2020-03-23,2020-03-23,2020-05-30,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),49.4075500950665,44.640723130788,40.3531867050372,18,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1MKgyJMV72VYxum,NA ; https://twitter.com/YSNECCOVID19/status/1242141909960851457,CoronaNet (original),,2020-09-01,2020-09-01T15:57:07Z
R_9AbBHjRcU5PdAvTGe,3321891Ge,update,Change of Policy,Strengthening,timing of policy strengthening,"The Yemeni government has extended the closure of schools for the third time until May 30th, 2020.
 UPDATE: The latest extension of the closure of schools was until March 29th. It has been extended to May 30th.",2020-03-23,2020-03-23,2020-05-30,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),49.4075500950665,44.640723130788,40.3531867050372,18,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1MKgyJMV72VYxum,NA ; https://twitter.com/YSNECCOVID19/status/1242141909960851457,CoronaNet (original),,2020-09-01,2020-09-01T15:57:07Z
R_ePt3qS28lMC5M53Et,3321891Et,update,Change of Policy,Strengthening,timing of policy strengthening,"The Yemeni Ministry of Education, which is under the authority of the Houthis in Sana'a, announced the closure of all schools for one week starting March 15th, and the suspension of all exams until June 14th. UPDATE: The original plan was to end the school year starting March 16th but still have final exams on March 21st. The new policy imposes the closure of schools for one week (meaning until March 22nd).",2020-03-23,2020-03-23,2020-06-14,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),49.4075500950665,44.640723130788,40.3531867050372,18,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Sui7Z745GD9gjV,https://almasdaronline.com/articles/179041,CoronaNet (original),,2020-09-09,2020-09-09T21:30:00Z
R_ePt3qS28lMC5M53Ge,3321891Ge,update,Change of Policy,Strengthening,timing of policy strengthening,"The Yemeni Ministry of Education, which is under the authority of the Houthis in Sana'a, announced the closure of all schools for one week starting March 15th, and the suspension of all exams until June 14th. UPDATE: The original plan was to end the school year starting March 16th but still have final exams on March 21st. The new policy imposes the closure of schools for one week (meaning until March 22nd).",2020-03-23,2020-03-23,2020-06-14,The policy has a clear end date,Yemen,YEM,YE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Yemen,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),49.4075500950665,44.640723130788,40.3531867050372,18,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1DYDanqIP2CZFzc ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Sui7Z745GD9gjV,https://almasdaronline.com/articles/179041,CoronaNet (original),,2020-09-09,2020-09-09T21:30:00Z
